title,authors,abstract,arxiv_id,category,date,pdf_url,query_used
Bayesian polarization calibration and imaging in very long baseline interferometry,"['Jong-Seo Kim', 'Jakob Roth', 'Jongho Park', 'Jack D. Livingston', 'Philipp Arras', 'Torsten A. Enßlin', 'Michael Janssen', 'J. Anton Zensus', 'Andrei P. Lobanov']","Extracting polarimetric information from very long baseline interferometry (VLBI) data is demanding but vital for understanding the synchrotron radiation process and the magnetic fields of celestial objects, such as active galactic nuclei (AGNs). However, conventional CLEAN-based calibration and imaging methods provide suboptimal resolution without uncertainty estimation of calibration solutions, while requiring manual steering from an experienced user. We present a Bayesian polarization calibration and imaging method using Bayesian imaging software resolve for VLBI data sets, that explores the posterior distribution of antenna-based gains, polarization leakages, and polarimetric images jointly from pre-calibrated data. We demonstrate our calibration and imaging method with observations of the quasar 3C273 with the VLBA at 15 GHz and the blazar OJ287 with the GMVA+ALMA at 86 GHz. Compared to the CLEAN method, our approach provides physically realistic images that satisfy positivity of flux and polarization constraints and can reconstruct complex source structures composed of various spatial scales. Our method systematically accounts for calibration uncertainties in the final images and provides uncertainties of Stokes images and calibration solutions. The automated Bayesian approach for calibration and imaging will be able to obtain high-fidelity polarimetric images using high-quality data from next-generation radio arrays. The pipeline developed for this work is publicly available.",2511.16556v1,astro-ph.IM,2025-11-20 17:10:06+00:00,https://arxiv.org/pdf/2511.16556v1,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
HyperAIRI: a plug-and-play algorithm for precise hyperspectral image reconstruction in radio interferometry,"['Chao Tang', 'Arwa Dabbech', 'Adrian Jackson', 'Yves Wiaux']","The next-generation radio-interferometric (RI) telescopes require imaging algorithms capable of forming high-resolution high-dynamic-range images from large data volumes spanning wide frequency bands. Recently, AIRI, a plug-and-play (PnP) approach taking the forward-backward algorithmic structure (FB), has demonstrated state-of-the-art performance in monochromatic RI imaging by alternating a data-fidelity step with a regularisation step via learned denoisers. In this work, we introduce HyperAIRI, its hyperspectral extension, underpinned by learned hyperspectral denoisers enforcing a power-law spectral model. For each spectral channel, the HyperAIRI denoiser takes as input its current image estimate, alongside estimates of its two immediate neighbouring channels and the spectral index map, and provides as output its associated denoised image. To ensure convergence of HyperAIRI, the denoisers are trained with a Jacobian regularisation enforcing non-expansiveness. To accommodate varying dynamic ranges, we assemble a shelf of pre-trained denoisers, each tailored to a specific dynamic range. At each HyperAIRI iteration, the spectral channels of the target image cube are updated in parallel using dynamic-range-matched denoisers from the pre-trained shelf. The denoisers are also endowed with a spatial image faceting functionality, enabling scalability to varied image sizes. Additionally, we formally introduce Hyper-uSARA, a variant of the optimisation-based algorithm HyperSARA, promoting joint sparsity across spectral channels via the l2,1-norm, also adopting FB. We evaluate HyperAIRI's performance on simulated and real observations. We showcase its superior performance compared to its optimisation-based counterpart Hyper-uSARA, CLEAN's hyperspectral variant in WSClean, and the monochromatic imaging algorithms AIRI and uSARA.",2510.15198v1,astro-ph.IM,2025-10-16 23:49:20+00:00,https://arxiv.org/pdf/2510.15198v1,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
Generative imaging for radio interferometry with fast uncertainty quantification,"['Matthijs Mars', 'Tobías I. Liaudat', 'Jessica J. Whitney', 'Marta M. Betcke', 'Jason D. McEwen']","With the rise of large radio interferometric telescopes, particularly the SKA, there is a growing demand for computationally efficient image reconstruction techniques. Existing reconstruction methods, such as the CLEAN algorithm or proximal optimisation approaches, are iterative in nature, necessitating a large amount of compute. These methods either provide no uncertainty quantification or require large computational overhead to do so. Learned reconstruction methods have shown promise in providing efficient and high quality reconstruction. In this article we explore the use of generative neural networks that enable efficient approximate sampling of the posterior distribution for high quality reconstructions with uncertainty quantification. Our RI-GAN framework, builds on the regularised conditional generative adversarial network (rcGAN) framework by integrating a gradient U-Net (GU-Net) architecture - a hybrid reconstruction model that embeds the measurement operator directly into the network. This framework uses Wasserstein GANs to improve training stability in combination with regularisation terms that combat mode collapse, which are typical problems for conditional GANs. This approach takes as input the dirty image and the point spread function (PSF) of the observation and provides efficient, high-quality image reconstructions that are robust to varying visibility coverages, generalises to images with an increased dynamic range, and provides informative uncertainty quantification. Our methods provide a significant step toward computationally efficient, scalable, and uncertainty-aware imaging for next-generation radio telescopes.",2507.21270v1,astro-ph.IM,2025-07-28 18:52:07+00:00,https://arxiv.org/pdf/2507.21270v1,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
How to make CLEAN variants faster? Using clustered components informed by the autocorrelation function,"['Hendrik Müller', 'Sanjay Bhatnagar']","Deconvolution, imaging and calibration of data from radio interferometers is a challenging computational (inverse) problem. The upcoming generation of radio telescopes poses significant challenges to existing, and well proven data reduction pipelines due to the large data sizes expected from these experiments, and the high resolution and dynamic range. In this manuscript, we deal with the deconvolution problem. A variety of multiscalar variants to the classical CLEAN algorithm (the de-facto standard) have been proposed in the past, often outperforming CLEAN at the cost of significantly increasing numerical resources. In this work, we aim to combine some of these ideas for a new algorithm, Autocorr-CLEAN, to accelerate the deconvolution and prepare the data reduction pipelines for the data sizes expected by the upcoming generation of instruments. To this end, we propose to use a cluster of CLEAN components fitted to the autocorrelation function of the residual in a subminor loop, to derive continuously changing, and potentially non-radially symmetric, basis functions for CLEANing the residual. Autocorr-CLEAN allows for the superior reconstruction fidelity achieved by modern multiscalar approaches, and their superior convergence speed. It achieves this without utilizing any substep of super-linear complexity in the minor loops, keeping the single minor loop and subminor loop iterations at an execution time comparable to CLEAN. Combining these advantages, Autocorr-CLEAN is found to be up to a magnitude faster than the classical CLEAN procedure. Autocorr-CLEAN fits well in the algorithmic framework common for radio interferometry, making it relatively straightforward to include in future data reduction pipelines. With its accelerated convergence speed, and smaller residual, Autocorr-CLEAN may be an important asset for the data analysis in the future.",2504.16058v1,astro-ph.IM,2025-04-22 17:33:55+00:00,https://arxiv.org/pdf/2504.16058v1,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
Toward a Robust R2D2 Paradigm for Radio-interferometric Imaging: Revisiting Deep Neural Network Training and Architecture,"['Amir Aghabiglou', 'Chung San Chu', 'Chao Tang', 'Arwa Dabbech', 'Yves Wiaux']","The R2D2 Deep Neural Network (DNN) series was recently introduced for image formation in radio interferometry. It can be understood as a learned version of CLEAN, whose minor cycles are substituted with DNNs. We revisit R2D2 on the grounds of series convergence, training methodology, and DNN architecture, improving its robustness in terms of generalizability beyond training conditions, capability to deliver high data fidelity, and epistemic uncertainty. First, while still focusing on telescope-specific training, we enhance the learning process by randomizing Fourier sampling integration times, incorporating multiscan multinoise configurations, and varying imaging settings, including pixel resolution and visibility-weighting scheme. Second, we introduce a convergence criterion whereby the reconstruction process stops when the data residual is compatible with noise, rather than simply using all available DNNs. This not only increases the reconstruction efficiency by reducing its computational cost, but also refines training by pruning out the data/image pairs for which optimal data fidelity is reached before training the next DNN. Third, we substitute R2D2's early U-Net DNN with a novel architecture (U-WDSR) combining U-Net and WDSR, which leverages wide activation, dense skip connections, weight normalization, and low-rank convolution to improve feature reuse and reconstruction precision. As previously, R2D2 was trained for monochromatic intensity imaging with the Very Large Array at fixed $512 \times 512$ image size. Simulations on a wide range of inverse problems and a case study on real data reveal that the new R2D2 model consistently outperforms its earlier version in image reconstruction quality, data fidelity, and epistemic uncertainty.",2503.02554v2,astro-ph.IM,2025-03-04 12:26:45+00:00,https://arxiv.org/pdf/2503.02554v2,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
S-R2D2: a spherical extension of the R2D2 deep neural network series paradigm for wide-field radio-interferometric imaging,"['A. Tajja', 'A. Aghabiglou', 'E. Tolley', 'J-P. Kneib', 'J-P. Thiran', 'Y. Wiaux']","Recently, the R2D2 paradigm, standing for ''Residual-to-Residual DNN series for high-Dynamic-range imaging'', was introduced for image formation in Radio Interferometry (RI) as a learned version of the traditional algorithm CLEAN. The first incarnations of R2D2 are limited to planar imaging on small fields of view, failing to meet the spherical-imaging requirement of modern telescopes observing wide fields. To address this limitation, we propose the spherical-imaging extension S-R2D2. Firstly, as R2D2, S-R2D2 encapsulates its minor cycles in existing 2D-Euclidean deep neural network (DNN) architectures, but adapts its iterative scheme to incorporate the wide-field measurement model mapping a spherical image to visibility data. We implemented this model as the composition of an efficient Fourier-based interpolator mapping the spherical image onto the equatorial plane, with the standard RI operator mapping the equatorial-plane image to visibility data. Importantly, the interpolation step must inevitably be performed at a lower-than-optimal resolution on the plane, to meet the high-resolution requirement on the sphere of wide-field imaging while preserving scalability. Therefore, secondly, we design S-R2D2's DNN training loss to jointly learn to correct the interpolation approximations and identify residual image structures on the sphere, ensuring consistency with the spherical ground truth using the adjoint plane-to-sphere interpolator. Finally, we demonstrate through simulations S-R2D2's capability to perform fast and accurate reconstructions of spherical monochromatic intensity images, across high-resolution, high-dynamic-range settings.",2503.01462v1,astro-ph.IM,2025-03-03 12:18:23+00:00,https://arxiv.org/pdf/2503.01462v1,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
IRIS: A Bayesian Approach for Image Reconstruction in Radio Interferometry with expressive Score-Based priors,"['Noé Dia', 'M. J. Yantovski-Barth', 'Alexandre Adam', 'Micah Bowles', 'Laurence Perreault-Levasseur', 'Yashar Hezaveh', 'Anna Scaife']","Inferring sky surface brightness distributions from noisy interferometric data in a principled statistical framework has been a key challenge in radio astronomy. In this work, we introduce Imaging for Radio Interferometry with Score-based models (IRIS). We use score-based models trained on optical images of galaxies as an expressive prior in combination with a Gaussian likelihood in the uv-space to infer images of protoplanetary disks from visibility data of the DSHARP survey conducted by ALMA. We demonstrate the advantages of this framework compared with traditional radio interferometry imaging algorithms, showing that it produces plausible posterior samples despite the use of a misspecified galaxy prior. Through coverage testing on simulations, we empirically evaluate the accuracy of this approach to generate calibrated posterior samples.",2501.02473v1,astro-ph.IM,2025-01-05 08:11:53+00:00,https://arxiv.org/pdf/2501.02473v1,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
Probing jet dynamics and collimation in radio galaxies. Application to NGC 1052,"['Ainara Saiz-Pérez', 'Christian M. Fromm', 'Manel Perucho', 'Oliver Porth', 'Matthias Kadler', 'Yosuke Mizuno', 'Andrew Chael', 'Karl Mannheim']","Context. Radio galaxies with visible two-sided jet structures, such as NGC 1052, are sources of particular interest to study the collimation and shock structure of active galactic nuclei jets. High-resolution very-long-baseline interferometry observations of such sources can resolve and study the jet collimation profile and probe different physical mechanisms. Aims. In this paper, we study the physics of double-sided radio sources at parsec scales, and in particular investigate whether propagating shocks can give rise to the observed asymmetry between jet and counterjet. Methods. We carry out special relativistic hydrodynamic simulations and perform radiative transfer calculations of an over-pressured perturbed jet. During the radiative transfer calculations we incorporate both thermal and nonthermal emission while taking the finite speed of light into account. To further compare our results to observations, we create more realistic synthetic data including the properties of the observing array as well as the image reconstruction via multifrequency regularized maximum likelihood methods. We finally introduce a semi-automatized method for tracking jet components and extracting jet kinematics. Results. We show that propagating shocks in an inherently symmetric double-sided jet can lead to partially asymmetric jet collimation profiles due to time delay effects and relativistic beaming. These asymmetries may appear on specific epochs, with one jet evolving near conically and the other one parabolically (width profile evolving with a slope of 1 and 0.5, respectively). However, these spurious asymmetries are not significant when observing the source evolve for an extended amount of time. Conclusions. Purely observational effects are not enough to explain a persisting asymmetry in the jet collimation profile of double-sided jet sources and hint at evidence for asymmetrically launched jets.",2412.02358v1,astro-ph.HE,2024-12-03 10:30:59+00:00,https://arxiv.org/pdf/2412.02358v1,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
Uncertainty quantification for fast reconstruction methods using augmented equivariant bootstrap: Application to radio interferometry,"['Mostafa Cherif', 'Tobías I. Liaudat', 'Jonathan Kern', 'Christophe Kervazo', 'Jérôme Bobin']","The advent of next-generation radio interferometers like the Square Kilometer Array promises to revolutionise our radio astronomy observational capabilities. The unprecedented volume of data these devices generate requires fast and accurate image reconstruction algorithms to solve the ill-posed radio interferometric imaging problem. Most state-of-the-art reconstruction methods lack trustworthy and scalable uncertainty quantification, which is critical for the rigorous scientific interpretation of radio observations. We propose an unsupervised technique based on a conformalized version of a radio-augmented equivariant bootstrapping method, which allows us to quantify uncertainties for fast reconstruction methods. Noticeably, we rely on reconstructions from ultra-fast unrolled algorithms. The proposed method brings more reliable uncertainty estimations to our problem than existing alternatives.",2410.23178v2,astro-ph.IM,2024-10-30 16:36:55+00:00,https://arxiv.org/pdf/2410.23178v2,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
Compressive radio-interferometric sensing with random beamforming as rank-one signal covariance projections,"['Olivier Leblanc', 'Yves Wiaux', 'Laurent Jacques']","Radio-interferometry (RI) observes the sky at unprecedented angular resolutions, enabling the study of several far-away galactic objects such as galaxies and black holes. In RI, an array of antennas probes cosmic signals coming from the observed region of the sky. The covariance matrix of the vector gathering all these antenna measurements offers, by leveraging the Van Cittert-Zernike theorem, an incomplete and noisy Fourier sensing of the image of interest. The number of noisy Fourier measurements -- or visibilities -- scales as $\mathcal O(Q^2B)$ for $Q$ antennas and $B$ short-time integration (STI) intervals. We address the challenges posed by this vast volume of data, which is anticipated to increase significantly with the advent of large antenna arrays, by proposing a compressive sensing technique applied directly at the level of the antenna measurements. First, this paper shows that beamforming -- a common technique of dephasing antenna signals -- usually used to focus some region of the sky, is equivalent to sensing a rank-one projection (ROP) of the signal covariance matrix. We build upon our recent work arXiv:2306.12698v3 [eess.IV] to propose a compressive sensing scheme relying on random beamforming, trading the $Q^2$-dependence of the data size for a smaller number $P$ ROPs. We provide image recovery guarantees for sparse image reconstruction. Secondly, the data size is made independent of $B$ by applying $M$ Bernoulli modulations of the ROP vectors obtained for the STI. The resulting sample complexities, theoretically derived in a simpler case without modulations and numerically obtained in phase transition diagrams, are shown to scale as $\mathcal O(K)$ where $K$ is the image sparsity. This illustrates the potential of the approach.",2409.15031v2,eess.IV,2024-09-23 13:59:04+00:00,https://arxiv.org/pdf/2409.15031v2,"""radio interferometry"" AND (""image reconstruction"" OR ""aperture synthesis"")"
