Cluster,Cantidad,Porcentaje,Palabras clave,Año promedio,Categoria principal
0,107,10.3%,"emission, flare, radio",2016,astro-ph.SR
1,171,16.5%,"radio, array, telescope",2021,astro-ph.IM
2,199,19.2%,"radio, emission, galaxy",2019,astro-ph.GA
3,147,14.1%,"data, radio, pipeline",2019,astro-ph.IM
4,50,4.8%,"jet, observation, vlbi",2023,astro-ph.HE
5,59,5.7%,"pulsar, radio, data",2021,astro-ph.HE
6,98,9.4%,"vlbi, radio, source",2023,astro-ph.IM
7,58,5.6%,"hole, black, baseline",2023,astro-ph.IM
8,101,9.7%,"image, imaging, algorithm",2019,astro-ph.IM
9,49,4.7%,"rfi, radio, data",2019,astro-ph.IM
