Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51,8.0,15,Nintendo,E
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,69.0,17,7.7,16,Nintendo,E
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73,8.3,15,Nintendo,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73,8.0,15,Nintendo,E
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,74.0,30,7.8,33,Nintendo,E
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,70.0,14,7.5,11,Nintendo,E
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65,8.5,16,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41,6.6,129,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80,8.4,16,Nintendo,E
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,73.0,32,7.4,27,Nintendo,E
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,70.0,17,7.5,19,Nintendo,E
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64,8.6,15,Nintendo,E
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,74.0,30,7.8,33,Nintendo,E
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63,7.7,146,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Good Science Studio,15.0,4.89,0.24,1.69,21.81,61.0,45,6.3,106,Good Science Studio,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33,7.4,52,Nintendo,E
Grand Theft Auto V,PS3,2013,Action,Rockstar North,7.02,9.09,0.98,3.96,21.04,97.0,50,8.2,20,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar North,9.43,0.4,0.41,10.57,20.81,95.0,80,9.0,20,Rockstar North,M
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,69.0,17,7.7,16,Nintendo,E
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58,7.9,50,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,74.0,30,7.8,33,Nintendo,E
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,69.0,17,7.7,16,Nintendo,E
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,69.0,17,7.7,16,Nintendo,E
Grand Theft Auto V,X360,2013,Action,Rockstar North,9.66,5.14,0.06,1.41,16.27,97.0,58,8.1,20,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002,Action,Rockstar North,8.41,5.49,0.47,1.78,16.15,95.0,62,8.7,20,Rockstar North,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,74.0,30,7.8,33,Nintendo,E
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37,7.1,19,Nintendo,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,74.0,30,7.8,33,Nintendo,E
Gran Turismo 3: A-Spec,PS2,2001,Racing,Polyphony Digital,6.85,5.09,1.87,1.16,14.98,95.0,54,8.4,15,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,"Infinity Ward, Sledgehammer Games",9.04,4.24,0.13,1.32,14.73,88.0,81,3.4,27,"Infinity Ward, Sledgehammer Games",M
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,74.0,30,7.8,33,Nintendo,E
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,73.0,32,7.4,27,Activision,E
Call of Duty: Black Ops,X360,2010,Shooter,Treyarch,9.7,3.68,0.11,1.13,14.61,87.0,89,6.3,27,Treyarch,M
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,74.0,30,7.8,33,Nintendo,E
Call of Duty: Black Ops II,PS3,2012,Shooter,Treyarch,4.99,5.73,0.65,2.42,13.79,83.0,21,5.3,27,Treyarch,M
Call of Duty: Black Ops II,X360,2012,Shooter,Treyarch,8.25,4.24,0.07,1.12,13.67,83.0,73,4.8,27,Treyarch,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Infinity Ward,8.52,3.59,0.08,1.28,13.47,94.0,100,6.3,27,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,"Infinity Ward, Sledgehammer Games",5.54,5.73,0.49,1.57,13.32,88.0,39,3.2,27,"Infinity Ward, Sledgehammer Games",M
Grand Theft Auto III,PS2,2001,Action,DMA Design,6.99,4.51,0.3,1.3,13.1,97.0,56,8.5,20,DMA Design,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Game Arts,6.62,2.55,2.66,1.01,12.84,93.0,81,8.9,24,Game Arts,T
Mario Kart 7,3DS,2011,Racing,"Retro Studios, Entertainment Analysis & Development Division",5.03,4.02,2.69,0.91,12.66,85.0,73,8.2,15,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty: Black Ops,PS3,2010,Shooter,Treyarch,5.99,4.37,0.48,1.79,12.63,88.0,58,6.4,27,Treyarch,M
Grand Theft Auto V,PS4,2014,Action,Rockstar North,3.96,6.31,0.38,1.97,12.61,97.0,66,8.3,20,Rockstar North,M
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57,8.7,19,Nintendo,E
Halo 3,X360,2007,Shooter,"Bungie Software, Bungie",7.97,2.81,0.13,1.21,12.12,94.0,86,7.8,27,"Bungie Software, Bungie",M
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,69.0,17,7.7,16,Nintendo,E
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,68.0,22,7.4,20,Nintendo,E
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,74.0,30,7.8,33,Nintendo,E
Gran Turismo 4,PS2,2004,Racing,Polyphony Digital,3.01,0.01,1.1,7.53,11.66,89.0,74,8.5,15,Polyphony Digital,E
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73,8.9,16,Nintendo,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,66.0,17,7.6,14,Nintendo,E
Grand Theft Auto IV,X360,2008,Action,Rockstar North,6.76,3.07,0.14,1.03,11.01,98.0,86,7.9,20,Rockstar North,M
Gran Turismo,PS,1997,Racing,Polyphony Digital,4.02,3.87,2.54,0.52,10.95,96.0,16,8.7,138,Polyphony Digital,E
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82,8.4,16,Nintendo,E
Gran Turismo 5,PS3,2010,Racing,Polyphony Digital,2.96,4.82,0.81,2.11,10.7,84.0,82,7.5,15,Polyphony Digital,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Infinity Ward,4.99,3.64,0.38,1.6,10.6,94.0,67,6.3,27,Infinity Ward,M
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,69.0,17,7.7,16,Nintendo,E
Grand Theft Auto IV,PS3,2008,Action,Rockstar North,4.76,3.69,0.44,1.61,10.5,98.0,64,7.5,20,Rockstar North,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,74.0,30,7.8,33,Nintendo,E
Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,69.0,17,7.7,16,Nintendo,E
Call of Duty: Ghosts,X360,2013,Shooter,Infinity Ward,6.73,2.56,0.04,0.91,10.25,73.0,29,2.6,27,Infinity Ward,M
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15,7.8,16,Ubisoft,E10+
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70,7.2,16,Nintendo,E
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,69.0,17,7.4,15,Nintendo,E
Halo: Reach,X360,2010,Shooter,Bungie,7.04,1.95,0.08,0.79,9.86,91.0,99,7.9,27,Bungie,M
Final Fantasy VII,PS,1997,Role-Playing,SquareSoft,3.01,2.47,3.28,0.96,9.72,92.0,20,9.2,33,SquareSoft,T
Halo 4,X360,2012,Shooter,343 Industries,6.65,2.28,0.04,0.74,9.71,87.0,87,7.0,27,343 Industries,M
Gran Turismo 2,PS,1999,Racing,Polyphony Digital,3.88,3.42,1.69,0.5,9.49,93.0,23,9.0,135,Polyphony Digital,T
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24,7.3,24,Ubisoft,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,Infinity Ward,4.1,3.63,0.38,1.25,9.36,71.0,10,2.6,27,Infinity Ward,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Infinity Ward,5.93,2.36,0.13,0.9,9.31,94.0,70,8.4,27,Infinity Ward,M
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,69.0,17,7.7,16,Nintendo,E
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,69.0,17,7.1,13,Microsoft Game Studios,E
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70,8.7,19,Nintendo,E
Mario Party DS,DS,2007,Misc,Hudson Soft,4.4,1.85,1.98,0.68,8.91,72.0,27,7.8,85,Hudson Soft,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Game Studios,5.05,2.79,0.1,0.85,8.79,96.0,89,8.4,33,Bethesda Game Studios,M
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,69.0,17,7.4,15,Nintendo,E
FIFA 16,PS4,2015,Sports,EA Sports,1.12,6.12,0.06,1.28,8.57,82.0,42,4.3,15,EA Sports,E
Halo 2,XB,2004,Shooter,Bungie Software,6.82,1.53,0.05,0.08,8.49,95.0,91,8.2,27,Bungie Software,M
Wii Party,Wii,2010,Misc,Nd Cube,1.75,3.47,2.49,0.67,8.38,68.0,42,7.4,54,Nd Cube,E
Mario Party 8,Wii,2007,Misc,Hudson,3.74,2.24,1.58,0.7,8.27,62.0,41,6.3,13,Hudson,E
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37,6.6,20,Electronic Arts,E
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,73.0,32,7.4,27,Nintendo,E
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,74.0,30,7.8,33,Nintendo,E
Final Fantasy X,PS2,2001,Role-Playing,SquareSoft,2.91,2.07,2.73,0.33,8.05,92.0,53,8.7,33,SquareSoft,T
The Sims 3,PC,2009,Simulation,The Sims Studio,0.99,6.42,0.0,0.6,8.01,86.0,75,7.6,19,The Sims Studio,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,75.0,18,7.4,15,Sega,E
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,73.0,32,7.4,27,Electronic Arts,E
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24,8.6,33,SquareSoft,T
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,70.0,14,7.5,11,Atari,E
Pokémon Platinum Version,DS,2008,Role-Playing,Game Freak,2.76,1.72,2.69,0.54,7.72,83.0,46,8.5,33,Game Freak,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Rockstar Leeds,2.9,2.81,0.24,1.73,7.69,88.0,65,7.6,20,Rockstar Leeds,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Sledgehammer Games,2.81,3.48,0.14,1.23,7.66,83.0,39,5.7,27,Sledgehammer Games,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,68.0,22,7.4,20,Nintendo,E
FIFA 17,PS4,2016,Sports,"EA Sports, EA Vancouver",0.66,5.75,0.08,1.11,7.59,85.0,41,5.0,15,"EA Sports, EA Vancouver",E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,69.0,17,7.7,16,Sony Computer Entertainment,E
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,72.0,25,7.6,24,Nintendo,E
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo EAD Tokyo,3.56,2.35,0.98,0.62,7.51,97.0,87,9.1,16,Nintendo EAD Tokyo,E
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,69.0,17,7.7,16,Nintendo,E
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,73.0,32,7.4,27,Activision,E
Call of Duty: World at War,X360,2008,Shooter,Treyarch,4.81,1.88,0.0,0.69,7.38,84.0,84,7.6,27,Treyarch,M
Battlefield 3,X360,2011,Shooter,EA DICE,4.46,2.11,0.06,0.69,7.32,84.0,57,7.4,27,EA DICE,M
Need for Speed Underground,PS2,2003,Racing,EA Black Box,3.27,2.83,0.08,1.02,7.2,85.0,33,8.6,171,EA Black Box,E
Just Dance,Wii,2009,Misc,Ubisoft Paris,3.48,2.99,0.0,0.73,7.2,49.0,21,8.0,110,Ubisoft Paris,E10+
Battlefield 3,PS3,2011,Shooter,EA DICE,2.85,2.89,0.35,1.08,7.17,85.0,38,7.5,27,EA DICE,M
Fallout 4,PS4,2015,Role-Playing,Bethesda Game Studios,2.53,3.27,0.24,1.13,7.16,87.0,58,6.5,33,Bethesda Game Studios,M
Tekken 3,PS,1998,Fighting,Namco,3.27,2.22,1.4,0.29,7.16,96.0,15,9.1,24,Namco,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73,9.0,20,Nintendo,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,74.0,30,7.8,33,Nintendo,E
Crash Bandicoot 3: Warped,PS,1998,Platform,Naughty Dog,3.68,1.75,1.42,0.28,7.13,91.0,12,8.9,16,Naughty Dog,E
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82,9.1,15,Nintendo,E
Super Smash Bros. Melee,GC,2001,Fighting,HAL Labs,4.41,1.04,1.39,0.22,7.07,92.0,38,9.1,24,HAL Labs,T
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,69.0,17,7.4,15,Nintendo,E
Need for Speed Underground 2,PS2,2004,Racing,EA Canada,2.71,3.02,0.08,1.09,6.9,82.0,39,8.6,132,EA Canada,E
Medal of Honor: Frontline,PS2,2002,Shooter,EA LA,2.93,2.75,0.17,0.99,6.83,88.0,29,8.5,135,EA LA,T
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,69.0,17,7.7,16,Sony Computer Entertainment,E
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10,7.3,28,Ubisoft,E10+
Gears of War 2,X360,2008,Shooter,Epic Games,4.15,1.9,0.06,0.64,6.75,93.0,90,7.7,27,Epic Games,M
Uncharted 3: Drake's Deception,PS3,2011,Action,Naughty Dog,2.77,2.75,0.19,1.03,6.74,92.0,97,8.3,20,Naughty Dog,T
Zumba Fitness,Wii,2010,Sports,"Pipeworks Software, Inc.",3.45,2.59,0.0,0.66,6.71,75.0,18,7.4,15,"Pipeworks Software, Inc.",E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Infinity Ward,3.11,2.26,0.28,1.03,6.68,94.0,44,8.4,27,Infinity Ward,M
Uncharted 2: Among Thieves,PS3,2009,Action,Naughty Dog,3.27,2.2,0.21,0.98,6.66,96.0,105,8.8,20,Naughty Dog,T
FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,75.0,18,7.4,15,Electronic Arts,E
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45,7.4,27,Nintendo,E
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,68.0,22,7.4,20,Nintendo,E
