pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,event_id
54.8285,-1.05321,0.690806,-1,0.000765241,0.000560974,0.0952098,42.2581,34.9344,-69.0295,Event_272801966
20.7584,1.81889,2.33154,1,0.00038094,0.000286363,0.0393095,-14.312,15.0358,62.3039,Event_652001849
29.3626,0.72165,-2.68605,-1,0.00071998,0.000610768,0.0766135,-26.3683,-12.9181,23.0772,Event_805047482
37.7227,1.1153,1.61427,-1,0.000715764,0.000650035,0.0766355,-1.63931,37.687,51.3532,Event_805047482
28.055,0.620279,-2.20474,1,0.000727164,0.000630765,0.0766523,-16.6178,-22.6038,18.5395,Event_805047482
36.5958,1.18924,-1.41466,1,0.000797961,0.000664676,0.0765882,5.6909,-36.1506,54.5301,Event_805047482
45.1774,1.14917,1.99703,1,0.00072269,0.000613028,0.0298051,-18.6784,41.1353,64.122,Event_652058695
5.53282,1.09597,-1.15424,-1,0.00102473,0.000737454,-0.0153533,2.23867,-5.05969,7.35278,Event_273102462
4.67612,2.04696,-3.05581,-1,0.000715325,0.000683217,-0.0878821,-4.65893,-0.400652,17.8047,Event_273204798
3.36274,-1.40236,-1.09101,1,0.000973069,0.000738031,0.0156057,1.55222,-2.98306,-6.42078,Event_273204798
38.6655,0.160156,1.1578,1,0.000702857,0.000624165,0.0219501,15.5185,35.4146,6.21903,Event_652427387
42.1988,1.66005,-0.501062,1,0.000664762,0.00050372,0.0220424,37.0114,-20.2705,106.963,Event_652427387
28.187,-1.16245,1.92001,-1,0.000732722,0.000620685,-0.0676053,-9.64455,26.4857,-40.6603,Event_651987545
63.2882,-1.22354,2.62184,1,0.00072435,0.000608978,-0.0319251,-54.9305,31.433,-98.2553,Event_272720518
20.4988,0.267782,1.9469,1,0.000991478,0.000711337,0.0197284,-7.52928,19.066,5.55504,Event_273100230
2.29749,0.367332,1.0244,-1,0.000256511,0.000893535,0.0198935,1.1938,1.96298,0.86305,Event_273100230
32.4451,-0.735666,-2.07098,-1,0.000698112,0.000629794,0.0236354,-15.5603,-28.4704,-26.0808,Event_652538562
31.6766,-2.38782,0.900658,1,0.000585116,0.000724929,0.0234889,19.6742,24.8261,-171.02,Event_652538562
2.98784,-2.13234,2.16654,-1,-0.00451974,-0.00307326,-0.0334639,-1.67655,2.47313,-12.4234,Event_273201718
43.2257,2.20912,1.64484,1,0.001124,0.000632777,-0.0283575,-3.19778,43.1072,194.469,Event_652644506
3.95896,2.17816,2.86541,-1,0.000962257,0.0014736,0.0402762,-3.80893,1.07957,17.2547,Event_652524425
19.21,0.130149,1.3078,1,0.000691653,0.00062326,0.0761564,4.99416,18.5495,2.50723,Event_652099539
14.036,0.129948,-0.649243,-1,0.000719055,0.000619555,-0.0126083,11.1802,-8.48591,1.82908,Event_1605749984
8.11384,2.23705,2.528,1,0.000595645,0.000446697,-0.011668,-6.63377,4.672,37.5625,Event_1605749984
47.002,-0.323879,3.05223,1,0.000724373,0.000608204,0.0145111,-46.8144,4.19442,-15.4905,Event_652595559
64.5574,-2.04478,0.464527,-1,0.0170224,-0.0329096,-0.0111391,57.7165,28.9217,-245.255,Event_652595559
18.2359,0.778733,1.72011,1,0.000659596,0.000599902,-0.0605195,-2.71281,18.033,15.6803,Event_153791279
24.5158,-0.405374,2.84684,-1,0.000797375,0.000893662,-0.0605931,-23.4586,7.12186,-10.2125,Event_153791279
34.4153,-0.748183,2.49698,1,0.000694601,0.000568733,-0.032292,-27.5093,20.6798,-28.2194,Event_273025542
31.4592,1.64987,-1.67486,-1,0.000696101,0.000615713,-0.0323717,-3.26771,-31.289,78.8717,Event_273025542
7.49092,0.0235597,-2.0844,-1,0.000663501,0.000643637,0.124439,-3.68047,-6.52442,0.1765,Event_272823854
2.06272,-0.233066,-0.154099,-1,0.0007022,0.000569556,0.0399465,2.03828,-0.316606,-0.485115,Event_1203594102
2.65992,2.00597,-2.18704,1,-0.0105003,0.00913216,-0.0599866,-1.53737,-2.17063,9.70707,Event_1203594102
53.6878,0.0773403,-1.47042,1,0.00082067,0.000624211,-0.0766894,5.38004,-53.4175,4.15637,Event_652238569
26.5392,0.198947,-0.0791674,-1,0.000714612,0.000480135,0.116078,26.4561,-2.09885,5.31479,Event_652423091
2.74298,-1.98662,-1.77508,-1,0.000942602,0.00059306,0.0792237,-0.556458,-2.68594,-9.81118,Event_272696318
29.9926,-0.295627,-1.79314,1,0.00067411,0.000624583,-0.0657944,-6.61389,-29.2542,-8.99633,Event_652655004
2.909,1.90144,-0.220961,-1,0.000714093,0.000610763,0.0680166,2.83828,-0.637558,9.52141,Event_651938592
19.0733,-0.30726,-2.82575,1,0.000731641,0.000591927,0.0654832,-18.1299,-5.92449,-5.95312,Event_27000461
9.63023,-2.26106,1.31305,-1,0.000768703,0.000592815,0.0654059,2.45478,9.31211,-45.6907,Event_27000461
21.2109,0.0214819,-1.23997,1,0.000737036,0.000628603,0.0333445,6.88989,-20.0607,0.455684,Event_137440354
10.3451,-0.353882,2.4158,-1,0.000751042,0.000654058,0.0333482,-7.73787,6.8663,-3.73783,Event_137440354
42.9441,-1.92035,-1.12488,-1,0.00069564,0.000591511,0.0320034,18.5211,-38.7449,-143.364,Event_273215406
24.8033,1.67943,-0.0143314,-1,0.000708484,0.0060673,-0.0191237,24.8007,-0.355454,64.1912,Event_652184289
24.3724,-0.133998,-2.07008,-1,0.00074378,0.000621331,-0.0472878,-11.6694,-21.3972,-3.27565,Event_1357605031
70.1303,-0.89398,1.98766,1,0.000731017,0.000647063,-0.0473625,-28.3953,64.1247,-71.3863,Event_1357605031
22.4844,1.42129,-1.87142,1,0.000636288,0.000649523,-0.0473871,-6.65792,-21.476,43.8565,Event_1357605031
5.83956,0.44583,1.57602,-1,-0.0109161,0.000507036,-0.0466046,-0.0304823,5.83948,2.69056,Event_1357605031
32.6839,-1.27282,-1.89693,1,0.000710218,0.000613381,0.033132,-10.4714,-30.961,-53.7793,Event_273184270
75.7478,-1.7419,2.15161,-1,0.000699234,0.000591827,-0.00220179,-41.5632,63.3264,-209.555,Event_273070534
36.0926,-1.68441,2.72751,-1,0.000710329,0.000657764,-0.05395,-33.0422,14.5218,-93.9073,Event_421267699
11.6195,-1.03192,-2.85777,1,0.00069182,0.000657554,-0.0540072,-11.1547,-3.25374,-14.2348,Event_421267699
42.7156,-0.435157,-0.692635,1,0.000713395,0.000650364,-0.0540254,32.8725,-27.2768,-19.1802,Event_421267699
16.4621,-1.76705,-0.237992,-1,0.000712828,0.000700632,-0.0539762,15.998,-3.88096,-46.7748,Event_421267699
