et,eta,theta,phi,event_id
57.9928,-0.180914,1.75073,-2.14639,Event_1203594102
41.3346,-1.33591,2.62739,1.94417,Event_1203594102
38.0523,-0.749252,2.25842,0.435127,Event_1203594102
35.0635,0.600639,1.00332,1.57927,Event_1203594102
33.5555,0.470326,1.11691,-1.13368,Event_1203594102
28.1942,2.26679,0.206552,1.31824,Event_1203594102
24.3445,2.24291,0.211506,-1.62204,Event_1203594102
23.0748,0.297025,1.27805,2.95901,Event_1203594102
19.8168,1.78698,0.331851,-0.255151,Event_1203594102
18.5223,-0.552364,2.09704,2.34399,Event_1203594102
18.7452,-0.321453,1.88685,-0.437497,Event_1203594102
16.5885,1.3629,0.501083,3.09583,Event_1203594102
13.5884,1.3819,0.492029,-2.06659,Event_1203594102
12.4759,4.28048,0.0276702,0.574234,Event_1203594102
11.2494,-4.30399,3.11457,-0.536829,Event_1203594102
10.6507,3.03017,0.0965398,0.60367,Event_1203594102
10.8037,-1.63718,2.75733,-0.806174,Event_1203594102
10.5984,-3.9351,3.10251,2.04603,Event_1203594102
10.9358,1.10658,0.638738,0.506513,Event_1203594102
10.2147,-2.32506,2.94666,2.49962,Event_1203594102
9.96126,4.3835,0.0249619,-0.987529,Event_1203594102
9.96926,-2.97422,3.03951,0.961893,Event_1203594102
10.2383,-0.989104,2.42948,-1.7587,Event_1203594102
9.16756,4.28827,0.0274556,1.73065,Event_1203594102
8.45527,-3.79405,3.09659,-1.6552,Event_1203594102
8.16612,3.21403,0.080345,-1.01584,Event_1203594102
6.52548,-3.10579,3.05207,-0.812696,Event_1203594102
6.40569,-2.86885,3.02819,-2.50843,Event_1203594102
5.8835,-0.604623,2.14163,1.2597,Event_1203594102
5.55561,3.61622,0.053755,-0.237016,Event_1203594102
5.49769,3.40037,0.0666971,2.35786,Event_1203594102
5.27019,-2.25227,2.93204,-1.72044,Event_1203594102
4.93789,2.13875,0.234523,2.27995,Event_1203594102
4.90147,-0.91426,2.37918,-2.79082,Event_1203594102
4.70203,3.66708,0.051091,-2.20301,Event_1203594102
4.57399,-3.86868,3.09983,-3.08125,Event_1203594102
4.24415,2.97716,0.101787,-2.969,Event_1203594102
3.97512,0.292097,1.28277,0.642229,Event_1203594102
3.85827,-1.88653,2.84069,1.07222,Event_1203594102
3.80073,0.668252,0.94736,-0.324418,Event_1203594102
3.51912,-3.81762,3.09764,0.240499,Event_1203594102
3.48143,2.23516,0.21314,-2.46285,Event_1203594102
3.19359,-1.86452,2.8341,-2.98873,Event_1203594102
3.11585,-2.1619,2.91239,0.112456,Event_1203594102
127.388,1.43777,0.466277,-1.85681,Event_1357605031
100.902,-0.896267,2.36667,1.9984,Event_1357605031
89.5282,0.405461,1.17601,1.77493,Event_1357605031
76.3806,-2.53637,2.98362,-0.410782,Event_1357605031
50.3818,-0.151503,1.72172,-2.07344,Event_1357605031
27.2173,0.36049,1.21787,-2.78935,Event_1357605031
19.034,-2.20976,2.92301,2.98999,Event_1357605031
17.3272,3.40503,0.066387,1.09271,Event_1357605031
17.9297,0.726136,0.901167,-0.889555,Event_1357605031
15.9257,2.26224,0.207487,-2.79523,Event_1357605031
16.429,-1.24408,2.58039,-2.71818,Event_1357605031
15.6094,3.18578,0.0826449,-0.882659,Event_1357605031
14.4877,-2.10106,2.89815,1.28723,Event_1357605031
14.2991,-3.38553,3.0739,-1.76502,Event_1357605031
13.8961,3.15905,0.0848808,-3.07868,Event_1357605031
13.6241,-1.66238,2.76667,-0.463418,Event_1357605031
13.3746,2.80495,0.120873,-1.97052,Event_1357605031
12.9461,4.1467,0.0316304,-1.52168,Event_1357605031
12.15,3.98406,0.0372155,2.44555,Event_1357605031
11.358,-0.617893,2.15275,-0.805213,Event_1357605031
10.6993,-0.394401,1.95535,0.681367,Event_1357605031
9.58232,1.68799,0.365653,0.62882,Event_1357605031
9.30203,-1.68921,2.77638,-1.52527,Event_1357605031
9.105,-4.32799,3.11521,-2.48511,Event_1357605031
8.92825,-3.80032,3.09687,0.638825,Event_1357605031
8.54796,4.82816,0.0160021,-0.761314,Event_1357605031
8.36641,3.09008,0.0909337,0.226613,Event_1357605031
7.87994,4.20826,0.0297422,-2.57632,Event_1357605031
7.94258,1.37294,0.496277,-2.88852,Event_1357605031
7.82544,1.69469,0.363265,2.55912,Event_1357605031
7.64377,-2.78973,3.01887,0.626777,Event_1357605031
7.26032,-1.67214,2.77023,0.502684,Event_1357605031
7.10104,-2.10387,2.89882,2.19525,Event_1357605031
7.03286,-4.68393,3.12311,-1.30392,Event_1357605031
6.53737,-3.52209,3.08253,3.0674,Event_1357605031
6.34404,-4.73878,3.12409,1.24119,Event_1357605031
5.95625,4.21213,0.0296273,0.0753056,Event_1357605031
5.49508,-0.0763704,1.64709,2.5205,Event_1357605031
5.17937,4.83498,0.0158934,1.19021,Event_1357605031
4.96941,2.0468,0.256873,-0.810258,Event_1357605031
4.80974,-3.56983,3.08529,-0.565249,Event_1357605031
4.74886,-1.28036,2.5994,2.71201,Event_1357605031
4.54876,-3.44709,3.07794,1.58941,Event_1357605031
4.41904,-0.0247398,1.59553,-0.14377,Event_1357605031
3.81161,2.65827,0.13991,2.26421,Event_1357605031
3.43309,-0.935906,2.39401,0.205327,Event_1357605031
3.34151,-4.17596,3.11087,2.28513,Event_1357605031
3.18229,0.94738,0.739813,-0.175163,Event_1357605031
3.08352,4.96867,0.0139045,2.60297,Event_1357605031
64.8136,-0.828544,2.31814,1.80283,Event_137440354
41.5003,-0.383485,1.94521,0.613232,Event_137440354
36.0779,2.00095,0.268782,-2.21358,Event_137440354
38.83,0.00137248,1.56942,2.52757,Event_137440354
34.5277,0.0641945,1.50665,-1.157,Event_137440354
32.631,-2.0188,2.87751,-1.14974,Event_137440354
29.1125,-2.86941,3.02825,0.616503,Event_137440354
29.7102,1.42343,0.472766,-0.120467,Event_137440354
25.7601,-3.10475,3.05198,-1.89499,Event_137440354
27.111,-0.664977,2.19157,-0.409858,Event_137440354
26.7187,0.53138,1.06279,-2.7947,Event_137440354
23.5121,1.45873,0.456945,2.56204,Event_137440354
22.6956,-2.13457,2.9061,2.82604,Event_137440354
22.042,2.51527,0.161332,1.3607,Event_137440354
21.9514,-4.37915,3.11652,-1.09075,Event_137440354
21.8757,-3.26094,3.06493,-2.96479,Event_137440354
21.7116,-1.64826,2.76147,0.352279,Event_137440354
20.8101,-3.35035,3.07148,-1.044,Event_137440354
20.1192,-4.44894,3.11821,3.01729,Event_137440354
20.071,2.94982,0.104602,-0.93333,Event_137440354
20.0514,4.27113,0.02793,-2.17162,Event_137440354
19.8951,2.97682,0.101821,-2.07958,Event_137440354
21.2178,0.585248,1.01635,1.33658,Event_137440354
18.132,-2.05393,2.88653,-2.18036,Event_137440354
18.4667,-1.0152,2.44636,-2.77971,Event_137440354
16.9437,3.84725,0.04267,-0.123507,Event_137440354
15.6664,4.10414,0.0330055,1.03481,Event_137440354
15.5706,4.02065,0.0358788,2.87496,Event_137440354
15.5506,-3.28329,3.06662,1.7923,Event_137440354
14.0882,1.04842,0.674227,-1.89327,Event_137440354
13.325,-3.47676,3.0798,-0.0760868,Event_137440354
12.9958,-4.43077,3.11778,1.41865,Event_137440354
12.338,0.321723,1.25448,-0.14525,Event_137440354
11.7629,-4.10587,3.10864,-2.33243,Event_137440354
11.7696,2.96298,0.103237,2.25081,Event_137440354
10.7415,2.85209,0.115319,0.368227,Event_137440354
10.3481,-1.91481,2.84896,1.7039,Event_137440354
10.0646,-4.45344,3.11832,0.0890349,Event_137440354
8.40946,1.60986,0.394628,0.781781,Event_137440354
7.94637,4.25649,0.0283419,-1.06191,Event_137440354
8.07233,-1.11498,2.50785,-1.28926,Event_137440354
6.656,2.48708,0.165922,-3.10108,Event_137440354
6.50478,1.17527,0.598901,-1.0147,Event_137440354
6.34616,-3.07526,3.0493,2.52938,Event_137440354
5.81609,4.89324,0.0149939,2.98572,Event_137440354
5.72215,4.82224,0.0160972,0.0337717,Event_137440354
4.41602,-2.35668,2.95269,-0.321294,Event_137440354
4.13386,-3.97749,3.10413,2.334,Event_137440354
4.15221,2.11871,0.239225,-1.02525,Event_137440354
3.91226,4.09266,0.0333864,1.9356,Event_137440354
3.40547,1.50048,0.438862,1.75791,Event_137440354
3.25467,-0.137271,1.70764,-2.04001,Event_137440354
77.32,1.39568,0.485559,-2.5913,Event_1430970868
45.7382,1.09998,0.642682,-0.107413,Event_1430970868
31.6052,1.06068,0.666607,0.839755,Event_1430970868
29.0287,0.496331,1.09367,-1.50208,Event_1430970868
26.9729,-2.51745,2.98061,2.93501,Event_1430970868
26.2374,2.44947,0.172251,2.86782,Event_1430970868
26.5113,-1.3161,2.61756,1.92677,Event_1430970868
25.9472,1.57759,0.407223,-1.00497,Event_1430970868
23.6414,-1.9416,2.85659,0.515823,Event_1430970868
22.3828,-0.903823,2.37194,-2.37914,Event_1430970868
21.169,2.37425,0.185634,1.21659,Event_1430970868
20.9267,-2.73604,3.01212,1.9582,Event_1430970868
22.2016,-0.397764,1.95847,1.28481,Event_1430970868
20.1998,2.93218,0.10646,-0.1575,Event_1430970868
21.9731,-0.124105,1.69458,3.08517,Event_1430970868
19.9079,1.59045,0.402159,2.29857,Event_1430970868
18.7855,0.0148429,1.55595,0.385559,Event_1430970868
17.1819,-0.506839,2.05723,-0.975186,Event_1430970868
15.0517,-4.29543,3.11433,-0.199557,Event_1430970868
12.6481,2.55282,0.15541,-2.19076,Event_1430970868
12.7552,-1.60104,2.74356,-0.749832,Event_1430970868
11.0576,-2.64344,2.9996,-1.56589,Event_1430970868
9.83675,-3.17138,3.05775,0.424265,Event_1430970868
8.93394,3.69649,0.0496109,-2.05516,Event_1430970868
8.70334,-4.01384,3.10547,2.10812,Event_1430970868
8.58491,3.9266,0.039416,2.28637,Event_1430970868
8.17823,-3.29089,3.06719,-0.503944,Event_1430970868
7.89338,-3.84194,3.0987,-2.60097,Event_1430970868
7.18938,-3.90979,3.10151,-1.38072,Event_1430970868
6.58679,4.00702,0.0363709,-0.604983,Event_1430970868
6.55654,4.04578,0.0349884,0.493461,Event_1430970868
6.93416,0.480803,1.10751,-2.45807,Event_1430970868
6.1491,1.52649,0.427941,1.56887,Event_1430970868
6.10757,1.59799,0.399218,-1.77425,Event_1430970868
6.02987,-1.49589,2.70077,-3.11011,Event_1430970868
5.7665,3.48972,0.0610001,-3.03613,Event_1430970868
5.50708,-1.43484,2.674,-1.7147,Event_1430970868
5.35429,3.12098,0.0881703,0.843735,Event_1430970868
5.31985,2.74063,0.12888,-1.26098,Event_1430970868
4.59375,-4.42747,3.1177,0.903549,Event_1430970868
