pt,charge,pos_x,pos_y,pos_z,phi,eta,event_id
1.37519,-1,0.000743633,0.00062604,-0.0256399,2.02698,-1.6323,Event_652620608
1.61969,1,0.0275379,-0.0271289,0.100175,-2.37353,-1.47051,Event_652620608
1.23434,-1,0.000723189,0.000607738,-0.0285125,0.184089,-2.05871,Event_273090582
1.61118,1,-0.000231267,0.00487229,0.0592104,-2.91993,-2.13825,Event_652001849
3.07198,1,0.000740676,0.000547657,0.0536452,-2.97367,-2.13128,Event_652001849
1.43239,-1,0.000470771,0.000230273,0.0390391,2.54841,-2.39335,Event_652001849
8.31398,1,0.000799949,0.000683602,0.0390736,2.35362,1.82007,Event_652001849
1.17159,-1,0.000629441,0.000666524,0.044166,1.07101,1.60367,Event_652001849
2.09418,-1,-0.0142589,-0.0172584,0.0393633,2.4438,-2.09124,Event_652001849
1.16092,-1,0.000804558,0.000823157,0.0477569,2.63655,-2.07831,Event_805047482
6.9224,1,0.00160024,0.000275289,0.0329721,1.20171,-0.780593,Event_652163381
11.8247,1,0.000711503,0.000620111,0.0219488,1.15799,0.160167,Event_652427387
1.79143,1,-0.0837823,-0.0986919,0.134936,2.43647,-1.37495,Event_652616753
1.17603,-1,0.00103037,0.000452473,0.0136181,-2.04503,2.31601,Event_272735518
1.07913,1,0.000756055,0.000578183,0.0164795,-2.38502,-2.064,Event_272735518
1.29825,-1,0.0128464,-0.00615414,0.2334,-2.0797,2.14952,Event_272735518
9.16553,1,0.000675117,0.000639757,-0.0681265,1.35136,2.20045,Event_1430970868
63.0047,-1,0.000691816,0.000635484,-0.067884,-2.5838,1.35909,Event_1430970868
21.9699,-1,0.00069251,0.000669328,-0.067995,-0.0331843,1.09564,Event_1430970868
23.4292,1,0.000675033,0.000650188,-0.0679429,0.861213,1.01621,Event_1430970868
4.91363,-1,0.000692769,0.000601748,-0.0185821,3.04243,-2.13683,Event_1430970868
47.0142,-1,0.000693171,0.000596133,-0.0125558,2.02133,1.78576,Event_1605749984
15.547,1,0.000687438,0.000588978,-0.0124491,-0.933628,-0.47456,Event_1605749984
1.36366,1,0.0091868,0.0172778,-0.00540836,2.67103,2.23731,Event_1605749984
13.6129,-1,0.000695914,0.000625246,-0.060486,0.548065,1.60484,Event_153791279
78.1523,1,0.000705432,0.000610844,-0.0605041,2.26347,-0.370832,Event_153791279
1.36994,-1,0.000684448,0.000629682,-0.0535937,-2.31494,-1.85739,Event_153791279
27.8533,-1,0.000706306,0.000608701,-0.0633414,1.91092,-1.33245,Event_1203594102
40.1528,-1,0.000717947,0.000596198,-0.0634113,-2.12755,-0.145654,Event_1203594102
20.7744,1,0.000704554,0.000598847,-0.0633716,0.428855,-0.766276,Event_1203594102
15.0707,1,0.000673369,0.000606077,-0.0633782,1.5969,0.574814,Event_1203594102
0.815649,-1,0.000787602,0.000555902,0.0401534,-2.30291,2.12768,Event_272696318
1.13324,-1,0.00133141,0.00040633,0.0786764,-1.8934,2.10294,Event_272696318
1.07314,1,-0.00451441,-0.00891935,0.0567663,-0.503305,2.30007,Event_272696318
1.47235,1,-9.84973e-05,-0.00302354,0.0834869,-0.225804,1.52991,Event_272696318
1.0597,-1,0.00366762,-0.000600971,0.00470843,-1.96052,1.98532,Event_272696318
3.22569,1,0.000727924,0.000613886,-0.0193935,-0.711321,-1.78417,Event_273206142
1.19224,-1,0.000752368,0.000589921,0.0166372,-2.20808,-2.10982,Event_273206142
37.742,1,0.000742658,0.00060699,0.0654432,-1.42084,-0.403333,Event_27000461
36.5514,-1,0.000727732,0.000609757,0.0654566,0.875753,-0.338273,Event_27000461
23.8616,-1,0.00073482,0.00062525,0.0333991,-1.20971,-2.02068,Event_137440354
43.3751,1,0.000717436,0.000619962,0.0333074,1.82177,-0.852283,Event_137440354
1.23013,-1,0.000569327,0.000714116,-0.0307507,-2.09664,-2.22911,Event_137440354
1.2792,-1,0.00116831,0.000365393,-0.0307536,-2.09916,-2.24917,Event_137440354
1.38801,-1,0.00197537,-0.0001004,-0.0492599,-2.09623,-2.23257,Event_137440354
1.33229,-1,-0.0378463,0.0142551,-0.147895,-1.91088,-2.12031,Event_137440354
2.29671,1,0.000774248,0.000197063,0.0675828,-3.03788,-2.17921,Event_651992907
1.43274,-1,0.000848684,0.000565384,0.0167762,-1.90976,2.18563,Event_272976462
0.997935,-1,0.000725094,0.000615136,-0.0186913,2.95275,2.42404,Event_272976462
3.2938,1,0.000753083,0.000561812,-0.0184245,-2.58993,2.34183,Event_272976462
57.6781,1,0.000705286,0.000660181,0.00320795,2.83887,1.21413,Event_635670564
35.6102,-1,0.000704474,0.000644223,0.00326711,0.498659,0.599711,Event_635670564
15.9057,-1,0.000696641,0.000653369,0.00324057,0.880223,0.343792,Event_635670564
11.3829,1,0.000701941,0.000651794,0.0032279,3.09836,-0.101123,Event_635670564
22.7815,1,0.000708569,0.000636204,-0.0472497,-2.7496,0.325762,Event_1357605031
13.2045,-1,0.0007416,0.000623504,-0.0471736,-2.02962,-0.122117,Event_1357605031
0.769338,1,0.000804075,0.000579672,-0.0775063,1.14785,2.35431,Event_651906625
2.00668,-1,0.000752377,0.000616761,0.051348,-1.12881,-1.5519,Event_273070534
0.982907,-1,0.000352286,0.00068352,0.0163225,1.42008,1.94626,Event_421267699
2.96196,1,0.000694373,0.000634398,-0.0545701,1.56084,2.3911,Event_421267699
1.67864,1,0.000726244,0.000635611,0.0152654,1.74936,2.15679,Event_421267699
