energy,et,eta,phi,pos_x,pos_y,pos_z,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,event_id
207.649,187.368,0.461175,1.7024,0.000715703,0.000616198,-0.0596735,0.234298,0.234298,0.0,94.9255,158.047,143.998,177.523,62.6725,0.0125593,0.0124811,0.534724,0.89029,0.693602,16.1177,12.4313,12.4313,0.0,34.636,33.8174,13,12,12.7857,9.04631,9.04631,0.0,18.3479,17.5293,7,6,Event_1096322394
138.028,57.1562,-1.52889,-1.26924,0.000740159,0.00065248,-0.132979,0.162178,0.120652,0.0415254,74.425,96.2716,93.6586,109.389,53.5054,0.0183689,0.0428905,0.680369,0.880083,0.706994,16.4019,23.4837,20.2874,3.19631,38.2067,38.2067,11,11,15.2114,18.1486,15.2623,2.88628,34.6649,34.6649,9,9,Event_1096322990
59.6992,20.9846,-1.70625,1.48269,0.000740159,0.00065248,-0.132979,0.0636313,0.0636313,0.0,14.5702,20.0807,20.768,27.0203,11.4211,0.0248757,0.0454057,0.539233,0.743173,0.400256,10.9173,16.5191,15.4446,1.0745,23.3234,23.3234,10,10,8.97853,8.00002,8.00002,0.0,13.7802,13.7802,7,7,Event_1096322990
53.8654,44.5493,0.635943,-1.70516,0.000714129,0.000611042,0.0447651,0.432445,0.432445,0.0,14.0503,21.4236,23.247,33.3714,7.55139,0.0181796,0.0185473,0.421028,0.641973,0.432069,24.3902,24.7471,24.7471,0.0,88.9126,40.1978,12,10,23.0313,18.2691,18.2691,0.0,88.1245,39.4096,11,9,Event_1096324132
10.7819,10.1001,0.365388,0.277702,0.000714129,0.000611042,0.0447651,0.10462,0.10462,0.0,8.94736,9.36027,9.63529,9.65858,8.05109,0.00809696,0.00805797,0.926364,0.969114,0.890178,7.01544,1.45842,1.45842,0.0,6.20346,6.20346,3,3,6.41792,0.666889,0.666889,0.0,5.27979,5.27979,2,2,Event_1096324132
13.0185,12.8336,0.169536,-1.19088,0.000705802,0.000642139,-0.0431561,0.374395,0.374395,0.0,5.67689,6.27047,6.63077,7.67889,3.0354,0.016918,0.017115,0.739286,0.816586,0.509017,32.79,43.4446,43.4446,0.0,84.933,84.933,13,13,29.8522,36.1246,36.1246,0.0,84.933,84.933,13,13,Event_1096334507
103.297,58.9789,1.15981,0.259093,0.000723331,0.000617439,0.0711468,0.436057,0.436057,0.0,20.9122,38.4374,33.8715,52.1175,13.6898,0.0182203,0.0185293,0.401251,0.737515,0.337993,16.7291,28.2459,27.5156,0.730307,34.5224,34.5224,8,8,12.4704,24.1556,24.1556,0.0,31.3605,31.3605,7,7,Event_1096348642
74.7916,11.4704,2.56215,-1.99478,0.000723331,0.000617439,0.0711468,0.0294185,0.0179446,0.0114739,26.8778,44.8648,39.8614,52.6162,15.0936,0.0545536,0.0392142,0.510828,0.852682,0.573127,0.665701,1.63969,1.28544,0.354241,0.0,0.0,0,0,0.460605,0.954791,0.856414,0.098377,0.0,0.0,0,0,Event_1096348642
79.0653,78.9902,0.0436056,-1.04597,0.000712899,0.000620316,0.00194928,0.315864,0.315864,0.0,48.1284,60.5763,62.0423,69.5012,32.3872,0.0165834,0.0156421,0.692483,0.871587,0.781294,12.2004,11.1935,11.1935,0.0,33.73,20.9005,8,7,8.39077,11.1935,11.1935,0.0,29.8062,16.9767,6,5,Event_1096349020
52.9303,38.5906,0.83739,1.40825,0.000681136,0.000644595,0.00147032,0.227618,0.227618,0.0,10.0279,19.6877,23.9837,30.5768,5.06675,0.0177439,0.0179772,0.327957,0.643875,0.455889,10.4854,6.4649,6.4649,0.0,33.7309,18.688,8,6,9.3615,4.93222,4.93222,0.0,31.7739,16.731,6,4,Event_1096352658
