eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,event_id
-1.33245,1.91092,27.8533,-1,0.0,0.0,1.09197,0.0,0.0424103,0.0424103,0.0424103,0.0,,-999.0,0,1,,,1,Event_1203594102
-1.45101,-0.961732,1.58189,-1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
-1.05423,-2.0371,2.12971,1,0.566242,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
-0.742557,-2.63008,1.43253,1,1.26129,0.0,0.763651,0.0,0.455663,0.455663,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
1.36952,-1.16893,0.850159,1,1.37719,0.0,1.31544,0.0,4.16106,2.46458,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
-0.822372,-1.56506,1.41241,1,0.566242,1.11627,0.0,1.0,0.0,0.0,0.0,0.691112,,-999.0,0,0,,,1,Event_1203594102
-0.145654,-2.12755,40.1528,-1,2.11428,0.0,0.90339,0.313332,0.0223097,0.0223097,0.0,0.0101801,,-999.0,0,1,,,1,Event_1203594102
0.17864,2.84363,3.02982,1,3.2414,0.0,1.16162,0.422665,0.383087,0.383087,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
0.574814,1.5969,15.0707,1,1.76287,1.81953,1.30267,0.53473,0.1603,0.0864368,0.0864368,0.054719,,-999.0,0,1,,,1,Event_1203594102
0.656163,-1.0991,4.87192,-1,4.11678,0.0,1.31544,0.721989,1.36251,1.09778,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
-0.766276,0.428855,20.7744,1,4.50201,0.0,0.0,1.0,0.0,0.0,0.0,0.145695,,-999.0,0,1,,,1,Event_1203594102
-0.140023,-0.35538,0.781551,-1,0.598372,5.86238,0.874167,0.713759,3.07351,1.12628,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
2.31404,1.33097,9.82294,-1,3.29312,6.52712,10.1264,0.395826,1.47212,1.0104,1.0104,0.925642,,-999.0,0,0,,,1,Event_1203594102
2.00785,-1.29251,2.60035,-1,0.0,0.0,1.3044,0.269481,3.37968,1.15356,0.998863,1.24673,,-999.0,0,0,,,1,Event_1203594102
-0.564332,-0.696114,4.55953,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.26152,,-999.0,0,0,,,1,Event_1203594102
