pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,pt,phi,eta,charge,chi2,ndof,event_id
0.000713358,0.000475197,-0.0634042,-0.990972,-0.0936851,0.0959016,1.14212,-3.04733,0.0961972,1,1.07851,3,Event_1203594102
0.000725091,0.00057924,0.0722003,-0.902191,-0.351555,0.249921,0.878531,-2.77002,0.255328,1,14.2487,17,Event_1203594102
0.000698136,0.000633928,0.072195,-0.676709,-0.379866,-0.630687,1.43253,-2.63008,-0.742557,1,16.5334,18,Event_1203594102
0.000748694,0.000507109,-0.0968861,-0.427567,-0.218504,0.877179,0.961704,-2.66915,1.3634,-1,52.3958,25,Event_1203594102
0.000729166,0.000580016,0.0631284,-0.692623,-0.440315,-0.571311,0.960208,-2.57532,-0.649467,1,16.7464,14,Event_1203594102
0.000745788,0.000548039,0.07218,-0.77394,-0.426186,-0.468383,1.26129,-2.63823,-0.507997,-1,15.5753,16,Event_1203594102
0.000764869,0.000499549,-0.0632949,-0.623187,-0.371475,-0.688218,1.3984,-2.60405,-0.844562,-1,4.39352,7,Event_1203594102
0.000646395,0.000673599,-0.0709618,-0.202155,-0.163258,0.96565,1.35229,-2.46224,2.02349,1,42.5481,43,Event_1203594102
0.00073573,0.000558069,-0.0633821,-0.809052,-0.577996,0.106561,1.13223,-2.52126,0.106968,-1,8.1991,9,Event_1203594102
0.000706105,0.000599988,-0.0634651,-0.733962,-0.559843,0.384547,1.1664,-2.48997,0.405384,-1,1.48509,7,Event_1203594102
0.000748559,0.000559291,-0.125103,-0.288667,-0.315657,0.903898,2.43513,-2.31156,1.49313,1,6.14591,5,Event_1203594102
0.000796613,0.000561914,-0.0630014,-0.126886,-0.270773,0.954244,0.975193,-2.00902,1.87722,-1,25.8667,33,Event_1203594102
0.00080769,0.000573914,-0.0633604,-0.271351,-0.88088,-0.387838,0.982046,-1.86962,-0.409253,-1,14.5215,16,Event_1203594102
0.000779738,0.000607256,-0.0633165,0.00422386,-0.73656,-0.676359,1.41241,-1.56506,-0.822372,1,6.79831,12,Event_1203594102
0.000668044,0.000610729,-0.125039,-0.0497947,-0.965343,0.256191,0.810719,-1.62233,0.262028,-1,5.07237,3,Event_1203594102
0.000964595,0.000640294,0.039519,0.147902,-0.984295,-0.0963731,0.928333,-1.42165,-0.0966731,1,22.1204,17,Event_1203594102
0.000465702,0.000569639,-0.0632024,0.134516,-0.85137,0.507025,1.06765,-1.41409,0.558717,1,19.6042,16,Event_1203594102
