pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id
1.37519,-1.6323,2.02698,-1.0,,,,,,,muon,652620608
1.61969,-1.47051,-2.37353,1.0,,,,,,,muon,652620608
35.556,0.00578447,1.834,,0.000725879,0.000609286,-0.0475917,,,,photon,652620608
30.9368,1.94829,-1.74553,,0.000725879,0.000609286,-0.0475917,,,,photon,652620608
1.07084,-0.797238,3.12657,-1.0,0.000715753,0.000531741,-0.0878381,-0.748987,0.0112515,-0.66249,track,652620608
1.18671,-1.19311,-3.05249,-1.0,0.000701977,0.000826038,-0.0475475,-0.553261,-0.0494302,-0.83154,track,652620608
0.774977,-1.04753,-3.03704,-1.0,0.000692844,0.000900034,-0.0251772,-0.621312,-0.0651952,-0.780846,track,652620608
1.03703,1.03198,-2.96562,-1.0,0.000741712,0.000519355,-0.00190566,-0.622563,-0.110698,0.774701,track,652620608
0.934525,1.60116,-2.80882,1.0,0.000690144,0.000697795,-0.083114,-0.366304,-0.126603,0.921842,track,652620608
0.905223,0.675504,-2.87693,-1.0,0.000703874,0.000667553,-0.087803,-0.780285,-0.211469,0.588589,track,652620608
1.18204,-0.874157,-2.75964,1.0,0.000755824,0.000546994,0.0538352,-0.659501,-0.264906,-0.70348,track,652620608
1.08103,-0.506255,-2.73723,1.0,0.00086924,0.000269752,-0.0476053,-0.812934,-0.347892,-0.467022,track,652620608
1.05149,1.39926,-2.76164,-1.0,0.000713366,0.000628952,-0.0831689,-0.432049,-0.172543,0.885191,track,652620608
1.14046,1.03093,-2.62881,-1.0,0.000712667,0.000636087,-0.00195408,-0.551448,-0.310477,0.77428,track,652620608
0.801009,0.647843,-2.51376,1.0,0.000748561,0.000581804,-0.00182188,-0.66484,-0.482537,0.570216,track,652620608
1.12651,0.394659,-2.49002,1.0,0.00068882,0.000655919,-0.087714,-0.736985,-0.562095,0.375369,track,652620608
0.937007,-0.164389,-2.43617,1.0,0.000716546,0.000624234,-0.00190947,-0.751162,-0.639696,-0.162924,track,652620608
1.30034,1.52807,-2.48588,-1.0,0.000668959,0.000687159,-0.00198861,-0.328463,-0.25267,0.910093,track,652620608
2.13931,-1.4459,-2.36832,1.0,0.000640788,0.000702561,0.0454313,-0.319391,-0.311737,-0.89488,track,652620608
0.764264,1.58008,-2.30964,1.0,0.000795906,0.000547024,-0.087788,-0.266111,-0.292119,0.918614,track,652620608
2.0517,-2.05454,-2.23349,-1.0,0.000845383,0.000521437,0.0447828,-0.155141,-0.19879,-0.967685,track,652620608
0.83699,-0.231391,-2.23008,-1.0,0.000724313,0.000613257,-0.0880235,-0.596511,-0.769732,-0.227348,track,652620608
0.920916,-0.428268,-2.06426,-1.0,0.000794559,0.00057703,-0.00172221,-0.43333,-0.805675,-0.403873,track,652620608
0.832607,0.51934,-1.90562,1.0,0.000724067,0.000615248,-0.0251746,-0.288772,-0.83,0.477191,track,652620608
0.789667,0.0718452,-1.88314,1.0,0.000844146,0.000577849,-0.0880364,-0.306501,-0.949165,0.0717219,track,652620608
1.46475,1.96365,-1.85889,1.0,0.000751587,0.000607691,-0.0478853,-0.0782103,-0.263924,0.961368,track,652620608
1.59583,0.333897,-1.77136,1.0,0.000649676,0.000628312,0.045187,-0.18861,-0.927756,0.322018,track,652620608
0.791062,-1.62669,-1.83033,-1.0,0.000525671,0.000667394,-0.00279898,-0.0971426,-0.365854,-0.925589,track,652620608
2.4014,-1.12497,-1.70556,-1.0,0.000735016,0.000614911,-0.0475337,-0.0789219,-0.582084,-0.809289,track,652620608
0.867799,-0.609197,-1.63076,-1.0,0.000724017,0.000618254,-0.0831014,-0.0503046,-0.837861,-0.543562,track,652620608
