pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
2.40015,0.739663,1.62212,1.0,0.00064692,0.000633016,0.0398791,electron,22109111
1.31483,0.945947,-3.09573,1.0,0.000697612,0.000622554,-0.0291729,track,22109111
1.38425,-1.48847,-2.93427,1.0,0.000703,0.000610897,-0.0290911,track,22109111
0.973126,0.576321,-2.91378,1.0,0.000704324,0.000610783,-0.0204572,track,22109111
1.69715,1.37324,-2.92621,1.0,0.000701323,0.000622805,-0.0203291,track,22109111
1.75076,1.04362,-2.97217,-1.0,0.000700173,0.000624881,-0.0201148,track,22109111
0.929799,1.16474,-2.90062,1.0,0.000707662,0.000598863,-0.0203556,track,22109111
0.857534,0.143535,-2.88301,1.0,0.000702754,0.000620291,-0.0205344,track,22109111
0.924286,-0.660772,-2.93239,-1.0,0.000711617,0.000582762,0.00375652,track,22109111
1.59865,0.496217,-2.84969,1.0,0.000679787,0.00069911,-0.0203978,track,22109111
0.801903,1.36344,-2.92982,-1.0,0.000698788,0.000630445,-0.0308701,track,22109111
1.61914,1.07561,-2.85304,-1.0,0.000714728,0.000579404,-0.0311627,track,22109111
1.28028,1.83842,-2.7715,1.0,0.000686053,0.000669662,-0.020111,track,22109111
0.760618,0.659929,-2.7398,1.0,0.000723047,0.000594061,0.0690242,track,22109111
1.01238,0.242426,-2.73955,1.0,0.000699276,0.000645432,0.04008,track,22109111
1.3881,0.615008,-2.81183,-1.0,0.000693092,0.000653011,-0.0203259,track,22109111
1.08123,1.4788,-2.81738,-1.0,0.000716477,0.000602782,0.0689728,track,22109111
0.770862,1.61929,-2.80069,-1.0,0.000746628,0.000501654,-0.0198017,track,22109111
0.873552,-1.35072,-2.64761,1.0,0.000714994,0.000606298,-0.0314436,track,22109111
1.13154,1.4507,-2.69943,-1.0,0.000730196,0.000574258,0.00389246,track,22109111
0.824724,0.709368,-2.59467,1.0,0.00066392,0.000699032,0.0208984,track,22109111
0.917949,0.44509,-2.66026,-1.0,0.000686858,0.000663258,0.00369966,track,22109111
1.31166,0.121204,-2.59702,-1.0,0.000720235,0.000608174,0.0400057,track,22109111
0.810683,1.66748,-2.50641,-1.0,0.000868639,0.000409234,0.00259219,track,22109111
0.881297,1.48638,-2.46966,-1.0,0.000560544,0.000812203,-0.0208078,track,22109111
1.51026,-1.57179,-2.43692,-1.0,0.00075328,0.000576519,0.0209168,track,22109111
1.62369,-1.19286,-2.41081,-1.0,0.000654485,0.000689015,0.00317669,track,22109111
0.870876,-1.72897,-2.32218,1.0,0.000533428,0.000795781,0.0692883,track,22109111
0.807873,0.564573,-2.39981,-1.0,0.000794711,0.000536506,0.0399496,track,22109111
1.03411,1.79251,-2.3759,-1.0,0.000724159,0.000613134,0.00340207,track,22109111
0.770123,-0.459101,-2.3816,-1.0,0.00066119,0.000678967,-0.000104676,track,22109111
1.01441,-0.720608,-2.36777,-1.0,0.000743153,0.00059413,0.00350133,track,22109111
1.01863,0.91908,-2.36469,-1.0,0.000583273,0.00075769,0.0209318,track,22109111
0.880212,-0.497174,-2.33763,-1.0,0.000790102,0.000552673,0.0398998,track,22109111
0.970744,1.6266,-2.2138,-1.0,0.000565423,0.00073879,-0.0309755,track,22109111
1.22378,1.47018,-2.03499,1.0,0.000634565,0.000671198,0.00353528,track,22109111
1.78772,-1.11241,-1.97557,-1.0,0.000896142,0.000554991,-0.0310508,track,22109111
0.8524,1.42263,-1.87901,1.0,0.000602367,0.000669552,0.00403942,track,22109111
0.921924,1.22157,-1.84759,1.0,0.000387463,0.000725378,0.0700408,track,22109111
0.919124,0.677148,-1.81124,1.0,0.00079241,0.000614625,0.0400146,track,22109111
0.912479,1.38419,-1.77874,1.0,0.000573037,0.000665297,0.00365659,track,22109111
1.85888,0.252685,-1.77242,1.0,0.000503713,0.00067875,-0.000139647,track,22109111
0.977579,-1.22335,-1.67959,1.0,0.00088148,0.000618713,0.00365381,track,22109111
2.21253,1.29993,-1.6,1.0,0.000754514,0.000638745,-0.0312677,track,22109111
1.33657,0.522323,-1.61704,-1.0,0.000624266,0.000642024,0.00378454,track,22109111
1.32577,-1.86522,-1.54911,1.0,0.000827064,0.0006399,0.0288465,track,22109111
1.07058,-0.140351,-1.50129,1.0,0.000688634,0.000639767,-0.0292402,track,22109111
1.6095,-0.280097,-1.46044,-1.0,0.000597415,0.000622958,0.0689609,track,22109111
1.21222,1.2478,-1.44249,-1.0,0.000545633,0.000620969,-0.0309914,track,22109111
0.936105,0.663558,-1.43485,-1.0,0.000831712,0.000656826,-9.57559e-05,track,22109111
0.795134,-1.40326,-1.3166,1.0,0.000749779,0.000646453,0.0685688,track,22109111
1.10859,-1.21175,-1.30185,-1.0,0.00067927,0.00063476,-0.019913,track,22109111
0.870959,1.73985,-1.16892,1.0,0.000826327,0.000689961,0.0287246,track,22109111
0.880045,-1.5984,-1.11812,1.0,0.00119604,0.000882387,-0.0206776,track,22109111
1.46502,0.432703,-1.11321,-1.0,0.000708931,0.000645435,-0.0204166,track,22109111
0.805644,-1.06034,-0.908836,1.0,0.000734339,0.000662269,0.0292584,track,22109111
0.906647,0.640685,-0.838855,1.0,0.000818857,0.000733892,0.0891562,track,22109111
1.03107,2.07512,-0.778482,1.0,0.000812358,0.000757199,-0.0272982,track,22109111
0.782847,0.327715,-0.865972,-1.0,0.000797166,0.00071278,0.0689283,track,22109111
0.914058,1.83967,-0.83493,-1.0,0.000713084,0.00065388,-0.0204494,track,22109111
1.27603,-1.7076,-0.729766,1.0,0.00070031,0.000625753,0.0895236,track,22109111
0.876982,1.13981,-0.69693,1.0,0.000725513,0.000670867,-0.0060635,track,22109111
1.03697,-0.907502,-0.610703,1.0,0.000737597,0.000676831,0.0892468,track,22109111
1.02114,-0.615551,-0.682856,-1.0,0.000760567,0.000707248,0.0399998,track,22109111
1.32233,-0.230651,-0.656293,-1.0,0.000667083,0.000602085,-0.0311531,track,22109111
1.33251,-0.528181,-0.564826,-1.0,0.000704306,0.000632795,0.0689883,track,22109111
1.24744,-0.400562,-0.548988,-1.0,0.000696593,0.000640397,-0.0311501,track,22109111
2.45927,-0.500245,-0.517725,-1.0,0.000691622,0.000618734,0.0294186,track,22109111
0.754103,0.430874,-0.519197,-1.0,0.000690156,0.000634955,-0.0585221,track,22109111
1.56569,1.87595,-0.43478,1.0,0.000659833,0.000553436,4.24136e-05,track,22109111
1.8431,-0.0362337,-0.426167,-1.0,0.000689155,0.000621245,-0.0203301,track,22109111
0.952793,0.276629,-0.334571,1.0,0.000706217,0.000664697,-0.0205254,track,22109111
1.24511,-0.691246,-0.338751,1.0,0.000693525,0.000594188,0.0891713,track,22109111
1.395,1.74294,-0.32358,1.0,0.000708851,0.000665701,0.00340406,track,22109111
0.946462,1.75434,-0.363328,-1.0,0.000627666,0.000458367,-0.0288291,track,22109111
1.17778,-0.413461,-0.221144,1.0,0.000707201,0.000641766,0.0689392,track,22109111
1.08009,-1.44634,-0.277743,-1.0,0.000705044,0.000665928,-0.0202739,track,22109111
1.78784,-0.0394781,-0.0896093,-1.0,0.000675455,0.000367754,0.00385461,track,22109111
0.980626,0.820909,-0.0902737,-1.0,0.000701779,0.000685779,-0.0200626,track,22109111
1.05201,0.861711,0.0510937,1.0,0.00069985,0.000577361,-0.031127,track,22109111
1.18079,-1.62444,0.0143837,-1.0,0.000702892,0.000829626,0.0689161,track,22109111
0.791257,1.0654,0.00585499,-1.0,0.000696332,0.0007191,-0.0291573,track,22109111
1.22275,-0.735086,0.183319,1.0,0.000709152,0.000616183,0.0690079,track,22109111
0.790975,0.238021,0.14838,-1.0,0.000698782,0.00069215,0.0891887,track,22109111
1.57147,-1.20553,0.232499,1.0,0.000728394,0.000517492,0.00343889,track,22109111
2.56848,-1.26989,0.223246,-1.0,0.000722724,0.00053729,0.00345065,track,22109111
1.17301,-0.882437,0.294655,1.0,0.000740495,0.000513141,0.0400153,track,22109111
1.11501,0.275369,0.301058,-1.0,0.000707722,0.000617029,0.0210541,track,22109111
0.976896,0.431857,0.323361,-1.0,0.000713173,0.00060229,0.0211138,track,22109111
1.06135,-1.37866,0.413518,1.0,0.000710334,0.000618303,0.0291628,track,22109111
0.832603,1.47235,0.540359,1.0,0.00073287,0.000580058,-0.0309851,track,22109111
0.955556,1.8731,0.460666,-1.0,0.000758332,0.000520592,0.00351969,track,22109111
1.43571,-1.66426,0.525012,1.0,0.000691088,0.000653549,0.00388903,track,22109111
0.796034,1.38187,0.55547,1.0,0.000684193,0.000663561,0.00304087,track,22109111
1.04623,0.4052,0.499483,-1.0,0.000726842,0.000591754,0.029249,track,22109111
2.27021,0.599908,0.55813,1.0,0.000705734,0.000628199,-0.00500561,track,22109111
0.962426,1.03254,0.532775,-1.0,0.000716022,0.00060754,-0.0312016,track,22109111
0.779731,-0.11249,0.739208,1.0,0.000571949,0.000781633,0.0687821,track,22109111
1.15681,1.28633,0.740632,1.0,0.000654551,0.000687944,0.00303526,track,22109111
1.53184,0.907521,0.766651,-1.0,0.000745751,0.000592218,0.0398958,track,22109111
1.18263,1.29819,0.789003,-1.0,0.000699443,0.000638527,-0.00574925,track,22109111
0.949678,1.07548,0.861794,1.0,0.000683057,0.00065278,7.91519e-05,track,22109111
1.01094,-1.70606,0.945695,1.0,0.000601235,0.000709579,-0.0057863,track,22109111
1.21329,-1.15236,0.960759,1.0,0.00067657,0.000654753,0.00394003,track,22109111
1.9701,0.714477,0.925173,-1.0,0.000729724,0.000615962,0.00301042,track,22109111
0.751361,0.0812224,1.02325,1.0,0.000627333,0.000682707,0.0292427,track,22109111
2.10228,1.1874,1.05693,-1.0,0.000780604,0.000592825,0.0292509,track,22109111
4.69684,-0.783195,1.09722,1.0,0.000671888,0.000652822,0.00373556,track,22109111
1.08724,0.82559,1.07252,-1.0,0.000702609,0.000637009,-0.000227718,track,22109111
0.764171,-0.750986,1.16787,1.0,0.000836737,0.000580699,-0.031146,track,22109111
2.00867,0.477744,1.17205,-1.0,0.000735868,0.000623324,0.00370857,track,22109111
1.20276,-1.15352,1.16656,-1.0,0.000675362,0.000649039,-0.000142125,track,22109111
1.32581,-1.8391,1.17924,-1.0,0.000687544,0.000644166,-0.0297702,track,22109111
2.2162,-1.3877,1.25702,1.0,0.000709243,0.000636339,-0.0311761,track,22109111
1.06084,0.0746243,1.32128,1.0,0.000711666,0.000634683,0.0293367,track,22109111
1.81939,2.08342,1.32337,1.0,0.000799759,0.000614082,-0.020341,track,22109111
2.59273,-1.12285,1.3243,-1.0,0.000672074,0.000646615,-0.0311026,track,22109111
3.53173,-1.1736,1.34392,-1.0,0.000727609,0.000633283,-0.0312097,track,22109111
1.15619,-0.865796,1.41532,1.0,0.000696087,0.000640086,-0.0203778,track,22109111
0.810663,1.30311,1.44492,1.0,0.000660725,0.00064452,-0.0206458,track,22109111
1.05365,-1.04762,1.44805,1.0,0.000833571,0.000620425,0.0399438,track,22109111
1.42124,0.918064,1.44678,1.0,0.000773694,0.000630359,-0.020172,track,22109111
1.13119,-0.727478,1.42658,-1.0,0.00079267,0.000627628,-0.0586451,track,22109111
1.41988,-1.49426,1.53234,-1.0,0.000825013,0.000631826,0.0399948,track,22109111
1.2307,0.694785,1.52937,-1.0,0.000652761,0.000639163,0.0294304,track,22109111
0.810209,-1.00627,1.53857,-1.0,0.000657446,0.000640351,-0.00500038,track,22109111
1.23914,1.8966,1.55977,-1.0,0.00058963,0.000641027,-0.020726,track,22109111
1.28177,-0.984254,1.72027,1.0,0.000659559,0.000628014,0.068985,track,22109111
0.918137,1.57225,1.91461,1.0,0.000791015,0.000669009,0.0290038,track,22109111
2.87489,1.29368,1.96818,1.0,0.000653747,0.000619229,0.00347205,track,22109111
1.154,-1.26242,1.96189,-1.0,0.000748455,0.000660821,-0.0204745,track,22109111
0.839575,0.031779,2.18566,1.0,0.00066215,0.000612387,9.36873e-05,track,22109111
0.941302,-0.288332,2.28821,1.0,0.000732617,0.000667205,0.00354711,track,22109111
1.53271,1.90229,2.23741,-1.0,0.000709855,0.000650826,-0.030923,track,22109111
0.839033,-1.09008,2.23234,-1.0,0.000530398,0.000511113,-0.0317627,track,22109111
0.858964,0.981115,2.5084,1.0,0.000441746,0.00028873,-0.00604169,track,22109111
1.39605,-1.56538,2.49966,1.0,0.000771638,0.000730207,0.0290462,track,22109111
1.15235,-1.83257,2.67827,1.0,0.000834261,0.000908548,0.000304083,track,22109111
0.963956,0.40026,2.69591,1.0,0.000662301,0.000553845,0.0293323,track,22109111
1.03234,-1.33145,2.62088,-1.0,0.000701141,0.000622697,0.0894836,track,22109111
1.80846,1.44625,2.69923,1.0,0.00074803,0.000731473,0.0400862,track,22109111
0.866946,-1.13856,2.6281,-1.0,0.000653414,0.000556357,0.00356743,track,22109111
1.95509,0.728359,2.79269,1.0,0.000704455,0.000651416,0.00367512,track,22109111
1.07027,-1.48427,2.73772,-1.0,0.000667658,0.000564463,-0.000353233,track,22109111
1.24048,1.9929,2.74733,-1.0,0.000771843,0.000821277,-0.0313872,track,22109111
0.949002,1.87177,2.82365,-1.0,0.000683144,0.000588057,0.00359805,track,22109111
0.938146,0.179966,2.9542,1.0,0.000695719,0.000617042,0.00393296,track,22109111
1.16933,0.118098,2.88972,-1.0,0.000693435,0.000603598,0.0291004,track,22109111
