pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
2.40015,0.739663,1.62212,1.0,0.00064692,0.000633016,0.0398791,electron,22109111
0.838852,-1.91438,2.94716,-1.0,0.000671127,0.000501273,-0.012415,muon,22109111
2.6465,-2.2733,0.817141,1.0,0.000772934,0.000569757,0.00224035,muon,22109111
1.7366,-2.46309,-1.79257,1.0,0.00272601,0.000183049,-0.00118448,muon,22109111
35.556,0.00578447,1.834,0.0,0.000725879,0.000609286,-0.0475917,photon,652620608
30.9368,1.94829,-1.74553,0.0,0.000725879,0.000609286,-0.0475917,photon,652620608
1.37519,-1.6323,2.02698,-1.0,0.000743633,0.00062604,-0.0256399,muon,652620608
1.61969,-1.47051,-2.37353,1.0,0.0275379,-0.0271289,0.100175,muon,652620608
37.2752,0.312086,-0.738311,0.0,0.00070572,0.000610879,-0.0616836,photon,272621358
30.0835,-1.37033,1.9587,0.0,0.00070572,0.000610879,-0.0616836,photon,272621358
13.1097,-1.31455,1.95949,0.0,0.00070572,0.000610879,-0.0616836,photon,272621358
2.22674,-0.114121,-1.50427,1.0,0.000687901,0.000601177,-0.0043368,electron,119696345
8.54847,-1.269,-0.0102715,-1.0,0.000717013,0.000536915,0.0570969,muon,119696345
3.37636,-0.883103,2.61692,-1.0,0.000701293,0.000571295,0.057013,muon,119696345
8.07034,-0.634763,2.55342,1.0,0.000677307,0.000539119,0.0567405,muon,119696345
3.2523,-1.17118,1.02288,1.0,0.000748242,0.000580287,0.0173843,muon,119696345
1.22707,1.57278,1.29881,-1.0,0.00058328,0.000638967,-0.057152,muon,119696345
1.24178,1.46939,1.30654,-1.0,0.000954469,0.000534891,0.0933196,muon,119696345
1.27774,1.55013,1.30441,-1.0,0.00147044,0.000396094,-0.04217,muon,119696345
5.68613,-0.320846,-0.462161,1.0,0.000676887,0.000557878,-0.0186329,electron,200887394
10.1604,-1.55271,-0.268156,-1.0,0.00319997,0.0118853,0.0330583,electron,200887394
148.345,-1.00043,2.87297,0.0,0.000680554,0.000620952,-0.0215827,photon,200887394
36.0552,-0.7452,-0.201456,0.0,0.000680554,0.000620952,-0.0215827,photon,200887394
9.34779,-1.53629,-0.135145,0.0,0.000680554,0.000620952,-0.0215827,photon,200887394
1.86905,-1.53325,-2.19897,1.0,0.000709833,0.000615511,0.0564935,muon,200887394
