pt,eta,phi,particle_type,event_id
2.06272,-0.233066,-0.154099,electron,1203594102
2.65992,2.00597,-2.18704,electron,1203594102
27.8533,-1.33245,1.91092,tau,1203594102
1.58189,-1.45101,-0.961732,tau,1203594102
2.12971,-1.05423,-2.0371,tau,1203594102
1.43253,-0.742557,-2.63008,tau,1203594102
0.850159,1.36952,-1.16893,tau,1203594102
1.41241,-0.822372,-1.56506,tau,1203594102
40.1528,-0.145654,-2.12755,tau,1203594102
3.02982,0.17864,2.84363,tau,1203594102
15.0707,0.574814,1.5969,tau,1203594102
4.87192,0.656163,-1.0991,tau,1203594102
20.7744,-0.766276,0.428855,tau,1203594102
0.781551,-0.140023,-0.35538,tau,1203594102
9.82294,2.31404,1.33097,tau,1203594102
2.60035,2.00785,-1.29251,tau,1203594102
4.55953,-0.564332,-0.696114,tau,1203594102
6.02364,1.29711,3.00236,tau,1203594102
2.1799,-0.366159,2.10597,tau,1203594102
3.93883,-0.931213,2.68452,tau,1203594102
4.96133,0.0795689,-1.29758,tau,1203594102
2.93917,2.68221,0.771141,tau,1203594102
3.13172,2.85,-2.98919,tau,1203594102
3.57278,-2.90528,-2.24284,tau,1203594102
10.1103,4.25705,0.67192,tau,1203594102
3.52618,-1.78559,-0.436615,tau,1203594102
3.4906,-2.99022,0.506859,tau,1203594102
3.42428,3.41949,-2.1853,tau,1203594102
7.85095,-3.58364,-0.777726,tau,1203594102
3.08734,-4.01809,-1.32904,tau,1203594102
3.04916,-1.96548,-2.96219,tau,1203594102
4.20479,-3.53844,-1.81146,tau,1203594102
4.99567,0.213983,0.592405,tau,1203594102
5.01301,4.31958,-1.22137,tau,1203594102
5.20203,-4.58845,-0.526436,tau,1203594102
5.60894,3.17639,0.299917,tau,1203594102
4.66449,-3.90403,-0.0310137,tau,1203594102
5.9048,-3.72737,1.92682,tau,1203594102
4.5767,2.54809,-1.91977,tau,1203594102
4.43833,4.62294,-0.458151,tau,1203594102
3.71111,-3.7957,-3.06499,tau,1203594102
6.41508,2.50462,-0.838189,tau,1203594102
4.06348,3.00084,-1.16578,tau,1203594102
3.84442,1.66472,0.370577,tau,1203594102
7.11396,3.77005,-0.540167,tau,1203594102
3.81628,-4.34931,2.273,tau,1203594102
7.58287,4.21315,1.73925,tau,1203594102
4.75266,-2.95152,1.06164,tau,1203594102
1.61916,-2.08065,-0.0435742,tau,1203594102
1.19851,-2.31457,-2.12311,tau,1203594102
1.64615,2.28271,2.46372,tau,1203594102
2.83765,-0.675707,1.10763,tau,1203594102
1.33161,0.939045,0.0630819,tau,1203594102
1.63183,-2.21609,2.6326,tau,1203594102
4.44062,1.42274,-2.23489,tau,1203594102
0.59843,1.38175,1.97996,tau,1203594102
2.5841,0.531603,-2.42906,tau,1203594102
0.961704,1.3634,-2.66915,tau,1203594102
0.974349,1.83602,-0.0558256,tau,1203594102
0.854195,-1.61483,2.9928,tau,1203594102
3.34725,2.17355,-2.12617,tau,1203594102
0.653253,0.572841,0.686929,tau,1203594102
27.8533,-1.33245,1.91092,muon,1203594102
40.1528,-0.145654,-2.12755,muon,1203594102
20.7744,-0.766276,0.428855,muon,1203594102
15.0707,0.574814,1.5969,muon,1203594102
1.14212,0.0961972,-3.04733,track,1203594102
0.878531,0.255328,-2.77002,track,1203594102
1.43253,-0.742557,-2.63008,track,1203594102
0.961704,1.3634,-2.66915,track,1203594102
0.960208,-0.649467,-2.57532,track,1203594102
1.26129,-0.507997,-2.63823,track,1203594102
1.3984,-0.844562,-2.60405,track,1203594102
1.35229,2.02349,-2.46224,track,1203594102
1.13223,0.106968,-2.52126,track,1203594102
1.1664,0.405384,-2.48997,track,1203594102
2.43513,1.49313,-2.31156,track,1203594102
0.975193,1.87722,-2.00902,track,1203594102
0.982046,-0.409253,-1.86962,track,1203594102
1.41241,-0.822372,-1.56506,track,1203594102
0.810719,0.262028,-1.62233,track,1203594102
0.928333,-0.0966731,-1.42165,track,1203594102
1.06765,0.558717,-1.41409,track,1203594102
0.822052,1.34628,-1.36072,track,1203594102
2.44439,0.317068,-1.2606,track,1203594102
0.850159,1.36952,-1.16893,track,1203594102
1.55918,0.6327,-1.05069,track,1203594102
0.995981,0.994603,-0.923341,track,1203594102
1.07656,0.0291875,-0.999775,track,1203594102
1.58189,-1.45101,-0.961732,track,1203594102
1.06979,-0.385698,-0.800157,track,1203594102
1.06158,-0.7651,-0.689769,track,1203594102
0.797261,0.827059,-0.369785,track,1203594102
0.781551,-0.140023,-0.35538,track,1203594102
1.07884,1.40535,-0.325697,track,1203594102
0.822864,1.43611,-0.305971,track,1203594102
0.767063,1.09886,-0.20119,track,1203594102
2.05072,-0.23307,-0.154963,track,1203594102
0.974349,1.83602,-0.0558256,track,1203594102
1.33161,0.939045,0.0630819,track,1203594102
0.913559,-1.13745,0.342802,track,1203594102
20.7744,-0.766276,0.428855,track,1203594102
3.16139,-0.357836,0.550534,track,1203594102
0.973412,-0.289462,0.893157,track,1203594102
0.797777,0.709858,1.00785,track,1203594102
1.79461,-0.789864,1.08927,track,1203594102
1.26843,0.45334,1.17409,track,1203594102
0.900038,0.159423,1.26204,track,1203594102
1.16825,0.623533,1.38425,track,1203594102
1.76323,2.00143,1.55184,track,1203594102
0.798592,1.11328,1.71023,track,1203594102
1.02456,-1.58809,1.77607,track,1203594102
1.12577,-1.16702,1.71129,track,1203594102
1.01211,-0.188191,1.92055,track,1203594102
1.14955,-1.24682,2.0082,track,1203594102
1.23973,0.836941,2.08224,track,1203594102
1.53237,-0.609115,2.32521,track,1203594102
0.776962,-0.349001,2.26466,track,1203594102
2.27062,-0.846925,2.56371,track,1203594102
1.10874,1.02727,2.59036,track,1203594102
0.801512,-0.524013,2.74555,track,1203594102
1.52125,-0.0199265,2.66668,track,1203594102
0.925205,-1.2812,2.76305,track,1203594102
0.906703,0.158919,2.7901,track,1203594102
3.02982,0.17864,2.84363,track,1203594102
1.10946,0.131566,2.92701,track,1203594102
0.788476,-0.622126,2.94237,track,1203594102
1.4307,0.888961,3.04535,track,1203594102
1.24209,0.214798,3.12719,track,1203594102
1.38261,2.24701,-2.25002,track,1203594102
1.00832,2.2928,-2.0698,track,1203594102
1.46628,2.18337,-1.9825,track,1203594102
1.21326,2.09486,-1.69623,track,1203594102
1.37719,1.82739,-1.30408,track,1203594102
1.52988,2.60914,1.06089,track,1203594102
9.82294,2.31404,1.33097,track,1203594102
1.64615,2.28271,2.46372,track,1203594102
1.19851,-2.31457,-2.12311,track,1203594102
1.61916,-2.08065,-0.0435742,track,1203594102
1.63183,-2.21609,2.6326,track,1203594102
15.0707,0.574814,1.5969,track,1203594102
0.798311,0.968704,2.58521,track,1203594102
1.01438,0.543182,2.77415,track,1203594102
2.29635,1.3989,3.06453,track,1203594102
1.34062,-1.02736,0.714514,track,1203594102
40.1528,-0.145654,-2.12755,track,1203594102
0.953387,1.05852,-1.7964,track,1203594102
27.8533,-1.33245,1.91092,track,1203594102
0.854195,-1.61483,2.9928,track,1203594102
0.832522,0.569116,-1.46127,track,1203594102
0.767889,-0.316185,-0.547216,track,1203594102
2.17807,-1.35634,2.26438,track,1203594102
0.800738,0.879744,0.10644,track,1203594102
1.46788,-0.902286,-2.194,track,1203594102
1.33746,-0.122107,0.621497,track,1203594102
1.05562,-0.330075,2.31191,track,1203594102
1.25273,-0.414802,1.28308,track,1203594102
1.22724,1.58951,-2.9757,track,1203594102
2.12971,-1.05423,-2.0371,track,1203594102
1.2179,-0.630377,-0.12419,track,1203594102
2.14286,0.888866,0.644619,track,1203594102
1.03324,-0.22113,2.18861,track,1203594102
0.837761,-0.776025,2.1998,track,1203594102
0.897817,-0.10989,-2.44916,track,1203594102
2.08781,2.00494,-2.10178,track,1203594102
1.0946,0.831984,-1.15896,track,1203594102
1.94022,0.648087,-0.784115,track,1203594102
0.812748,0.593731,-1.47007,track,1203594102
0.769999,1.15441,1.75847,track,1203594102
1.14387,-0.275168,2.24611,track,1203594102
1.13862,0.424647,3.00277,track,1203594102
3.42382,1.81369,-0.289818,track,1203594102
24.3724,-0.133998,-2.07008,electron,1357605031
70.1303,-0.89398,1.98766,electron,1357605031
22.4844,1.42129,-1.87142,electron,1357605031
5.83956,0.44583,1.57602,electron,1357605031
1.98292,-0.94772,0.266824,tau,1357605031
37.2101,-0.12979,-2.05569,tau,1357605031
1.26806,-1.69947,0.459144,tau,1357605031
0.891659,-1.85669,2.12879,tau,1357605031
0.955244,-2.02676,-1.60878,tau,1357605031
22.7815,0.325762,-2.7496,tau,1357605031
0.896677,1.3809,-2.76824,tau,1357605031
68.0484,-0.893951,1.98741,tau,1357605031
1.39263,-1.704,-0.454392,tau,1357605031
3.9904,-2.44519,-0.400509,tau,1357605031
38.0921,1.41396,-1.87932,tau,1357605031
38.9929,0.396839,1.76614,tau,1357605031
3.7397,1.14887,-0.501326,tau,1357605031
2.66913,0.765533,-1.80216,tau,1357605031
6.05205,-4.00802,-2.3148,tau,1357605031
6.69188,-2.7468,-0.896155,tau,1357605031
5.88565,4.11858,-2.81208,tau,1357605031
5.65805,-1.38403,-1.5024,tau,1357605031
5.63735,-2.62682,0.452293,tau,1357605031
5.46542,-3.47425,3.04206,tau,1357605031
4.93361,-2.72585,0.959732,tau,1357605031
6.33638,-3.62625,0.654718,tau,1357605031
11.1156,2.82876,-2.09938,tau,1357605031
5.56972,4.96379,-1.0546,tau,1357605031
9.45463,3.48787,1.2016,tau,1357605031
8.99562,4.03263,2.50761,tau,1357605031
8.98852,-0.565817,-0.724303,tau,1357605031
8.83636,2.93763,-3.01576,tau,1357605031
8.48747,3.08085,0.378089,tau,1357605031
8.4148,4.07758,-1.67143,tau,1357605031
6.93005,2.89237,-0.618101,tau,1357605031
7.7484,-0.424563,0.608564,tau,1357605031
7.64117,-3.29017,-1.91797,tau,1357605031
7.56063,3.29621,-1.15202,tau,1357605031
7.41615,0.913667,2.12663,tau,1357605031
4.91921,-4.40533,1.09564,tau,1357605031
3.12486,2.13838,-1.71505,tau,1357605031
3.19154,-3.29131,1.45881,tau,1357605031
3.20574,-4.33236,-3.10935,tau,1357605031
3.25212,1.66688,1.1703,tau,1357605031
3.53335,2.59434,2.27054,tau,1357605031
3.57299,-3.48383,-1.04594,tau,1357605031
3.6326,-4.84536,-2.51879,tau,1357605031
3.81912,-4.33352,-1.383,tau,1357605031
3.92223,-2.89223,-2.79192,tau,1357605031
3.94319,0.183188,-1.26591,tau,1357605031
3.94743,-3.33658,-0.264356,tau,1357605031
3.96811,2.79356,1.28549,tau,1357605031
3.98608,-0.746138,-3.12546,tau,1357605031
3.98894,-0.657822,-1.64534,tau,1357605031
4.00886,3.81199,0.47307,tau,1357605031
4.63717,3.4116,2.72179,tau,1357605031
4.10861,-2.82043,-1.48722,tau,1357605031
4.6258,4.3843,-0.419926,tau,1357605031
4.55624,3.99402,-0.993022,tau,1357605031
4.29615,-0.0247398,-0.14377,tau,1357605031
1.79756,-1.5716,-2.61984,tau,1357605031
0.670243,2.21633,-0.608475,tau,1357605031
2.62115,1.8042,0.433215,tau,1357605031
2.28217,-2.36971,2.72133,tau,1357605031
2.03641,2.38685,-2.71389,tau,1357605031
0.793765,-1.34026,-3.13229,tau,1357605031
1.37503,-1.91205,2.97455,tau,1357605031
1.58963,-1.051,-2.34666,tau,1357605031
0.757412,-1.87865,1.6786,tau,1357605031
2.46983,1.70517,2.69394,tau,1357605031
2.14528,0.738586,-0.97137,tau,1357605031
2.61388,-0.0648303,2.27175,tau,1357605031
69.553,-0.892012,1.97903,photon,1357605031
27.52,0.386181,1.77246,photon,1357605031
23.9664,-0.134851,-2.04755,photon,1357605031
31.2021,-2.48239,-0.324273,photon,1357605031
22.7815,0.325762,-2.7496,muon,1357605031
13.2045,-0.122117,-2.02962,muon,1357605031
1.22076,1.31928,-3.0337,track,1357605031
0.913514,-0.657228,-2.99979,track,1357605031
1.12185,0.341865,-2.89013,track,1357605031
0.896677,1.3809,-2.76824,track,1357605031
1.79756,-1.5716,-2.61984,track,1357605031
0.862343,-0.84397,-2.465,track,1357605031
0.988271,-0.211067,-2.51963,track,1357605031
1.58963,-1.051,-2.34666,track,1357605031
0.878191,-0.445147,-2.16908,track,1357605031
1.18789,1.68064,-2.03163,track,1357605031
20.851,-0.13393,-2.0703,track,1357605031
1.31365,1.15364,-2.08954,track,1357605031
13.2045,-0.122117,-2.02962,track,1357605031
4.0599,1.38886,-2.00057,track,1357605031
2.23749,1.43581,-1.98843,track,1357605031
3.81548,1.37338,-1.90021,track,1357605031
9.51473,1.37412,-1.9007,track,1357605031
25.9243,1.42977,-1.8871,track,1357605031
1.45278,1.42097,-1.89184,track,1357605031
1.37422,1.29775,-1.77634,track,1357605031
0.916957,1.68849,-1.67162,track,1357605031
1.68687,0.944114,-1.66889,track,1357605031
1.06008,-0.454511,-1.05742,track,1357605031
0.76425,-0.695934,-1.02199,track,1357605031
1.04814,0.753977,-0.7597,track,1357605031
2.06526,1.15378,-0.765283,track,1357605031
2.88957,-1.61426,-0.666477,track,1357605031
1.39263,-1.704,-0.454392,track,1357605031
0.911516,0.754133,-0.137163,track,1357605031
1.98292,-0.94772,0.266824,track,1357605031
0.908468,-0.12977,0.301187,track,1357605031
1.26806,-1.69947,0.459144,track,1357605031
0.915142,0.566202,0.537685,track,1357605031
0.880253,-0.270699,0.697607,track,1357605031
1.57137,-2.00899,1.27107,track,1357605031
0.84807,-0.888773,1.51105,track,1357605031
3.18247,0.542883,1.78807,track,1357605031
7.56463,0.321515,1.79927,track,1357605031
2.70001,0.368617,1.89005,track,1357605031
0.987803,-0.184016,1.90862,track,1357605031
5.09032,-0.903644,1.98172,track,1357605031
1.55804,-0.974713,1.99181,track,1357605031
4.3818,-0.837622,2.0136,track,1357605031
1.35287,-0.919092,2.24243,track,1357605031
0.921092,1.57682,2.27754,track,1357605031
1.55821,-1.29904,2.57663,track,1357605031
1.59216,1.27701,2.67338,track,1357605031
0.835512,-0.211772,2.62095,track,1357605031
2.15091,-1.61043,2.74313,track,1357605031
1.4175,-1.39701,2.79387,track,1357605031
0.793765,-1.34026,-3.13229,track,1357605031
0.878507,-0.912198,3.06107,track,1357605031
1.7927,2.50218,0.825788,track,1357605031
0.9714,2.05889,1.62919,track,1357605031
0.955244,-2.02676,-1.60878,track,1357605031
1.19129,-2.22639,-0.567623,track,1357605031
1.87219,-2.33174,-0.434724,track,1357605031
2.28217,-2.36971,2.72133,track,1357605031
1.37503,-1.91205,2.97455,track,1357605031
0.892619,1.69989,-1.66986,track,1357605031
0.813411,1.50662,-1.57504,track,1357605031
0.816216,-1.63626,-3.00182,track,1357605031
7.51117,1.42125,-1.87063,track,1357605031
0.764752,0.498163,-0.834477,track,1357605031
0.889491,-0.0455922,1.35251,track,1357605031
1.55974,0.518356,1.58453,track,1357605031
10.8654,0.416876,1.74469,track,1357605031
1.65377,-0.83517,2.19173,track,1357605031
48.6475,-0.894373,1.98758,track,1357605031
22.7815,0.325762,-2.7496,track,1357605031
3.04591,-0.136283,-2.05653,track,1357605031
0.867513,1.29648,-1.76032,track,1357605031
6.05812,-1.58578,-0.448206,track,1357605031
1.47021,-0.835446,1.92991,track,1357605031
1.17402,0.363828,-0.550586,track,1357605031
0.839895,0.73962,-1.72235,track,1357605031
0.787645,0.755412,1.51751,track,1357605031
1.63648,-0.0471531,2.4112,track,1357605031
2.62115,1.8042,0.433215,track,1357605031
0.843255,1.75356,-2.51471,track,1357605031
0.889273,0.0964883,1.90841,track,1357605031
0.884035,-1.82003,0.946449,track,1357605031
1.68815,-2.07092,1.39078,track,1357605031
