pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
187.368,0.461175,1.7024,,0.000715703,0.000616198,-0.0596735,photon,1096322394
1.70265,1.78791,-0.057471,-1.0,,,,muon,1096322394
0.836632,1.98561,-1.10237,1.0,,,,muon,1096322394
2.93683,2.44375,0.786764,1.0,,,,muon,1096322394
1.46606,-2.06081,-1.5181,1.0,,,,muon,1096322394
1.21485,1.62184,-1.16316,1.0,,,,muon,1096322394
2.45112,1.374,-1.83491,1.0,0.000278448,0.00073248,0.0174499,electron,1096322990
19.8304,-1.69983,1.46083,-1.0,0.000771384,0.000614552,-0.132854,electron,1096322990
57.1562,-1.52889,-1.26924,,0.000740159,0.00065248,-0.132979,photon,1096322990
20.9846,-1.70625,1.48269,,0.000740159,0.00065248,-0.132979,photon,1096322990
4.0765,-1.37688,-1.19501,1.0,,,,muon,1096322990
0.870026,2.29651,-2.07221,-1.0,,,,muon,1096322990
4.26657,-1.47102,-1.20826,1.0,,,,muon,1096322990
4.2495,-1.35181,-1.22021,1.0,,,,muon,1096322990
44.5493,0.635943,-1.70516,,0.000714129,0.000611042,0.0447651,photon,1096324132
10.1001,0.365388,0.277702,,0.000714129,0.000611042,0.0447651,photon,1096324132
6.41878,-0.039172,2.48007,-1.0,,,,muon,1096324132
8.61583,1.67347,1.65094,1.0,0.000647925,0.000611957,0.0247106,electron,1096331606
12.8336,0.169536,-1.19088,,0.000705802,0.000642139,-0.0431561,photon,1096334507
25.5902,-0.835527,0.212134,-1.0,0.000988142,-0.000584822,-0.0536852,electron,1096341286
10.5185,1.60526,0.389584,1.0,0.000731077,0.000592885,0.0712594,electron,1096348642
2.90414,0.943378,2.52383,1.0,0.000776923,0.000699643,0.0712213,electron,1096348642
2.7057,0.718605,1.27947,1.0,0.00940723,-0.0019985,0.0723995,electron,1096348642
58.9789,1.15981,0.259093,,0.000723331,0.000617439,0.0711468,photon,1096348642
11.4704,2.56215,-1.99478,,0.000723331,0.000617439,0.0711468,photon,1096348642
1.15074,1.59569,0.457523,1.0,,,,muon,1096348642
1.63947,2.02055,-1.48006,-1.0,,,,muon,1096348642
3.57102,2.02216,-0.570196,1.0,,,,muon,1096348642
2.54079,2.12648,-0.662653,1.0,,,,muon,1096348642
14.6999,2.34704,-0.665426,1.0,,,,muon,1096348642
12.4534,-0.0792535,-1.74657,1.0,0.00078563,0.00060955,0.00115272,electron,1096349020
78.9902,0.0436056,-1.04597,,0.000712899,0.000620316,0.00194928,photon,1096349020
38.5906,0.83739,1.40825,,0.000681136,0.000644595,0.00147032,photon,1096352658
46.5767,2.35173,-3.05017,,0.000681136,0.000644595,0.00147032,photon,1096352658
27.6081,1.41134,-1.46295,-1.0,,,,muon,1096352658
3.82126,2.12579,-1.02904,-1.0,0.00068584,0.0006017,-0.0207113,electron,1096363822
26.9725,-0.13597,-1.30757,1.0,0.000741891,0.00062647,-0.0208033,electron,1096363822
30.0164,-0.53757,2.6943,-1.0,0.00072973,0.000637075,-0.0208102,electron,1096363822
3.38182,-0.66875,2.66222,-1.0,-0.00343079,-0.00766546,-0.0218871,electron,1096363822
36.8481,1.43218,-0.561066,,0.000723268,0.000613609,-0.020814,photon,1096363822
29.3939,-0.544502,2.76038,,0.000723268,0.000613609,-0.020814,photon,1096363822
29.1266,-0.655797,2.76889,,0.000723268,0.000613609,-0.020814,photon,1096363822
26.5515,-0.132858,-1.28076,,0.000723268,0.000613609,-0.020814,photon,1096363822
19.2237,-0.196588,-1.30982,,0.000723268,0.000613609,-0.020814,photon,1096363822
10.9123,0.288524,-1.3153,,0.000723268,0.000613609,-0.020814,photon,1096363822
6.18299,-1.75567,-1.7051,1.0,,,,muon,1096383998
1.25285,-2.02698,-1.76879,1.0,,,,muon,1096383998
4.98675,-1.79704,-1.55792,1.0,,,,muon,1096383998
18.7397,0.628457,2.09801,,0.000736301,0.000618369,0.0409849,photon,1096387771
4.0435,0.378571,2.83033,1.0,0.00106417,0.00168655,0.0271283,electron,1096391814
12.9487,0.531286,2.48562,,0.000731628,0.000610048,-0.00419989,photon,1096391814
10.1926,-1.72643,-1.74838,,0.000731628,0.000610048,-0.00419989,photon,1096391814
15.1042,-0.27396,0.628889,-1.0,0.000250305,0.00126549,-0.0197926,electron,1096394829
34.8154,-0.289916,0.646066,,0.000748383,0.000620005,-0.0196609,photon,1096394829
1.178,-2.23924,1.96719,-1.0,,,,muon,1096394829
12.619,0.00057156,3.0627,1.0,,,,muon,1096394829
25.2324,0.421271,-3.07062,1.0,0.000707546,0.00082748,-0.0548243,electron,1096407534
27.9733,-0.861945,-1.76969,,0.000721137,0.000614157,-0.0548284,photon,1096407534
