pt,charge,pos_x,pos_y,pos_z,phi,eta
1.81684,-1,0.000763071,0.000550828,-0.0198742,0.793063,-1.302
28.8421,1,0.000685247,0.000740571,0.0742317,-2.90561,-0.12097
1.03153,-1,0.000685788,0.000686072,-0.0305135,0.275048,-1.65
1.2001,-1,0.000471607,0.00050071,0.0688854,1.94909,1.9875
1.05122,1,0.00020831,6.23692e-05,-0.0217746,2.39381,-2.22668
7.07537,1,0.000719233,0.000611074,0.0742482,0.00891501,-1.76383
12.3035,-1,0.000734114,0.000435016,0.0743467,-3.0517,-0.162624
1.56156,1,0.000534581,0.000988591,0.0638571,0.441196,-1.78708
2.49388,1,0.000850403,0.000634379,-0.0205489,-1.35064,1.86709
1.20218,-1,0.00253397,0.00235068,-0.0445553,2.33369,2.39091
1.49279,-1,0.00069555,0.000628036,0.0440142,-2.49963,2.35523
2.03032,1,0.00236401,-0.006993,0.0190825,0.214165,-1.91502
26.9946,1,0.000660588,0.000887925,0.200738,-2.90483,-0.323776
1.93808,1,0.0266422,-0.0346814,-0.101133,0.634084,-1.45769
1.94062,1,-0.10743,0.163946,-0.331969,0.584895,-1.47742
