detid,fraction,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
838949430,1,0.945009,0.880574,1.13017,0.954654,0.890543,1.11211,0.938831,0.905853,1.11211,0.929357,0.895717,1.13017,1.07055,1.01033,1.2727,1.0815,1.02165,1.25218,1.06339,1.03918,1.25218,1.05263,1.02767,1.2727
838948918,1,0.945009,0.880574,1.10098,0.954485,0.890368,1.08273,0.938661,0.905678,1.08272,0.929357,0.895717,1.10098,1.07186,1.01169,1.24107,1.08263,1.02281,1.22034,1.06451,1.04034,1.22034,1.05395,1.02903,1.24107
838948406,1,0.945009,0.880574,1.07207,0.954314,0.890192,1.05364,0.938491,0.905501,1.05364,0.929357,0.895717,1.07207,1.07316,1.01303,1.20971,1.08372,1.02395,1.18878,1.06561,1.04147,1.18877,1.05524,1.03036,1.20971
838949431,1,0.930525,0.897756,1.13017,0.939994,0.907896,1.11211,0.923645,0.922643,1.11211,0.914354,0.912343,1.13017,1.0538,1.02971,1.2727,1.06455,1.04122,1.25218,1.04584,1.0581,1.25218,1.03528,1.04641,1.2727
838948919,1,0.930525,0.897756,1.10098,0.939831,0.907715,1.08273,0.923482,0.922463,1.08273,0.914354,0.912343,1.10098,1.05506,1.03111,1.24107,1.06563,1.04242,1.22034,1.04692,1.0593,1.22034,1.03655,1.04781,1.24107
838948407,1,0.930525,0.897756,1.07207,0.939667,0.907533,1.05364,0.923318,0.92228,1.05364,0.914354,0.912343,1.07207,1.05631,1.03249,1.20971,1.06669,1.04359,1.18878,1.04798,1.06048,1.18877,1.0378,1.04919,1.20971
838949424,1,1.03096,0.778192,1.13017,1.04159,0.787098,1.11211,1.02746,0.803979,1.11211,1.01697,0.794889,1.13017,1.16938,0.894105,1.2727,1.18146,0.904219,1.25218,1.16528,0.923542,1.25218,1.15337,0.91322,1.2727
838948400,1,1.03096,0.778192,1.07207,1.04122,0.786784,1.05364,1.02708,0.803665,1.05364,1.01697,0.794889,1.07207,1.17226,0.896514,1.20971,1.18391,0.906271,1.18877,1.16773,0.925595,1.18877,1.15625,0.915629,1.20971
838927157,1,0.60786,-1.14124,0.0269319,0.607852,-1.14124,0.00338405,0.62634,-1.12971,0.00338404,0.62634,-1.12971,0.0269319,0.726144,-1.33853,0.028832,0.726134,-1.33854,0.00338405,0.748029,-1.32489,0.00338404,0.748029,-1.32489,0.028832
838927669,1,0.60786,-1.14124,0.0508939,0.607954,-1.14141,0.0273468,0.626443,-1.12988,0.0273468,0.62634,-1.12971,0.0508939,0.726131,-1.33851,0.054686,0.726232,-1.3387,0.0292389,0.748128,-1.32504,0.0292388,0.748017,-1.32487,0.0546859
838928181,1,0.60786,-1.14124,0.0748583,0.608056,-1.14157,0.0513136,0.626545,-1.13004,0.0513136,0.62634,-1.12971,0.0748583,0.726111,-1.33848,0.0805421,0.726322,-1.33884,0.0550975,0.748218,-1.32519,0.0550975,0.747996,-1.32483,0.0805421
838927158,1,0.626696,-1.12949,0.0269319,0.626696,-1.12949,0.00338401,0.645185,-1.11797,0.00338407,0.645176,-1.11797,0.026932,0.748384,-1.32466,0.028832,0.748384,-1.32466,0.00338401,0.77028,-1.31101,0.00338408,0.77027,-1.31102,0.0288321
