Name,Index,WasRun,Accept,Error,Objects
HLTriggerFirstPath,0,1,0,0,
HLT_Activity_Ecal_SC7_v13,1,1,0,0,
HLT_L1SingleJet16_v7,2,1,0,0,
HLT_L1SingleJet36_v7,3,1,0,0,
HLT_PFJet40_v6,4,1,0,0,
HLT_PFJet80_v6,5,1,0,0,
HLT_PFJet140_v6,6,1,0,0,
HLT_PFJet200_v6,7,1,0,0,
HLT_PFJet260_v6,8,1,0,0,
HLT_PFJet320_v6,9,1,0,0,
HLT_Jet370_NoJetID_v14,10,1,0,0,
HLT_PFJet400_v6,11,1,0,0,
HLT_MonoCentralPFJet80_PFMETnoMu105_NHEF0p95_v1,12,1,0,0,
HLT_SingleForJet25_v3,13,1,0,0,
HLT_SingleForJet15_v3,14,1,0,0,
HLT_DiPFJetAve40_v7,15,1,0,0,
HLT_DiPFJetAve80_v7,16,1,0,0,
HLT_DiPFJetAve140_v7,17,1,0,0,
HLT_DiPFJetAve200_v7,18,1,0,0,
HLT_DiPFJetAve260_v7,19,1,0,0,
HLT_DiPFJetAve320_v7,20,1,0,0,
HLT_DiPFJetAve400_v7,21,1,0,0,
HLT_FatDiPFJetMass750_DR1p1_Deta1p5_v7,22,1,0,0,
HLT_DoubleJet20_ForwardBackward_v3,23,1,0,0,
HLT_DiJet80_DiJet60_DiJet20_v3,24,1,0,0,
HLT_DiPFJet40_PFMETnoMu65_MJJ800VBF_AllJets_v6,25,1,0,0,
HLT_DiPFJet40_PFMETnoMu65_MJJ600VBF_LeadingJets_v6,26,1,0,0,
HLT_DiJet40Eta2p6_BTagIP3DFastPV_v5,27,1,0,0,
HLT_DiJet80Eta2p6_BTagIP3DFastPVLoose_v5,28,1,0,0,
HLT_Jet60Eta1p7_Jet53Eta1p7_DiBTagIP3DFastPV_v5,29,1,0,0,
HLT_Jet80Eta1p7_Jet70Eta1p7_DiBTagIP3DFastPV_v5,30,1,0,0,
HLT_Jet160Eta2p4_Jet120Eta2p4_DiBTagIP3DFastPVLoose_v5,31,1,0,0,
HLT_QuadJet50_v3,32,1,0,0,
HLT_QuadJet50_Jet20_v2,33,1,0,0,
HLT_QuadJet60_DiJet20_v3,34,1,0,0,
HLT_QuadJet70_v4,35,1,0,0,
HLT_QuadJet80_v4,36,1,0,0,
HLT_QuadJet90_v4,37,1,0,0,
HLT_QuadJet75_55_35_20_BTagIP_VBF_v4,38,1,0,0,
HLT_QuadJet75_55_38_20_BTagIP_VBF_v4,39,1,0,0,
HLT_QuadPFJet78_61_44_31_BTagCSV_VBF_v2,40,1,0,0,
HLT_QuadPFJet82_65_48_35_BTagCSV_VBF_v2,41,1,0,0,
HLT_SixJet35_v4,42,1,0,0,
HLT_SixJet45_v4,43,1,0,0,
HLT_SixJet50_v4,44,1,0,0,
HLT_EightJet30_eta3p0_v3,45,1,0,0,
HLT_EightJet35_eta3p0_v3,46,1,0,0,
HLT_ExclDiJet35_HFOR_v3,47,1,0,0,
HLT_ExclDiJet35_HFAND_v3,48,1,0,0,
HLT_ExclDiJet80_HFAND_v3,49,1,0,0,
HLT_JetE30_NoBPTX_v13,50,1,0,0,
HLT_JetE30_NoBPTX3BX_NoHalo_v15,51,1,0,0,
HLT_JetE50_NoBPTX3BX_NoHalo_v12,52,1,0,0,
HLT_JetE70_NoBPTX3BX_NoHalo_v4,53,1,0,0,
HLT_HT200_AlphaT0p57_v6,54,1,0,0,
HLT_HT200_v4,55,1,0,0,
HLT_HT250_AlphaT0p55_v6,56,1,0,0,
HLT_HT250_AlphaT0p57_v6,57,1,0,0,
HLT_HT250_v5,58,1,0,0,
HLT_HT300_AlphaT0p53_v6,59,1,0,0,
HLT_HT300_AlphaT0p54_v12,60,1,0,0,
HLT_HT300_v5,61,1,0,0,
HLT_HT300_DoubleDisplacedPFJet60_v7,62,1,0,0,
HLT_HT300_DoubleDisplacedPFJet60_ChgFraction10_v7,63,1,0,0,
HLT_HT300_SingleDisplacedPFJet60_v7,64,1,0,0,
HLT_HT300_SingleDisplacedPFJet60_ChgFraction10_v7,65,1,0,0,
HLT_HT350_v5,66,1,0,0,
HLT_HT350_AlphaT0p52_v6,67,1,0,0,
HLT_HT350_AlphaT0p53_v17,68,1,0,0,
HLT_HT400_v5,69,1,0,0,
HLT_HT400_AlphaT0p51_v17,70,1,0,0,
HLT_HT400_AlphaT0p52_v12,71,1,0,0,
HLT_HT450_AlphaT0p51_v12,72,1,0,0,
HLT_HT450_v5,73,1,0,0,
HLT_HT500_v5,74,1,0,0,
HLT_HT550_v5,75,1,0,0,
HLT_HT650_v5,76,1,0,0,
HLT_HT650_Track50_dEdx3p6_v8,77,1,0,0,
HLT_HT650_Track60_dEdx3p7_v8,78,1,0,0,
HLT_HT750_v5,79,1,0,0,
HLT_PFNoPUHT350_v1,80,1,0,0,
HLT_PFNoPUHT650_v1,81,1,0,0,
HLT_PFNoPUHT650_DiCentralPFNoPUJet80_CenPFNoPUJet40_v1,82,1,0,0,
HLT_PFNoPUHT700_v1,83,1,0,0,
HLT_PFNoPUHT750_v1,84,1,0,0,
HLT_PFMET150_v5,85,1,0,0,
HLT_PFMET180_v5,86,1,0,0,
HLT_DiCentralJetSumpT100_dPhi05_DiCentralPFJet60_25_PFMET100_HBHENoiseCleaned_v2,87,1,0,0,
HLT_DiCentralPFJet30_PFMET80_v3,88,1,0,0,
HLT_DiCentralPFNoPUJet50_PFMETORPFMETNoMu80_v1,89,1,0,0,
HLT_DiCentralPFJet30_PFMET80_BTagCSV07_v2,90,1,0,0,
HLT_DiPFJet80_DiPFJet30_BTagCSVd07d05d03_v2,91,1,0,0,
HLT_DiPFJet80_DiPFJet30_BTagCSVd07d05d05_v2,92,1,0,0,
HLT_DiPFJet80_DiPFJet30_BTagCSVd07d05_v2,93,1,0,0,
HLT_MET80_v4,94,1,0,0,
HLT_MET80_Track50_dEdx3p6_v5,95,1,0,0,
HLT_MET80_Track60_dEdx3p7_v5,96,1,0,0,
HLT_MET120_v11,97,1,0,0,
HLT_MET120_HBHENoiseCleaned_v4,98,1,0,0,
HLT_MET200_v11,99,1,0,0,
HLT_MET200_HBHENoiseCleaned_v4,100,1,0,0,
HLT_MET300_v3,101,1,0,0,
HLT_MET300_HBHENoiseCleaned_v4,102,1,0,0,
HLT_MET400_v6,103,1,0,0,
HLT_MET400_HBHENoiseCleaned_v4,104,1,0,0,
HLT_L1SingleMuOpen_v7,105,1,0,0,
HLT_L1SingleMu12_v2,106,1,0,0,
HLT_L2Mu70_eta2p1_PFMET55_v2,107,1,0,0,
HLT_L2Mu70_eta2p1_PFMET60_v2,108,1,0,0,
HLT_L2Mu20_eta2p1_NoVertex_v2,109,1,0,0,
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_v4,110,1,0,0,
HLT_L2Mu20_NoVertex_2Cha_NoBPTX3BX_NoHalo_v1,111,1,0,0,
HLT_L2Mu30_NoVertex_2Cha_NoBPTX3BX_NoHalo_v1,112,1,0,0,
HLT_L2TripleMu10_0_0_NoVertex_PFJet40Neutral_v5,113,1,0,0,
HLT_DoubleDisplacedMu4_DiPFJet40Neutral_v5,114,1,0,0,
HLT_Mu5_v19,115,1,0,0,
HLT_Mu8_v17,116,1,0,0,
HLT_Mu12_v17,117,1,0,0,
HLT_Mu17_v4,118,1,0,0,
HLT_Mu12_eta2p1_L1Mu10erJetC12WdEtaPhi1DiJetsC_v5,119,1,0,0,-81/94 
HLT_Mu15_eta2p1_L1Mu10erJetC12WdEtaPhi1DiJetsC_v1,120,1,0,0,-81/94 
HLT_Mu15_eta2p1_v4,121,1,0,0,
HLT_Mu24_v15,122,1,0,0,
HLT_Mu24_eta2p1_v4,123,1,0,0,
HLT_Mu30_v15,124,1,0,0,
HLT_Mu30_eta2p1_v4,125,1,0,0,
HLT_Mu40_v13,126,1,0,0,
HLT_Mu40_eta2p1_v10,127,1,0,0,
HLT_Mu50_eta2p1_v7,128,1,0,0,
HLT_RelIso1p0Mu5_v5,129,1,0,0,
HLT_RelIso1p0Mu20_v2,130,1,0,0,
HLT_IsoMu15_eta2p1_L1ETM20_v6,131,1,0,0,
HLT_IsoMu20_eta2p1_v6,132,1,0,0,
HLT_IsoMu24_v16,133,1,0,0,
HLT_IsoMu24_eta2p1_v14,134,1,0,0,
HLT_IsoMu30_v10,135,1,0,0,
HLT_IsoMu30_eta2p1_v14,136,1,0,0,
HLT_IsoMu34_eta2p1_v12,137,1,0,0,
HLT_IsoMu40_eta2p1_v9,138,1,0,0,
HLT_Mu40_eta2p1_Track50_dEdx3p6_v4,139,1,0,0,
HLT_Mu40_eta2p1_Track60_dEdx3p7_v4,140,1,0,0,
HLT_L2DoubleMu23_NoVertex_v11,141,1,0,0,
HLT_L2DoubleMu23_NoVertex_2Cha_Angle2p5_v3,142,1,0,0,
HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5_v3,143,1,0,0,
HLT_DoubleMu11_Acoplanarity03_v4,144,1,0,0,
HLT_DoubleMu4_Jpsi_Displaced_v11,145,1,0,0,
HLT_DoubleMu4_JpsiTk_Displaced_v5,146,1,0,0,
HLT_DoubleMu3_4_Dimuon5_Bs_Central_v4,147,1,0,0,
HLT_DoubleMu3p5_4_Dimuon5_Bs_Central_v4,148,1,0,0,
HLT_DoubleMu4_Dimuon7_Bs_Forward_v4,149,1,0,0,
HLT_DoubleMu3p5_LowMass_Displaced_v5,150,1,0,0,
