eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision
-1.63491,-2.32423,1.70749,1,0,0,1.63779,0,1,1,1,0,,-999,0,0,,,1
-0.293451,-2.25884,1.68523,-1,0,0,0,1,0,0,0,1.16169,,-999,0,0,,,1
-0.508715,-0.279491,0.575439,-1,1.73356,0,0.918475,0,1.96239,1.96239,0,0,,-999,0,0,,,1
-0.347849,1.64012,3.26446,-1,2.26177,0,0.804058,0.585221,0.727851,0.255321,0,1.02694,,-999,0,0,,,1
2.46703,1.64544,0.59182,-1,2.5966,0,1.64542,0,9.01755,3.41215,0,0,,-999,0,0,,,1
1.21107,-0.473091,15.5948,1,18.9136,5.98088,2.86141,0.709287,0.948563,0.243782,0.243782,1.65639,,-999,0,0,,,1
2.24538,0.0267974,46.929,1,10.2883,28.336,22.0726,0.318422,3.04359,0.999837,3.04359,1.36331,,-999,0,0,,,1
-0.196328,2.7525,84.4729,-1,66.263,22.9559,14.8493,0.541844,3.2208,0.518438,1.56183,3.61824,,-0.895789,0,1,,,1
1.2639,0.947793,3.43962,1,0,0,4.842,0.137268,2.69337,2.13471,2.13471,0,,-999,0,0,,,1
1.89608,-3.04685,4.62778,1,0,0,0.784144,0.859789,0.332253,0.332253,0,2.03741,,-999,0,0,,,1
1.50123,2.09629,2.48072,-1,0,0,0,1,0,0,0,1.6651,,-999,0,0,,,1
0.965338,-2.49839,2.94673,1,0.861886,0,2.43435,0.420871,1.94135,1.94135,1.94135,0,,-999,0,0,,,1
0.111566,-0.360849,2.46225,-1,1.03006,0,0.540674,0.784003,0.642848,0.642848,0.642848,0.414485,,-999,0,0,,,1
2.50023,-1.63155,5.97438,-1,0,5.28482,5.16064,0.386201,21.5684,7.80283,0.998822,9.39559,,-999,0,0,,,1
0.751768,-1.17031,7.79474,-1,8.02986,0,5.03922,0.276234,3.25401,1.22803,1.22803,1.04468,,-999,0,0,,,1
1.53703,-0.0322255,31.0497,1,7.41868,2.01424,1.77174,0.830097,1.62216,0.335561,0.632495,7.07536,,-999,0,0,,,1
3.96693,2.23911,3.71229,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.20264,1.54229,8.76871,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-1.17937,1.37141,3.33376,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
0.0605773,0.490552,3.7655,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.66829,-2.09303,3.53946,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.26185,2.67112,8.54086,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.74929,-2.97178,9.12781,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.76476,-0.982308,8.51352,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.39261,1.68328,7.47097,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.97316,-0.416199,9.26473,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.1841,0.851606,14.3987,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.96127,-0.600522,3.79614,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.67813,3.03583,4.05484,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-4.20907,-1.39523,4.1661,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.87746,0.0623809,4.21575,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.15775,1.73488,3.92252,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.94903,0.227865,4.65923,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.27737,-1.40934,5.07699,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.50085,-1.48207,3.87651,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
