et,eta,theta,phi
362.679,-0.311125,1.87702,-0.239266
279.829,0.0935931,1.47734,2.72993
78.6852,-0.896553,2.36687,-2.07727
45.6915,-2.56409,2.98792,0.953567
43.7564,-2.28442,2.93863,2.86884
42.4214,3.23432,0.0787329,-2.15733
37.4118,3.36229,0.0692841,2.471
35.6868,1.23597,0.565536,0.0670398
33.6289,3.35839,0.0695546,-0.702545
34.2951,-1.33071,2.62483,1.08617
30.2985,2.1677,0.227889,0.686444
29.2229,-4.06743,3.10735,-2.6139
28.987,-3.00413,3.04251,-2.11901
28.0119,-1.95274,2.85971,-1.55377
28.3601,-1.0939,2.49526,3.12284
26.8131,1.21741,0.575561,1.46582
25.4942,3.25864,0.0768436,0.362629
24.6732,-2.666,3.00276,0.0477356
22.1888,4.29527,0.0272642,-0.867771
23.1954,-1.20342,2.55837,0.172299
22.2922,1.23554,0.565764,2.60367
20.9221,4.14474,0.0316925,-2.8207
19.3939,4.5182,0.0218164,2.10245
20.135,1.12146,0.629916,-1.82516
18.7368,-3.78651,3.09625,0.860281
20.0337,0.75055,0.88217,-0.893703
18.1119,-3.81626,3.09758,2.04698
19.4755,-0.128162,1.69861,1.6611
16.6611,-3.6669,3.09049,-0.555652
16.6901,2.22481,0.215339,-1.39117
16.1094,1.62636,0.388333,-2.72766
16.9136,0.17956,1.39219,-2.3144
16.1345,0.186486,1.38538,0.763906
14.8873,4.02538,0.0357096,1.05564
14.7321,2.94118,0.105509,1.5216
14.5332,-4.08161,3.10784,-1.57845
13.6377,-3.12145,3.05346,-3.04583
13.1957,-0.441979,1.99905,-1.19624
12.2932,2.27779,0.204307,-0.437822
12.2715,-2.54685,2.98526,1.95817
12.0186,-4.59379,3.12136,0.155464
10.7257,-1.51111,2.70722,2.22884
10.0277,-2.79895,3.02,-1.00452
9.64559,4.58007,0.0205076,-1.87563
8.44573,2.48106,0.166921,2.95971
8.32786,-4.81467,3.12537,1.67261
7.0905,-4.35143,3.11582,2.67375
6.40177,2.02334,0.262902,1.95937
6.19186,4.33987,0.026075,0.214924
4.90444,4.93164,0.0144291,0.873799
4.8585,-4.87389,3.12631,-0.846162
3.99554,4.86351,0.0154464,3.11393
3.24445,-1.88618,2.84059,-2.53833
3.23944,-1.33532,2.6271,-0.900878
3.01894,2.29339,0.201165,-2.42365
