pt,charge,rp_x,rp_y,rp_z,phi,eta,calo_energy
5.06645,-1,0.0100914,-0.0141734,-0.0937904,-2.57568,1.3671,0
2.27337,-1,0.000682431,0.000649974,0.0113843,-2.50443,1.18268,0
10.081,-1,0.000789474,0.0005182,0.011424,-2.4443,1.23663,0
1.10462,1,0.000733599,0.000691065,0.0116688,-0.333992,1.62972,0
0.731956,-1,0.000880224,0.000285316,-0.0436358,-2.65056,2.23013,0
0.871345,-1,0.000850271,0.000475999,0.0324393,-2.35002,2.19449,0
1.4528,-1,0.000690386,0.000630545,0.00636058,-2.27869,2.1511,0
1.32179,1,0.000579268,0.000512138,0.000403522,-0.883393,2.00763,0
0.819761,1,0.00069506,0.000590696,0.0335298,-0.540594,2.01872,0
1.31997,1,0.000715451,0.000611215,0.0698692,0.800394,-2.04634,0
1.1204,-1,0.000729112,0.000594047,-0.00832261,-2.34271,2.44785,0
1.97931,-1,0.0211566,-0.0122177,0.168938,-2.13078,2.37092,0
