energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
20.4329,-0.960028,-0.977641,-0.103631,-0.0755604,-2.34711,undefined,0.0215028,0.0698292,20.3522,0
10.6611,1.35372,-0.2129,-0.453713,-0.32532,-0.155992,undefined,0.0189164,0.0412413,10.0968,0
7.06169,-0.903857,-1.01508,-0.00921068,-0.00677664,-2.2983,undefined,0.023199,0.103319,6.864,0
5.71343,1.35354,0.19992,0.450445,0.323544,0.146641,undefined,0.0152489,0.0583,5.51853,0
5.31453,-1.00113,-0.93563,0.262777,0.190612,-2.39,undefined,0.0175427,0.0259242,5.25422,0
3.6569,-1.3616,-0.129097,0.375353,0.271106,-3.04706,undefined,0.0113067,0.0399807,3.67114,0
3.42789,-0.93358,-0.986416,-0.393044,-0.285501,-2.32868,undefined,0.0183636,0.0703243,3.41381,0
3.55792,1.32449,-0.310859,-0.753415,-0.528794,-0.230528,undefined,0.010409,0.0120958,3.55782,0
3.72485,-1.08748,-0.797623,-1.08603,-0.736785,-2.50876,undefined,0.017914,0.0580729,3.72334,0
3.23744,0.202908,1.34,1.42522,0.917401,1.42051,undefined,0.0110069,0.00736577,3.22794,0
1.43454,-1.09897,-0.804088,0.498015,0.358026,-2.50992,undefined,0.0108091,0.00930314,1.43808,0
1.45847,1.02466,0.883553,-0.798865,-0.560613,0.711587,undefined,0.00898308,0.00751778,1.46231,0
1.19105,0.863897,-1.04793,0.0490746,0.0361264,-0.881364,undefined,0.00725395,0.00267,1.18559,0
0.93109,-0.60346,1.2155,-0.229099,-0.168029,2.03162,undefined,0.00746062,0.00296687,0.94037,0
