isValid,isFake,pos_x,pos_y,pos_z,xError,yError,zError,chi2,ndof
1,0,0.000684851,0.000612825,-0.0622716,2.45271e-05,2.38226e-05,2.80322e-05,68.7389,67.7546
1,0,0.000699469,0.000647153,-0.000920189,2.40937e-05,2.85131e-05,3.2979e-05,72.1921,95.977
1,0,0.000688648,0.00062375,0.0527395,2.9274e-05,3.34088e-05,4.2665e-05,25.8833,27.1953
1,0,0.000680086,0.000651636,-0.083999,3.02199e-05,3.30602e-05,4.53716e-05,32.752,41.2776
1,0,0.000689618,0.000690059,0.0033786,3.075e-05,3.3899e-05,3.62709e-05,48.1172,60.5641
1,0,0.00068957,0.000628344,0.0348457,2.7424e-05,6.58362e-05,3.15088e-05,12.2122,19.8069
1,0,0.000686553,0.000612884,-0.0358036,2.93085e-05,3.67255e-05,4.75543e-05,34.429,43.3119
1,0,0.000759282,0.000636493,0.0321178,3.59918e-05,3.67155e-05,4.88141e-05,30.0001,51.3351
1,0,0.000671408,0.00066151,-0.0105692,3.58948e-05,3.26205e-05,4.58108e-05,53.8059,61.1071
1,0,0.000726318,0.000639872,0.0167904,3.19505e-05,4.11034e-05,4.15649e-05,32.9561,43.0644
1,0,0.000719794,0.000648996,-0.0284625,3.89178e-05,3.91027e-05,5.236e-05,34.711,53.3849
1,0,0.000768345,0.000653236,0.0139867,3.88469e-05,4.54726e-05,5.17593e-05,33.6892,51.7556
1,0,0.00074164,0.000731082,-0.0391738,4.45791e-05,6.14443e-05,4.5603e-05,27.3526,33.4593
1,0,0.00072138,0.000685992,-0.0497247,5.3244e-05,6.71837e-05,5.90505e-05,6.09391,9.99193
1,0,0.000623672,0.000616326,-0.0172691,6.35898e-05,5.02022e-05,6.99515e-05,11.8058,16.5764
1,0,0.000730691,0.000651717,0.0457402,5.7144e-05,7.20984e-05,9.01164e-05,14.9724,23.757
1,0,0.000773212,0.000687672,0.00609034,6.69663e-05,4.88368e-05,8.21123e-05,19.362,15.2323
1,0,0.000680334,0.000666803,0.0279391,9.24763e-05,9.02897e-05,0.000121137,12.4048,13.3563
1,0,0.00078006,0.000507796,0.02016,7.81182e-05,9.43502e-05,0.000143937,6.85473,12.6106
1,0,0.000604616,0.000704519,-0.0224207,8.62872e-05,0.000102194,0.000134256,8.71462,18.5614
1,0,0.000676471,0.00054973,-0.0371348,7.84508e-05,0.000101645,0.000104165,8.60134,14.4138
1,0,0.000512128,0.000632637,-0.0716101,0.000112605,8.07778e-05,0.000111709,7.47124,12.5924
1,0,0.000626394,0.00091908,-0.102535,0.000246361,0.000209026,0.000638623,1.64863,0.877572
