energy,eta,phi,time,detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
0.146676,-0.0117394,2.1373,17.9482,838861445,-0.702391,1.08402,-0.0269319,-0.702391,1.08402,-0.00338403,-0.68353,1.09493,-0.00338406,-0.683539,1.09492,-0.026932,-0.817549,1.28312,-0.028832,-0.817549,1.28312,-0.00338402,-0.795213,1.29603,-0.00338406,-0.795223,1.29603,-0.0288321
0.111919,-0.0302958,1.23209,2.11713,838861905,0.418844,1.22171,-0.0508939,0.418916,1.22189,-0.0273468,0.439123,1.21374,-0.0273468,0.439041,1.21357,-0.0508939,0.504859,1.435,-0.054686,0.504937,1.43519,-0.0292388,0.528867,1.42554,-0.0292388,0.528778,1.42535,-0.054686
0.143353,-0.0302642,1.73638,-0.325835,838861934,-0.223839,1.27351,-0.0508939,-0.22387,1.2737,-0.0273468,-0.202202,1.276,-0.0273468,-0.202182,1.27581,-0.0508939,-0.252038,1.50179,-0.054686,-0.252072,1.502,-0.0292388,-0.226413,1.50471,-0.0292388,-0.226391,1.5045,-0.054686
0.142504,-0.0487952,1.94738,15.1646,838862458,-0.485555,1.19824,-0.0748583,-0.485685,1.19861,-0.0513136,-0.464968,1.20535,-0.0513136,-0.464848,1.20499,-0.0748583,-0.560565,1.41564,-0.0805421,-0.560706,1.41603,-0.0550975,-0.536171,1.42402,-0.0550975,-0.536041,1.42362,-0.080542
0.127145,-0.0488368,1.96474,-2.25676,838862459,-0.505789,1.18844,-0.0748583,-0.505922,1.1888,-0.0513136,-0.485453,1.19627,-0.0513135,-0.48533,1.1959,-0.0748583,-0.584576,1.40446,-0.0805421,-0.584719,1.40485,-0.0550975,-0.560479,1.41369,-0.0550975,-0.560346,1.41329,-0.080542
0.990529,-0.0488355,-1.98247,-51.533,838862593,-0.506821,-1.188,-0.0748583,-0.50699,-1.18835,-0.0513136,-0.526581,-1.17881,-0.0513136,-0.526402,-1.17847,-0.0748583,-0.607444,-1.39475,-0.0805421,-0.607627,-1.39513,-0.0550975,-0.630828,-1.38384,-0.0550975,-0.630634,-1.38347,-0.0805421
0.266834,-0.0673606,1.65018,-5.31884,838862953,-0.113286,1.28667,-0.0988267,-0.113307,1.28725,-0.075286,-0.0915321,1.28803,-0.075286,-0.091522,1.28745,-0.0988267,-0.121467,1.51641,-0.106402,-0.121489,1.51704,-0.0809616,-0.0957031,1.51795,-0.0809616,-0.0956921,1.51733,-0.106402
0.227278,-0.0673065,1.94738,-12.9078,838862970,-0.485555,1.19824,-0.0988267,-0.485745,1.19879,-0.075286,-0.465028,1.20554,-0.075286,-0.464848,1.20499,-0.0988267,-0.560548,1.41559,-0.106402,-0.560753,1.41618,-0.0809616,-0.536219,1.42417,-0.0809616,-0.536024,1.42357,-0.106402
0.249754,-0.0858678,1.50819,-4.45084,838863457,0.0699354,1.2897,-0.122801,0.0700158,1.29047,-0.0992656,0.0916866,1.28821,-0.0992656,0.0915958,1.28744,-0.122801,0.0937641,1.51827,-0.132267,0.093851,1.51911,-0.106832,0.119514,1.51643,-0.106832,0.119416,1.5156,-0.132267
0.122342,-0.0858659,1.65018,3.05343,838863465,-0.113286,1.28667,-0.122801,-0.113314,1.28744,-0.0992656,-0.091539,1.28822,-0.0992656,-0.091522,1.28745,-0.122801,-0.121464,1.51634,-0.132267,-0.121494,1.51717,-0.106832,-0.095708,1.51809,-0.106832,-0.0956896,1.51726,-0.132267
