pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,pt,phi,eta,charge,chi2,ndof
0.000704368,0.000668345,0.0292043,-0.564316,-0.0123207,-0.825467,0.854009,-3.11976,-1.17374,-1,6.28476,8
0.000689906,0.000657268,-0.0633409,-0.228243,-0.105187,0.967905,1.49836,-2.70975,2.05802,1,44.2725,43
0.000671195,0.000698884,0.0286136,-0.303839,-0.180155,-0.935535,1.3444,-2.60639,-1.70101,1,22.4462,27
0.000721845,0.0005912,-0.100923,-0.816162,-0.443754,-0.370084,0.989373,-2.64359,-0.388521,-1,10.2376,17
0.000290816,0.00134495,-0.0205799,-0.749945,-0.43763,0.496047,0.813278,-2.61336,0.544049,-1,7.98051,15
0.000661115,0.000688345,-0.0643185,-0.687869,-0.555138,0.467609,1.32328,-2.46257,0.507005,-1,14.238,19
0.000784183,0.000558048,-0.012275,-0.702238,-0.683399,0.199569,0.934267,-2.36979,0.202284,1,8.06445,10
0.000689388,0.00065669,-0.0201241,-0.726739,-0.606735,-0.322062,1.25422,-2.44595,-0.333946,-1,15.5706,11
0.000676212,0.000668708,-0.0201421,-0.428979,-0.413864,-0.802928,1.59675,-2.37413,-1.1068,1,4.535,8
0.000635696,0.000682827,0.0285021,-0.244367,-0.414943,-0.876417,0.967129,-2.10303,-1.3601,1,5.87238,7
0.000695724,0.000646305,-0.0638459,-0.337844,-0.746887,-0.572731,3.60791,-1.99559,-0.651578,-1,10.9671,9
0.000657184,0.000660166,-0.0201714,-0.195348,-0.530292,0.825003,1.17359,-1.92375,1.17228,-1,17.8189,15
0.00076654,0.000628412,-0.0201435,-0.234276,-0.972131,0.0087065,1.36474,-1.80728,0.00870672,1,8.79533,12
0.000858414,0.000608974,-0.0200793,-0.218541,-0.975751,-0.0122528,1.08555,-1.79113,-0.0122535,1,7.47715,14
0.000691737,0.000645275,-0.0199621,-0.0916405,-0.993918,-0.0610656,3.25071,-1.66274,-0.0611417,1,5.17836,12
0.000728978,0.000642697,-0.0200436,-0.0631509,-0.997847,-0.0177019,2.3799,-1.634,-0.0177038,-1,10.5822,11
0.000671979,0.000643433,-0.0201052,0.0405591,-0.987409,-0.152902,11.6818,-1.52974,-0.154111,-1,3.14063,4
0.000698886,0.000647403,-0.0642378,0.109831,-0.759089,-0.641655,0.818934,-1.42711,-0.760983,1,17.6622,15
0.000563921,0.000638132,-0.0640971,0.0433701,-0.656664,-0.752935,1.1838,-1.50485,-0.979698,-1,17.0555,13
0.000784741,0.000663302,-0.0201668,0.171828,-0.782017,-0.599103,1.57158,-1.35451,-0.691747,-1,16.5675,13
0.000691093,0.000641216,-0.0200501,0.261395,-0.658546,-0.705684,32.5527,-1.19294,-0.878533,-1,14.2695,19
0.000607789,0.000605845,-0.0200106,0.314197,-0.744621,-0.588914,1.11533,-1.17151,-0.676002,-1,14.3691,9
0.000696422,0.00065163,-0.0638262,0.941379,-0.334452,0.0441271,1.01249,-0.34137,0.0441558,1,5.86474,12
0.000658105,0.000529049,-0.0640114,0.884447,-0.274727,-0.377199,0.78019,-0.301171,-0.39679,1,39.6015,16
0.000707537,0.000669504,-0.012086,0.434485,-0.122473,0.892314,1.49254,-0.274752,1.43317,1,8.1381,7
0.000677958,0.000593986,-0.0639071,0.951522,-0.301543,0.0606431,0.830174,-0.306894,0.0607176,-1,8.74397,14
0.000690244,0.000623756,-0.0634624,0.290338,-0.0567394,0.955241,1.89433,-0.192993,1.88848,1,2.95151,9
0.000695622,0.000630922,-0.0437144,0.283433,-0.0246774,0.958675,2.44144,-0.0868471,1.92927,1,58.0354,49
0.000700988,0.000634749,-0.0202461,0.982328,0.149134,0.1131,1.51167,0.150666,0.113586,1,2.96861,9
0.000623149,0.000915217,-0.0636838,0.358173,0.0955541,-0.928753,0.980046,0.26071,-1.64924,-1,24.6947,29
0.000733495,0.000576148,0.0291709,0.32519,0.140747,0.935116,1.27204,0.408472,1.69766,1,0.301933,1
0.000730002,0.000577102,-0.020055,0.338753,0.15317,-0.928324,1.2019,0.424647,-1.64613,1,4.11121,7
0.000652734,0.000719665,-0.0642366,0.568311,0.32681,0.755128,1.05405,0.521876,0.984781,-1,14.771,11
0.000688218,0.000660668,-0.0200375,0.543011,0.381134,-0.748249,0.933215,0.611993,-0.968964,-1,0.798812,3
0.000695004,0.000649563,-0.0201087,0.364622,0.328806,0.87117,1.43104,0.733794,1.33791,-1,15.0844,19
0.000644907,0.000686084,-0.0201461,0.357255,0.469695,0.807314,0.873454,0.920539,1.11927,1,17.0931,13
0.000754508,0.00061155,-0.0200702,0.414177,0.690014,-0.593581,2.73821,1.0302,-0.683176,1,10.4888,17
0.000839261,0.000578594,0.0289553,0.150456,0.318056,0.936057,0.876503,1.12894,1.70521,-1,13.0093,19
0.000607186,0.000678226,-0.0199877,0.240814,0.660778,-0.710901,1.52741,1.22132,-0.889003,1,30.5923,14
0.000695547,0.000646503,-0.0638231,0.149386,0.473381,-0.868098,0.999685,1.26511,-1.32531,1,42.0525,23
0.000711519,0.000641275,-0.00461842,0.160846,0.66044,-0.733449,0.947698,1.3319,-0.936152,1,2.41037,3
0.00092833,0.000602774,-0.0636544,0.101163,0.537777,-0.836996,0.789054,1.38486,-1.21106,-1,5.26812,9
0.00058001,0.00064136,-0.0204141,-0.00790035,0.29704,0.954832,1.03393,1.59739,1.88384,1,54.6564,47
0.000726499,0.00064669,-0.0201432,-0.0522213,0.663337,-0.746496,1.62355,1.64936,-0.964994,-1,5.61847,6
0.000783553,0.000658047,0.0286327,-0.178094,0.878805,-0.442702,0.764298,1.77074,-0.475586,1,1.6098,6
0.00074436,0.000660058,-0.0643757,-0.0850412,0.319204,0.943863,1.57778,1.83117,1.77232,-1,1.88086,11
0.000722953,0.000653957,-0.0203274,-0.28413,0.710656,-0.643613,1.23499,1.95114,-0.764318,1,6.88392,7
0.000734016,0.000660349,-0.0639356,-0.304557,0.882356,-0.358739,0.877134,1.90316,-0.375438,-1,19.4097,15
0.000641604,0.000602481,-0.0023702,-0.554724,0.806187,0.205778,0.75457,2.17348,0.208758,1,6.1978,13
0.000756024,0.000689356,-0.0200469,-0.555163,0.700292,-0.44876,1.50727,2.24111,-0.483146,-1,11.5666,15
0.000745742,0.000685745,-0.0200622,-0.378481,0.424793,-0.822376,1.71654,2.2986,-1.16411,1,53.3853,15
0.000708,0.000652768,-0.0204198,-0.212789,0.221603,0.951637,1.45706,2.33591,1.84884,1,0.426455,1
0.000635608,0.00057509,-0.00880412,-0.279673,0.264373,-0.922979,1.1128,2.38431,-1.60877,1,40.5954,41
0.000710538,0.00065729,-0.0199835,-0.40049,0.346384,-0.848307,3.17397,2.42851,-1.25008,-1,8.77347,18
0.000715624,0.000667959,-0.0201595,-0.409242,0.281995,-0.867756,12.7912,2.53824,-1.32392,-1,17.1273,9
0.00066341,0.000584333,-0.0640799,-0.375771,0.188076,-0.907427,1.63945,2.67754,-1.51276,1,18.6621,21
0.000746866,0.000753291,0.0291565,-0.934677,0.352395,0.046872,1.69376,2.78105,0.0469063,-1,12.0002,14
0.000683215,0.000602542,-0.063956,-0.601551,0.155949,-0.783464,1.55165,2.88793,-1.05428,1,5.23886,13
0.000728157,0.000854173,-0.0123076,-0.615592,0.0814807,-0.783842,0.883034,3.01,-1.05526,-1,1.95562,1
0.000585089,0.000806573,-0.0123753,-0.213632,-0.151766,0.965054,1.02587,-2.52391,2.01473,1,54.8199,41
0.000610591,0.000625752,-0.0116789,-0.0426539,0.208881,0.97701,1.3045,1.77223,2.22715,1,33.0329,33
-2.04856e-05,0.000432994,-0.00329994,-0.055857,0.191664,0.97987,1.00852,1.85437,2.29428,1,0.68048,1
0.000846305,0.00073526,-0.0633382,-0.0964865,0.165343,0.981505,1.58802,2.09903,2.33706,-1,0.148433,1
0.000612583,0.000496039,-0.0834968,-0.156431,0.0824336,0.984243,1.31141,2.65661,2.41785,-1,18.0097,25
0.000726305,0.000688838,-0.00403374,0.144567,-0.0802526,-0.986235,1.51565,-0.506768,-2.48594,-1,10.1771,9
0.000713471,0.000645931,-0.0123535,-0.0324754,0.24163,-0.969825,1.7884,1.7044,-2.08934,-1,45.4551,37
0.000697498,0.000643603,-0.0198462,-0.0721861,0.155028,-0.985269,6.34988,2.00657,-2.45179,-1,11.3578,19
0.000675162,0.000607895,-0.00432835,-0.189966,0.138111,-0.972028,1.24982,2.51296,-2.12781,-1,41.1269,33
0.000734854,0.000630269,-0.0642549,-0.240702,-0.585952,0.773772,0.903761,-1.96057,1.02966,1,10.9512,13
0.000655965,0.00057704,-0.0638018,-0.598124,0.332239,-0.729291,2.36446,2.63456,-0.92721,-1,9.41814,12
0.00070614,0.000817885,-0.0646887,-0.373511,0.0251533,0.927285,1.02591,3.07435,1.63866,-1,13.0373,11
0.000456558,0.00056666,-0.0633129,0.0834937,-0.24807,0.965137,0.991782,-1.24613,2.01595,-1,2.93814,9
0.000856012,0.000529329,-0.0629185,-0.132508,-0.181776,-0.974371,1.34331,-2.2007,-2.17214,-1,11.2648,11
0.000700327,0.000689702,-0.0200404,0.658685,-0.0118274,0.752326,0.866578,-0.0179542,0.978292,1,6.29211,11
0.000696981,0.000656435,-0.020102,-0.900736,-0.192086,0.389587,1.36197,-2.93149,0.411313,1,3.23541,4
0.000661464,0.0006251,-0.0202278,0.325571,-0.636087,-0.699569,4.22714,-1.09773,-0.866456,1,1.98722,5
0.000663142,0.000696039,-0.019968,0.658396,0.465426,-0.591518,2.58856,0.615348,-0.679998,-1,6.65811,13
0.00060269,0.00073183,-0.0198679,0.508991,0.564931,-0.649447,0.781604,0.83744,-0.774342,-1,10.3868,15
0.00068953,0.000632109,-0.020076,-0.389185,0.311941,-0.866734,9.39118,2.46592,-1.3198,1,15.9598,21
0.000750525,0.00065129,-0.0209397,-0.0481818,0.36764,-0.928719,1.51034,1.70111,-1.64899,-1,42.0138,37
