pos_x,pos_y,pos_z
-0.044206,0.0147084,0.0754449
-0.344753,0.109933,0.55944
-0.644678,0.207043,1.04341
-0.94398,0.306019,1.52735
-1.24266,0.406833,2.01128
-1.54073,0.509445,2.49519
-1.83821,0.613802,2.97908
-2.13511,0.719835,3.46296
-2.43149,0.827446,3.94682
-2.7274,0.936497,4.43066
-3.02296,1.04677,4.91444
-3.31842,1.15741,5.39821
-3.61416,1.26715,5.88199
-3.91019,1.37602,6.36579
-4.20643,1.48428,6.8496
-4.50279,1.59219,7.33341
-4.79954,1.69899,7.81721
-5.09664,1.80485,8.30101
-5.39381,1.9106,8.78479
-5.69141,2.01584,9.26842
-5.98911,2.12101,9.752
0.0331769,0.018351,0.0267893
0.346846,0.192043,0.255012
0.658271,0.369291,0.483155
0.967447,0.550092,0.71123
1.27437,0.734445,0.939239
1.57905,0.922361,1.16717
1.88147,1.11388,1.39501
2.18164,1.30905,1.62268
2.47958,1.50798,1.85008
2.77538,1.71075,2.07702
3.07038,1.91573,2.30312
3.36628,2.12026,2.52842
3.66295,2.32388,2.75347
3.9601,2.52685,2.97845
4.25832,2.72824,3.20336
4.55692,2.929,3.42831
4.85606,3.12878,3.65338
5.15588,3.32736,3.87859
5.4559,3.52551,4.1039
5.75629,3.72287,4.32939
6.05711,3.9193,4.55512
0.0267174,0.0322311,0.0175823
0.253458,0.315525,0.144853
0.472267,0.603399,0.271733
0.683213,0.895774,0.398321
0.886346,1.19258,0.524726
1.08164,1.49378,0.651068
1.26894,1.7994,0.77749
1.44797,2.10952,0.904173
1.6184,2.42423,1.03137
1.77999,2.74352,1.15942
1.93687,3.06491,1.28875
2.09214,3.38712,1.41827
2.24556,3.71074,1.54687
2.39791,4.03522,1.67482
2.55213,4.35884,1.8023
2.70676,4.68237,1.92947
2.86323,5.00493,2.05648
3.02264,5.32588,2.18344
3.18271,5.6465,2.3103
3.34525,5.96573,2.43718
3.51066,6.28333,2.56414
-0.0424102,0.00261855,-0.00114426
-0.42034,0.0279599,-0.0395314
-0.794,0.0675394,-0.0776672
-1.16344,0.121106,-0.115727
-1.52869,0.188497,-0.153937
-1.88968,0.26978,-0.192607
-2.24624,0.365333,-0.232175
-2.59808,0.47581,-0.27329
-2.94485,0.60198,-0.316942
-3.2864,0.743622,-0.364668
-3.62569,0.889969,-0.418807
-3.96546,1.03338,-0.476002
-4.30746,1.17033,-0.53105
-4.6504,1.30493,-0.584352
-4.9952,1.43403,-0.636222
-5.34081,1.56096,-0.686892
-5.68778,1.68368,-0.736887
-6.03659,1.80051,-0.786481
-6.38588,1.91599,-0.835477
-6.73667,2.02664,-0.884147
-7.08914,2.13185,-0.93259
