energy,eta,phi,time,detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
0.161631,-0.0435,1.52716,-25.087,1107312786,1.36857e-07,1.81273,0,0.15799,1.80583,0,0.15799,1.80583,-0.157906,1.36857e-07,1.81273,-0.157906,2.18246e-07,2.89075,0,0.251946,2.87975,0,0.251946,2.87975,-0.251813,2.18246e-07,2.89075,-0.251813
0.0244792,-0.2175,0.916298,-24.0088,1107313035,1.03974,1.4849,-0.317008,1.1652,1.38863,-0.317008,1.1652,1.38863,-0.478511,1.03974,1.4849,-0.478511,1.65807,2.36796,-0.505533,1.85814,2.21444,-0.505533,1.85814,2.21444,-0.763081,1.65807,2.36796,-0.763081
0.0761919,-0.2175,2.74889,-23.5228,1107313056,-1.7034,0.619989,-0.317008,-1.64289,0.766091,-0.317008,-1.64289,0.766091,-0.478511,-1.7034,0.619989,-0.478511,-2.71642,0.988695,-0.505533,-2.61991,1.22168,-0.505533,-2.61991,1.22168,-0.763081,-2.71642,0.988695,-0.763081
0.359704,-0.3045,0.479966,30.731,1107313158,1.56987,0.906363,-0.478511,1.64289,0.766091,-0.478511,1.64289,0.766091,-0.643638,1.56987,0.906363,-0.643638,2.50346,1.44538,-0.763081,2.61991,1.22168,-0.763081,2.61991,1.22168,-1.02641,2.50346,1.44538,-1.02641
1.23112,-0.3045,-0.567232,-23.8677,1107313218,1.56987,-0.906363,-0.478511,1.4849,-1.03974,-0.478511,1.4849,-1.03974,-0.643638,1.56987,-0.906363,-0.643638,2.50346,-1.44538,-0.763081,2.36797,-1.65807,-0.763081,2.36797,-1.65807,-1.02641,2.50346,-1.44538,-1.02641
4.02634,-0.3045,-0.479966,-22.6531,1107313219,1.64289,-0.766091,-0.478511,1.56987,-0.906363,-0.478511,1.56987,-0.906363,-0.643638,1.64289,-0.766091,-0.643638,2.61991,-1.22168,-0.763081,2.50346,-1.44538,-0.763081,2.50346,-1.44538,-1.02641,2.61991,-1.22168,-1.02641
-0.060493,-1.0005,-2.83616,-23.6016,1107314216,-1.7034,-0.619989,-2.01197,-1.75096,-0.469168,-2.01197,-1.75096,-0.469168,-2.25549,-1.7034,-0.619989,-2.25549,-2.71642,-0.988695,-3.20849,-2.79225,-0.748182,-3.20849,-2.79225,-0.748182,-3.59684,-2.71642,-0.988695,-3.59684
0.558343,-1.1745,0.0436332,-7.41813,1107314433,1.80583,0.157989,-2.5161,1.81273,0,-2.5161,1.81273,0,-2.79577,1.80583,0.157989,-2.79577,2.87975,0.251946,-4.01243,2.89075,0,-4.01243,2.89075,0,-4.4584,2.87975,0.251946,-4.4584
0.262555,-1.1745,-3.09796,-14.9191,1107314469,-1.80583,-0.15799,-2.5161,-1.81273,-2.73714e-07,-2.5161,-1.81273,-2.73714e-07,-2.79577,-1.80583,-0.15799,-2.79577,-2.87975,-0.251946,-4.01243,-2.89075,-4.36491e-07,-4.01243,-2.89075,-4.36491e-07,-4.4584,-2.87975,-0.251946,-4.4584
1.11099,-1.1745,-0.218166,-13.3099,1107314502,1.78519,-0.314777,-2.5161,1.75096,-0.469168,-2.5161,1.75096,-0.469168,-2.79577,1.78519,-0.314777,-2.79577,2.84683,-0.501974,-4.01243,2.79225,-0.748182,-4.01243,2.79225,-0.748182,-4.4584,2.84683,-0.501974,-4.4584
0.0286772,-1.2615,-3.01069,-24.1662,1107314598,-1.78519,-0.314777,-2.79577,-1.80583,-0.15799,-2.79577,-1.80583,-0.15799,-3.0966,-1.78519,-0.314777,-3.0966,-2.54717,-0.449135,-3.9891,-2.57662,-0.225425,-3.9891,-2.57662,-0.225425,-4.41834,-2.54717,-0.449135,-4.41834
0.227204,-1.2615,-2.22529,-24.1848,1107314607,-1.03974,-1.4849,-2.79577,-1.1652,-1.38863,-2.79577,-1.1652,-1.38863,-3.0966,-1.03974,-1.4849,-3.0966,-1.48353,-2.11871,-3.9891,-1.66255,-1.98134,-3.9891,-1.66255,-1.98134,-4.41834,-1.48353,-2.11871,-4.41834
0.382525,0.0435,0.218166,-18.1665,1107320963,1.75096,0.469168,0.157906,1.78519,0.314776,0.157906,1.78519,0.314776,6.75293e-09,1.75096,0.469168,6.75293e-09,2.79225,0.748181,0.251813,2.84683,0.501974,0.251813,2.84683,0.501974,1.07689e-08,2.79225,0.748181,1.07689e-08
0.505338,0.1305,-3.01069,-24.1189,1107321126,-1.78519,-0.314777,0.317008,-1.80583,-0.15799,0.317008,-1.80583,-0.15799,0.157906,-1.78519,-0.314777,0.157906,-2.84683,-0.501974,0.505533,-2.87975,-0.251946,0.505533,-2.87975,-0.251946,0.251813,-2.84683,-0.501974,0.251813
1.29627,0.4785,0.479966,-16.1003,1107321606,1.56987,0.906363,0.989805,1.64289,0.766091,0.989805,1.64289,0.766091,0.81364,1.56987,0.906363,0.81364,2.50346,1.44538,1.57844,2.61991,1.22168,1.57844,2.61991,1.22168,1.29751,2.50346,1.44538,1.29751
1.06191,0.4785,-0.218166,-23.5821,1107321670,1.78519,-0.314777,0.989805,1.75096,-0.469168,0.989805,1.75096,-0.469168,0.81364,1.78519,-0.314777,0.81364,2.84683,-0.501974,1.57844,2.79225,-0.748182,1.57844,2.79225,-0.748182,1.29751,2.84683,-0.501974,1.29751
1.19114,0.6525,-1.35263,29.2403,1107321913,0.469167,-1.75096,1.36601,0.314776,-1.78519,1.36601,0.314776,-1.78519,1.17347,0.469167,-1.75096,1.17347,0.74818,-2.79225,2.17838,0.501973,-2.84683,2.17838,0.501973,-2.84683,1.87132,0.74818,-2.79225,1.87132
