energy,eta,phi,time,detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
0.834657,-3.91956,-3.05433,-8.0224,1207980453,-0.475662,-0.0838721,-11.15,-0.483,-7.2931e-08,-11.15,-0.406,-6.13043e-08,-11.15,-0.399832,-0.0705012,-11.15,-0.475662,-0.0838721,-12.801,-0.483,-7.2931e-08,-12.801,-0.406,-6.13043e-08,-12.801,-0.399832,-0.0705012,-12.801
1.79241,-3.91956,-2.18166,-8.859,1207980463,-0.2415,-0.41829,-11.15,-0.310466,-0.369999,-11.15,-0.260972,-0.311014,-11.15,-0.203,-0.351606,-11.15,-0.2415,-0.41829,-12.801,-0.310466,-0.369999,-12.801,-0.260972,-0.311014,-12.801,-0.203,-0.351606,-12.801
2.23888,-4.79581,2.79253,-9.1711,1207981087,-0.197946,0.0349033,-11.15,-0.174071,0.1005,-11.15,-0.146358,0.0845,-11.15,-0.166433,0.0293466,-11.15,-0.197946,0.0349033,-12.801,-0.174071,0.1005,-12.801,-0.146358,0.0845,-12.801,-0.166433,0.0293466,-12.801
0.497826,-4.79581,-1.39626,15.9291,1207981111,0.068746,-0.188878,-11.15,-8.78598e-09,-0.201,-11.15,-7.38723e-09,-0.169,-11.15,0.0578014,-0.158808,-11.15,0.068746,-0.188878,-12.801,-8.78598e-09,-0.201,-12.801,-7.38723e-09,-0.169,-12.801,0.0578014,-0.158808,-12.801
4.11251,-5.03328,-3.14159,-9.3081,1207981219,-0.166433,-0.0293466,-11.15,-0.166433,0.0293465,-11.15,-0.123101,0.021706,-11.15,-0.123101,-0.021706,-11.15,-0.166433,-0.0293466,-12.801,-0.166433,0.0293465,-12.801,-0.123101,0.021706,-12.801,-0.123101,-0.021706,-12.801
0.430342,-5.03328,-0.698132,15.8098,1207981247,0.146358,-0.0845,-11.15,0.108631,-0.129462,-11.15,0.0803484,-0.0957555,-11.15,0.108253,-0.0625,-11.15,0.146358,-0.0845,-12.801,0.108631,-0.129462,-12.801,0.0803484,-0.0957555,-12.801,0.108253,-0.0625,-12.801
0.462793,5.03328,0.698132,15.5119,1207989383,0.0803484,0.0957555,11.15,0.108253,0.0625,11.15,0.146358,0.0845,11.15,0.108631,0.129462,11.15,0.0803484,0.0957555,12.801,0.108253,0.0625,12.801,0.146358,0.0845,12.801,0.108631,0.129462,12.801
6.35846,5.03328,1.0472,15.7512,1207989387,0.0427525,0.117462,11.15,0.0803484,0.0957555,11.15,0.108631,0.129462,11.15,0.0578014,0.158808,11.15,0.0427525,0.117462,12.801,0.0803484,0.0957555,12.801,0.108631,0.129462,12.801,0.0578014,0.158808,12.801
0.810242,5.03328,-1.39626,15.774,1207989431,0.0427525,-0.117462,11.15,-5.46392e-09,-0.125,11.15,-7.38723e-09,-0.169,11.15,0.0578014,-0.158808,11.15,0.0427525,-0.117462,12.801,-5.46392e-09,-0.125,12.801,-7.38723e-09,-0.169,12.801,0.0578014,-0.158808,12.801
0.777456,5.03328,-1.0472,-9.3414,1207989435,0.0803484,-0.0957555,11.15,0.0427525,-0.117462,11.15,0.0578014,-0.158808,11.15,0.108631,-0.129462,11.15,0.0803484,-0.0957555,12.801,0.0427525,-0.117462,12.801,0.0578014,-0.158808,12.801,0.108631,-0.129462,12.801
1.9767,-4.81535,2.79253,-9.2891,1207997471,-0.197946,0.0349033,-11.37,-0.174071,0.1005,-11.37,-0.146358,0.0845,-11.37,-0.166432,0.0293466,-11.37,-0.197946,0.0349033,-12.801,-0.174071,0.1005,-12.801,-0.146358,0.0845,-12.801,-0.166432,0.0293466,-12.801
1.07312,-5.05282,2.44346,15.7811,1207997595,-0.146358,0.0845,-11.37,-0.108631,0.129461,-11.37,-0.0803485,0.0957556,-11.37,-0.108253,0.0625,-11.37,-0.146358,0.0845,-12.801,-0.108631,0.129461,-12.801,-0.0803485,0.0957556,-12.801,-0.108253,0.0625,-12.801
3.98809,5.05282,-1.39626,-9.0352,1208005815,0.0427525,-0.117462,11.37,-5.46392e-09,-0.125,11.37,-7.38722e-09,-0.169,11.37,0.0578014,-0.158808,11.37,0.0427525,-0.117462,12.801,-5.46392e-09,-0.125,12.801,-7.38722e-09,-0.169,12.801,0.0578014,-0.158808,12.801
