energy,eta,phi,time,detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
0.572399,-2.03304,3.0544,26.5326,872418101,-0.858696,0.0595489,-3.17965,-0.85863,0.0881146,-3.1793,-0.830541,0.0881146,-3.1845,-0.830606,0.0595489,-3.18486,-0.900153,0.0623142,-3.39569,-0.900085,0.0922618,-3.39532,-0.870636,0.0922618,-3.40078,-0.870705,0.0623142,-3.40115
0.701381,-1.7421,2.39364,1.85718,872418125,-0.861607,0.771865,-3.19744,-0.860842,0.800052,-3.19285,-0.832752,0.800137,-3.19806,-0.833517,0.771949,-3.20264,-0.902638,0.807632,-3.4106,-0.901836,0.837183,-3.4058,-0.872388,0.837271,-3.41126,-0.87319,0.80772,-3.41606
0.52044,-1.52894,-2.1661,12.7295,872418186,-0.80648,-1.2263,-3.21795,-0.8346,-1.22621,-3.21291,-0.835767,-1.19854,-3.21992,-0.807647,-1.19863,-3.22495,-0.844154,-1.28234,-3.42733,-0.873635,-1.28225,-3.42205,-0.874858,-1.25324,-3.4294,-0.845377,-1.25333,-3.43468
0.848403,-2.07151,3.12248,-8.7211,872418227,-0.82998,0.00130835,-3.18454,-0.82998,0.0298764,-3.18454,-0.801859,0.0298764,-3.18957,-0.801859,0.00130837,-3.18957,-0.870082,0.00130914,-3.40086,-0.870082,0.0312591,-3.40086,-0.8406,0.0312592,-3.40614,-0.8406,0.00130916,-3.40614
0.965914,-2.10633,3.08486,10.5846,872418356,-0.801282,0.0304272,-3.18948,-0.801252,0.0589946,-3.1893,-0.773099,0.0589946,-3.19416,-0.773129,0.0304272,-3.19433,-0.840022,0.0318102,-3.40604,-0.83999,0.0617597,-3.40586,-0.810476,0.0617597,-3.41094,-0.810508,0.0318103,-3.41113
0.726914,-1.6746,-2.16822,4.19551,872418704,-0.680928,-1.0362,-3.18226,-0.709172,-1.0361,-3.17798,-0.709983,-1.00818,-3.18398,-0.681739,-1.00828,-3.18826,-0.71331,-1.08418,-3.39451,-0.74292,-1.08408,-3.39002,-0.743771,-1.05481,-3.39631,-0.71416,-1.05491,-3.40081
0.705601,-1.76882,-2.05159,8.48247,872419473,-0.503798,-1.00761,-3.18885,-0.532188,-1.00755,-3.18566,-0.532778,-0.97959,-3.19151,-0.504388,-0.979657,-3.1947,-0.52788,-1.05425,-3.4025,-0.557643,-1.05418,-3.39916,-0.558262,-1.02487,-3.40529,-0.528499,-1.02494,-3.40863
1.29734,-2.50325,-2.76731,0.448342,872419628,-0.474645,-0.20632,-3.18943,-0.503055,-0.206314,-3.18643,-0.503163,-0.177766,-3.1875,-0.474753,-0.177772,-3.1905,-0.497759,-0.215993,-3.408,-0.527543,-0.215987,-3.40485,-0.527656,-0.186058,-3.40598,-0.497872,-0.186064,-3.40913
5.60538,-2.57326,3.10969,-2.4001,872419635,-0.502804,0.00130834,-3.18387,-0.502804,0.0298763,-3.18387,-0.474394,0.0298764,-3.18687,-0.474394,0.00130837,-3.18687,-0.527309,0.00130913,-3.4025,-0.527309,0.0312591,-3.4025,-0.497525,0.0312592,-3.40565,-0.497525,0.00130916,-3.40565
0.836533,-2.65777,-2.84195,-19.5976,872419886,-0.41328,-0.146364,-3.17676,-0.44173,-0.146364,-3.17416,-0.441795,-0.117805,-3.17487,-0.413346,-0.117805,-3.17747,-0.433303,-0.153275,-3.39574,-0.463128,-0.153275,-3.39301,-0.463197,-0.123335,-3.39376,-0.433371,-0.123335,-3.39649
4.10752,-2.84196,3.02115,48.7918,872420148,-0.383671,0.0304272,-3.17894,-0.383657,0.0589946,-3.17876,-0.355177,0.0589946,-3.181,-0.355191,0.0304272,-3.18118,-0.402324,0.0318103,-3.39815,-0.40231,0.0617597,-3.39796,-0.372452,0.0617597,-3.40031,-0.372467,0.0318103,-3.4005
0.874953,-1.5688,-1.79634,-7.41492,872420357,-0.299096,-1.38054,-3.21719,-0.327601,-1.38054,-3.21528,-0.328132,-1.35311,-3.22323,-0.299628,-1.35311,-3.22514,-0.313164,-1.44324,-3.4276,-0.343047,-1.44324,-3.4256,-0.343605,-1.41448,-3.43394,-0.313721,-1.41448,-3.43593
1.53975,-2.67562,2.26051,48.9993,872420542,-0.294483,0.325408,-3.18207,-0.294414,0.353908,-3.1801,-0.265894,0.353953,-3.18176,-0.265964,0.325453,-3.18373,-0.308645,0.340594,-3.40109,-0.308572,0.370472,-3.39902,-0.278672,0.37052,-3.40076,-0.278746,0.340641,-3.40283
3.44042,-2.69887,-1.96104,43.4174,872421029,-0.149326,-0.412055,-3.18155,-0.177879,-0.412055,-3.18061,-0.177956,-0.383583,-3.18294,-0.149403,-0.383583,-3.18388,-0.156572,-0.431382,-3.40059,-0.186506,-0.431382,-3.3996,-0.186586,-0.401532,-3.40204,-0.156653,-0.401532,-3.40303
