Product
EBRecHits EcalRecHitsSorted:reducedEcalRecHitsEB::
EERecHits EcalRecHitsSorted:reducedEcalRecHitsEE::
ESRecHits EcalRecHitsSorted:reducedEcalRecHitsES::
HBRecHits HBHERecHitsSorted:reducedHcalRecHits:hbhereco:
HERecHits HBHERecHitsSorted:reducedHcalRecHits:hbhereco:
HFRecHits HFRecHitsSorted:reducedHcalRecHits:hfreco:
HORecHits HORecHitsSorted:reducedHcalRecHits:horeco:
Muons recoMuons:muons::
PFJets recoPFJets:ak7PFJets::
PFMETs recoPFMETs:pfMet::
PFTaus recoPFTaus:hpsPFTauProducer::
Photons recoPhotons:photons::
SuperClusters recoSuperClusters:correctedHybridSuperClusters::
TrackExtrapolation recoTrackExtrapolation:trackExtrapolator::
GsfElectrons recoGsfElectrons:trackExtrapolator::
Muons recoMuons:trackExtrapolator::
TriggerEvent triggerTriggerEvent:hltTriggerSummaryAOD::HLT  TriggerResults edmTriggerResults:TriggerResults::HLT
Vertices recoVertexs:offlinePrimaryVertices::
