energy,eta,phi,time,detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
0.296035,-0.0435,2.83616,15.6295,1107312801,-1.75096,0.469168,0,-1.7034,0.619989,0,-1.7034,0.619989,-0.157906,-1.75096,0.469168,-0.157906,-2.79225,0.748182,0,-2.71642,0.988695,0,-2.71642,0.988695,-0.251813,-2.79225,0.748182,-0.251813
0.194502,-0.1305,1.00356,-20.7416,1107312908,0.906363,1.56987,-0.157906,1.03974,1.4849,-0.157906,1.03974,1.4849,-0.317008,0.906363,1.56987,-0.317008,1.44538,2.50346,-0.251813,1.65807,2.36796,-0.251813,1.65807,2.36796,-0.505533,1.44538,2.50346,-0.505533
2.01166,-0.2175,2.31256,0.787458,1107313051,-1.28179,1.28179,-0.317008,-1.1652,1.38863,-0.317008,-1.1652,1.38863,-0.478511,-1.28179,1.28179,-0.478511,-2.04407,2.04407,-0.505533,-1.85814,2.21444,-0.505533,-1.85814,2.21444,-0.763081,-2.04407,2.04407,-0.763081
-0.0927633,-0.2175,-2.39983,-24.5249,1107313069,-1.28179,-1.28179,-0.317008,-1.38863,-1.1652,-0.317008,-1.38863,-1.1652,-0.478511,-1.28179,-1.28179,-0.478511,-2.04407,-2.04407,-0.505533,-2.21444,-1.85814,-0.505533,-2.21444,-1.85814,-0.763081,-2.04407,-2.04407,-0.763081
-0.115737,-0.3915,2.22529,-23.0589,1107313306,-1.1652,1.38863,-0.643638,-1.03974,1.4849,-0.643638,-1.03974,1.4849,-0.81364,-1.1652,1.38863,-0.81364,-1.85814,2.21444,-1.02641,-1.65807,2.36796,-1.02641,-1.65807,2.36796,-1.29751,-1.85814,2.21444,-1.29751
0.718295,-0.6525,1.1781,4.98672,1107313678,0.619989,1.7034,-1.17347,0.766091,1.64289,-1.17347,0.766091,1.64289,-1.36601,0.619989,1.7034,-1.36601,0.988695,2.71642,-1.87132,1.22168,2.61991,-1.87132,1.22168,2.61991,-2.17838,0.988695,2.71642,-2.17838
0.186853,-0.8265,0.479966,-23.6239,1107313926,1.56987,0.906363,-1.56891,1.64289,0.766091,-1.56891,1.64289,0.766091,-1.78368,1.56987,0.906363,-1.78368,2.50346,1.44538,-2.50194,2.61991,1.22168,-2.50194,2.61991,1.22168,-2.84444,2.50346,1.44538,-2.84444
0.0879541,-0.9135,2.92343,30.3881,1107314082,-1.78519,0.314777,-1.78368,-1.75096,0.469168,-1.78368,-1.75096,0.469168,-2.01197,-1.78519,0.314777,-2.01197,-2.84683,0.501974,-2.84444,-2.79225,0.748182,-2.84444,-2.79225,0.748182,-3.20849,-2.84683,0.501974,-3.20849
-0.154787,-0.9135,-2.05076,-23.2291,1107314097,-0.766091,-1.64289,-1.78368,-0.906363,-1.56987,-1.78368,-0.906363,-1.56987,-2.01197,-0.766091,-1.64289,-2.01197,-1.22168,-2.61991,-2.84444,-1.44538,-2.50346,-2.84444,-1.44538,-2.50346,-3.20849,-1.22168,-2.61991,-3.20849
0.455251,-0.9135,-1.9635,31.8619,1107314098,-0.619989,-1.7034,-1.78368,-0.766091,-1.64289,-1.78368,-0.766091,-1.64289,-2.01197,-0.619989,-1.7034,-2.01197,-0.988695,-2.71642,-2.84444,-1.22168,-2.61991,-2.84444,-1.22168,-2.61991,-3.20849,-0.988695,-2.71642,-3.20849
0.284692,-0.9135,-1.7017,27.8118,1107314101,-0.15799,-1.80583,-1.78368,-0.314777,-1.78519,-1.78368,-0.314777,-1.78519,-2.01197,-0.15799,-1.80583,-2.01197,-0.251946,-2.87975,-2.84444,-0.501974,-2.84683,-2.84444,-0.501974,-2.84683,-3.20849,-0.251946,-2.87975,-3.20849
5.97835,-1.0005,0.479966,7.79247,1107314182,1.56987,0.906363,-2.01197,1.64289,0.766091,-2.01197,1.64289,0.766091,-2.25549,1.56987,0.906363,-2.25549,2.50346,1.44538,-3.20849,2.61991,1.22168,-3.20849,2.61991,1.22168,-3.59684,2.50346,1.44538,-3.59684
0.830567,-1.0005,-2.83616,1.42707,1107314216,-1.7034,-0.619989,-2.01197,-1.75096,-0.469168,-2.01197,-1.75096,-0.469168,-2.25549,-1.7034,-0.619989,-2.25549,-2.71642,-0.988695,-3.20849,-2.79225,-0.748182,-3.20849,-2.79225,-0.748182,-3.59684,-2.71642,-0.988695,-3.59684
0.315077,-1.0005,-2.05076,31.5093,1107314225,-0.766091,-1.64289,-2.01197,-0.906363,-1.56987,-2.01197,-0.906363,-1.56987,-2.25549,-0.766091,-1.64289,-2.25549,-1.22168,-2.61991,-3.20849,-1.44538,-2.50346,-3.20849,-1.44538,-2.50346,-3.59684,-1.22168,-2.61991,-3.59684
-0.152238,-1.0005,-1.9635,-22.8569,1107314226,-0.619989,-1.7034,-2.01197,-0.766091,-1.64289,-2.01197,-0.766091,-1.64289,-2.25549,-0.619989,-1.7034,-2.25549,-0.988695,-2.71642,-3.20849,-1.22168,-2.61991,-3.20849,-1.22168,-2.61991,-3.59684,-0.988695,-2.71642,-3.59684
-0.441401,-1.0005,-1.87623,31.4436,1107314227,-0.469168,-1.75096,-2.01197,-0.619989,-1.7034,-2.01197,-0.619989,-1.7034,-2.25549,-0.469168,-1.75096,-2.25549,-0.748182,-2.79225,-3.20849,-0.988695,-2.71642,-3.20849,-0.988695,-2.71642,-3.59684,-0.748182,-2.79225,-3.59684
-0.173969,-1.0005,-1.78896,31.5244,1107314228,-0.314777,-1.78519,-2.01197,-0.469168,-1.75096,-2.01197,-0.469168,-1.75096,-2.25549,-0.314777,-1.78519,-2.25549,-0.501974,-2.84683,-3.20849,-0.748182,-2.79225,-3.20849,-0.748182,-2.79225,-3.59684,-0.501974,-2.84683,-3.59684
-0.0025316,-1.0005,-1.52716,-7.0059,1107314231,0.157989,-1.80583,-2.01197,-5.11424e-07,-1.81273,-2.01197,-5.11424e-07,-1.81273,-2.25549,0.157989,-1.80583,-2.25549,0.251945,-2.87975,-3.20849,-8.15568e-07,-2.89075,-3.20849,-8.15568e-07,-2.89075,-3.59684,0.251945,-2.87975,-3.59684
0.30257,-1.0005,-0.829031,-24.1818,1107314239,1.28179,-1.28179,-2.01197,1.1652,-1.38863,-2.01197,1.1652,-1.38863,-2.25549,1.28179,-1.28179,-2.25549,2.04407,-2.04407,-3.20849,1.85814,-2.21444,-3.20849,1.85814,-2.21444,-3.59684,2.04407,-2.04407,-3.59684
0.187103,-1.0875,2.39983,-23.6609,1107314332,-1.38863,1.1652,-2.2555,-1.28179,1.28179,-2.2555,-1.28179,1.28179,-2.5161,-1.38863,1.1652,-2.5161,-2.21444,1.85814,-3.59684,-2.04407,2.04407,-3.59684,-2.04407,2.04407,-4.01243,-2.21444,1.85814,-4.01243
