et,eta,theta,phi
94.6337,-0.0273572,1.59815,-2.17722
73.4768,-0.81781,2.31024,0.828978
51.2939,-0.601774,2.13923,2.54278
23.5938,-1.58927,2.73897,-0.709687
19.728,1.94408,0.284307,-1.2024
19.2908,-2.72027,3.01007,2.24993
19.2755,-1.36526,2.64164,-2.01035
16.3703,-1.73056,2.79086,3.12481
16.1735,1.7983,0.328183,-0.144693
15.5263,2.89,0.111038,2.05058
14.2849,0.864264,0.797569,-0.634944
13.1972,3.25522,0.0771064,0.0647788
12.2654,0.793191,0.849694,-1.52015
11.6964,1.94105,0.285157,2.94689
11.1978,3.05341,0.0943254,-1.15752
10.8187,1.60835,0.395208,1.7511
10.3088,-3.3115,3.0687,-0.315315
9.67868,-3.74829,3.09449,3.02339
9.34126,-1.46354,2.68677,1.95554
9.84465,0.134814,1.43639,1.87534
8.55408,4.12518,0.0323183,0.654374
8.43691,4.19542,0.0301267,-0.63282
8.31252,-4.26246,3.11342,0.732064
8.75605,0.472024,1.11538,-2.83257
8.04414,-3.71001,3.09265,1.93873
7.9755,2.85451,0.115041,-2.65629
7.82237,4.33393,0.0262302,-2.72687
7.77129,-2.88572,3.03008,-1.6079
7.75933,-4.2189,3.11217,-2.34689
7.75913,2.87906,0.112257,0.854321
7.7798,-0.330793,1.89572,-0.868041
6.5804,-2.74873,3.01375,-2.77363
6.25733,-4.51105,3.11962,-0.289602
6.76807,0.152827,1.41856,0.378715
5.90868,4.73064,0.0176411,2.14191
5.96216,1.25126,0.557392,0.868523
5.69417,-3.09071,3.05072,1.16649
5.65609,4.22372,0.0292862,-1.62369
5.46523,3.77745,0.0457538,2.68793
5.42396,-1.97639,2.86621,0.493782
4.63114,0.816096,0.832621,2.4834
