eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision
-1.61612,-2.70244,1.05169,1,0,0,0,-1,0,0,0,0,,-999,0,0,,,1
0.662692,2.3942,2.39362,1,0,0.503894,2.25964,0.183996,0.994984,0.994984,0.994984,0,,-999,0,0,,,1
1.42448,0.93522,0.901293,1,0.966183,0,0.55373,0.425207,1.15186,0.446728,0.705135,0.402808,,-999,0,0,,,1
-1.64039,2.96647,1.21214,-1,1.22323,0,0.886571,0.140112,1.14569,0.746059,0.746059,0,,-999,0,0,,,1
1.6762,-0.131589,4.76251,1,1.67561,0,1.58422,0.550272,0.474176,0.332529,0.332529,0.401835,,-999,0,0,,,1
-0.134777,2.80629,2.75505,-1,2.12234,0,2.58939,0.377512,2.64783,1.99743,0,0,,-999,0,0,,,1
-0.981635,3.00808,2.29015,-1,1.89665,2.58301,0.898628,0.550199,0.771299,0.429223,0,0,,-999,0,0,,,1
-0.755899,0.841171,40.7172,-1,0,4.8817,8.60817,0.477708,1.53839,0.53289,1.37429,1.2859,,-999,0,0,,,1
1.9521,-1.11843,1.55357,1,6.31042,1.47154,3.04828,0.293024,3.08319,2.39711,0,0.804917,,-999,0,0,,,1
0.0759096,-2.11825,23.6734,-1,3.94978,18.4228,11.0477,0.72834,2.24288,1.45295,0,5.90739,,-0.958037,0,0,,,1
-2.6134,2.39282,2.50063,1,0,0,1.93553,0.40022,6.84573,5.84576,0.999965,0,,-999,0,0,,,1
0.956092,-0.656126,4.87797,-1,0,0,0,1,0,0,0,0,,-999,0,0,,,1
0.588497,-1.47428,3.52117,-1,1.61953,0,0,1,0,0,0,1.43773,,-999,0,0,,,1
-0.627533,2.32607,6.72022,1,2.28039,3.87542,3.09173,0.515978,1.91071,0.90825,0.90825,1.38198,,-999,0,0,,,1
-0.424985,-2.51761,7.8256,-1,2.49034,5.91416,2.77434,0.491742,2.1345,0.528621,0.42628,2.06514,,-999,0,0,,,1
-4.13142,0.632751,6.14271,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-0.00880071,-0.747759,3.00378,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.59326,2.05541,6.61649,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.3919,-0.452653,7.05959,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.02211,2.11409,7.87366,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.90448,-1.03275,7.91948,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.05668,2.8847,8.15831,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
0.421289,-2.79088,8.79729,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.12446,0.155544,9.67094,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.6145,1.28195,3.38193,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.3388,1.14175,3.36694,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
1.49245,-3.11906,3.27677,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.53004,-2.27229,3.26509,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.49522,2.27196,4.43725,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-2.71806,-2.89187,5.29477,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-0.925449,-0.768085,4.0795,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.98092,-2.19551,4.53807,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.54384,2.20261,3.99313,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.66084,2.79055,4.6865,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.87477,1.47129,4.78709,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-4.34028,-2.66796,3.94014,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.28575,-2.67984,4.99404,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
4.27525,-0.451431,5.17171,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
1.51134,-1.63295,5.79615,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.59124,-1.31526,3.66879,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.80906,2.86489,5.4035,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
3.98141,0.483158,5.44224,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-4.59078,-0.43273,3.52369,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
2.74426,-2.71941,5.61228,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-2.67881,-2.10212,3.4674,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
-3.02723,0.0359079,3.45978,0,,,0,-1,0,0,0,0,,-1111,0,0,,,1
