energy,eta,phi,time,detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
0.530413,-1.54347,-2.77075,-25.0043,872416033,-1.31493,-0.53101,-3.1876,-1.34234,-0.530942,-3.17952,-1.34313,-0.502537,-3.18246,-1.31573,-0.502604,-3.19054,-1.37684,-0.55583,-3.39725,-1.40557,-0.555759,-3.38878,-1.4064,-0.52598,-3.39186,-1.37768,-0.526051,-3.40033
0.484116,-1.62886,-3.10719,-0.00782219,872416177,-1.28543,-0.0589946,-3.19,-1.31289,-0.0589946,-3.18209,-1.31293,-0.0304272,-3.18226,-1.28548,-0.0304272,-3.19017,-1.34636,-0.0617597,-3.40138,-1.37513,-0.0617597,-3.39309,-1.37519,-0.0318102,-3.39327,-1.34641,-0.0318103,-3.40156
0.422387,-1.67329,-3.08226,7.48945,872416432,-1.22912,-0.0881146,-3.20487,-1.25667,-0.0881146,-3.19731,-1.25676,-0.0595489,-3.19765,-1.22921,-0.0595489,-3.20522,-1.28737,-0.0922618,-3.41698,-1.31625,-0.0922618,-3.40905,-1.31635,-0.0623142,-3.40941,-1.28747,-0.0623142,-3.41735
0.858621,-1.5683,2.62285,1.01397,872416586,-1.23052,0.680177,-3.21232,-1.22945,0.708447,-3.20835,-1.20186,0.708447,-3.21574,-1.20292,0.680177,-3.21972,-1.28822,0.711857,-3.42225,-1.2871,0.741495,-3.41808,-1.25817,0.741495,-3.42583,-1.25929,0.711857,-3.43
1.3444,-1.53915,2.56883,-8.89548,872416589,-1.23331,0.771941,-3.22279,-1.23211,0.800129,-3.2183,-1.20451,0.800129,-3.2257,-1.20572,0.771941,-3.23019,-1.29086,0.807718,-3.43209,-1.2896,0.837269,-3.42739,-1.26067,0.837269,-3.43515,-1.26193,0.807718,-3.43985
0.711028,-1.52865,2.5519,-13.1057,872416590,-1.23213,0.800707,-3.2184,-1.23088,0.828865,-3.21375,-1.20329,0.828865,-3.22114,-1.20454,0.800707,-3.2258,-1.28963,0.837847,-3.42749,-1.28832,0.867367,-3.42261,-1.25939,0.867367,-3.43036,-1.2607,0.837847,-3.43525
1.54747,-1.60104,2.59753,12.9325,872416842,-1.16195,0.680116,-3.18843,-1.161,0.708387,-3.18443,-1.13331,0.708454,-3.19145,-1.13426,0.680184,-3.19546,-1.21689,0.711788,-3.3991,-1.2159,0.741426,-3.3949,-1.18687,0.741496,-3.40227,-1.18786,0.711859,-3.40646
0.80344,-1.77713,-2.14895,6.50227,872419091,-0.596531,-0.950456,-3.21039,-0.624851,-0.950456,-3.20663,-0.625579,-0.922428,-3.21211,-0.597259,-0.922428,-3.21587,-0.624922,-0.994389,-3.42409,-0.654611,-0.994389,-3.42014,-0.655374,-0.965005,-3.42589,-0.625685,-0.965005,-3.42983
1.32819,-2.28547,-2.64726,5.48835,872419240,-0.562066,-0.324903,-3.18557,-0.590413,-0.324858,-3.18203,-0.590591,-0.296346,-3.18382,-0.562243,-0.296391,-3.18736,-0.589277,-0.340091,-3.40336,-0.618996,-0.340044,-3.39965,-0.619182,-0.310153,-3.40152,-0.589463,-0.3102,-3.40523
2.97293,-2.30564,-2.68971,9.12445,872419241,-0.561286,-0.293634,-3.17768,-0.589634,-0.293612,-3.17414,-0.589811,-0.265089,-3.17574,-0.561463,-0.265112,-3.17928,-0.588497,-0.307446,-3.39555,-0.618216,-0.307422,-3.39184,-0.618403,-0.27752,-3.39353,-0.588683,-0.277544,-3.39724
0.56165,-1.80164,-2.10056,47.1526,872419347,-0.533896,-0.950466,-3.19715,-0.562266,-0.950365,-3.19379,-0.562818,-0.922337,-3.19929,-0.534448,-0.922438,-3.20265,-0.559409,-0.994392,-3.41121,-0.589151,-0.994286,-3.40769,-0.58973,-0.964902,-3.41345,-0.559988,-0.965008,-3.41698
1.27256,-2.63456,-3.10768,-12.5237,872419762,-0.445417,-0.0298763,-3.18974,-0.473845,-0.0298764,-3.18692,-0.473845,-0.00130837,-3.18692,-0.445417,-0.00130834,-3.18974,-0.467172,-0.0312591,-3.40866,-0.496976,-0.0312592,-3.4057,-0.496976,-0.00130916,-3.4057,-0.467172,-0.00130914,-3.40866
1.68597,-2.61257,-2.71962,1.61686,872419884,-0.413489,-0.206322,-3.17995,-0.441939,-0.2063,-3.17735,-0.442014,-0.177752,-3.17843,-0.413565,-0.177775,-3.18103,-0.43351,-0.215993,-3.39883,-0.463336,-0.215969,-3.3961,-0.463415,-0.186041,-3.39723,-0.43359,-0.186064,-3.39996
1.27471,-2.52715,2.56285,38.5062,872419900,-0.441852,0.265089,-3.17576,-0.441727,0.293612,-3.17415,-0.413278,0.293634,-3.17676,-0.413402,0.265112,-3.17837,-0.463238,0.27752,-3.39437,-0.463108,0.307422,-3.39269,-0.433282,0.307446,-3.39541,-0.433413,0.277544,-3.3971
0.578688,-2.49514,2.51388,10.0445,872419901,-0.442364,0.296346,-3.18386,-0.442245,0.324858,-3.18207,-0.413796,0.324903,-3.18467,-0.413915,0.296391,-3.18646,-0.463754,0.310153,-3.40239,-0.463629,0.340044,-3.40051,-0.433804,0.340091,-3.40324,-0.433928,0.3102,-3.40511
1.0331,-2.77265,3.10248,12.7129,872420019,-0.412718,0.00130834,-3.17685,-0.412718,0.0298763,-3.17685,-0.384252,0.0298764,-3.17928,-0.384252,0.00130838,-3.17928,-0.432749,0.00130913,-3.39594,-0.432749,0.0312591,-3.39594,-0.402907,0.0312592,-3.39848,-0.402907,0.00130916,-3.39848
1.68919,-2.57546,2.53017,-4.02441,872420028,-0.412793,0.265094,-3.17783,-0.412673,0.293616,-3.17622,-0.384208,0.293633,-3.17864,-0.384328,0.265111,-3.18025,-0.432804,0.277526,-3.39657,-0.432678,0.307428,-3.39488,-0.402836,0.307446,-3.39742,-0.402961,0.277544,-3.39911
4.10443,-2.71689,2.50771,9.07105,872420283,-0.354746,0.235986,-3.18287,-0.354648,0.264518,-3.18144,-0.326155,0.264524,-3.1835,-0.326253,0.235992,-3.18493,-0.372006,0.24704,-3.40192,-0.371903,0.276952,-3.40042,-0.342032,0.276958,-3.40258,-0.342135,0.247046,-3.40408
0.710256,-2.41328,-2.02307,-0.776896,872420641,-0.236764,-0.531006,-3.1825,-0.265293,-0.530956,-3.18102,-0.265401,-0.50255,-3.18406,-0.236871,-0.502601,-3.18554,-0.248145,-0.55583,-3.4008,-0.278055,-0.555777,-3.39925,-0.278168,-0.525997,-3.40244,-0.248258,-0.52605,-3.40399
1.99768,-2.45955,-2.04631,4.01481,872420642,-0.23686,-0.502031,-3.1854,-0.265389,-0.50198,-3.18392,-0.265488,-0.473556,-3.18678,-0.236958,-0.473607,-3.18827,-0.248247,-0.52548,-3.40386,-0.278156,-0.525427,-3.4023,-0.278259,-0.495628,-3.40531,-0.24835,-0.495682,-3.40686
0.682343,-2.55809,-2.10216,-0.522176,872420644,-0.236581,-0.441119,-3.17674,-0.265111,-0.441085,-3.17526,-0.265207,-0.412628,-3.17777,-0.236678,-0.412661,-3.17925,-0.247966,-0.46182,-3.39547,-0.277875,-0.461784,-3.39392,-0.277977,-0.43195,-3.39655,-0.248067,-0.431986,-3.3981
1.29776,-2.48294,-1.998,-11.7321,872420770,-0.207749,-0.502028,-3.18634,-0.236288,-0.501995,-3.18504,-0.236385,-0.473571,-3.1879,-0.207847,-0.473605,-3.1892,-0.217755,-0.52548,-3.40486,-0.247674,-0.525445,-3.4035,-0.247776,-0.495646,-3.4065,-0.217857,-0.495681,-3.40787
1.45232,-2.61373,-1.99479,-21.9406,872420900,-0.178364,-0.441116,-3.17862,-0.20691,-0.441105,-3.1775,-0.206998,-0.412648,-3.18001,-0.178452,-0.412659,-3.18113,-0.186987,-0.461819,-3.39748,-0.216914,-0.461808,-3.3963,-0.217006,-0.431973,-3.39893,-0.187079,-0.431985,-3.40011
1.16257,-2.74248,1.82545,-3.22397,872421312,-0.117837,0.383552,-3.17861,-0.117827,0.412025,-3.17627,-0.0892638,0.412059,-3.17681,-0.0892741,0.383586,-3.17914,-0.123378,0.401497,-3.39781,-0.123367,0.431348,-3.39536,-0.0934224,0.431383,-3.39593,-0.0934332,0.401533,-3.39837
3.14165,-2.50716,-1.71381,1.72167,872421409,-0.0601305,-0.531004,-3.18058,-0.0886962,-0.53097,-3.18022,-0.088701,-0.502565,-3.18326,-0.0601353,-0.502599,-3.18362,-0.0629172,-0.555829,-3.39916,-0.0928648,-0.555794,-3.39878,-0.0928698,-0.526015,-3.40198,-0.0629222,-0.52605,-3.40235
1.23188,-2.56381,-1.72218,-6.97943,872421410,-0.0601308,-0.502028,-3.18348,-0.0886965,-0.501995,-3.18312,-0.088699,-0.473571,-3.18599,-0.0601333,-0.473605,-3.18635,-0.0629177,-0.52548,-3.40221,-0.0928653,-0.525445,-3.40184,-0.092868,-0.495646,-3.40484,-0.0629204,-0.495681,-3.40522
