detid,fraction,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
838898436,1,-0.445199,-1.21373,-2.14506,-0.452843,-1.23178,-2.13152,-0.47306,-1.2228,-2.13152,-0.465102,-1.20489,-2.14506,-0.495578,-1.33255,-2.33546,-0.503892,-1.35219,-2.32073,-0.526141,-1.34231,-2.32073,-0.517486,-1.32282,-2.33546
838897924,1,-0.445199,-1.21373,-2.10248,-0.452793,-1.23167,-2.08876,-0.47301,-1.22269,-2.08876,-0.465102,-1.20489,-2.10248,-0.496275,-1.33412,-2.29171,-0.504534,-1.35364,-2.27678,-0.526784,-1.34375,-2.27678,-0.518183,-1.32439,-2.29171
838898948,1,-0.445199,-1.21373,-2.18821,-0.452892,-1.23189,-2.17484,-0.473109,-1.22291,-2.17484,-0.465102,-1.20489,-2.18821,-0.494876,-1.33097,-2.37977,-0.503244,-1.35073,-2.36523,-0.525494,-1.34085,-2.36523,-0.516784,-1.32124,-2.37977
838899460,1,-0.445199,-1.21373,-2.23194,-0.452941,-1.232,-2.21875,-0.473158,-1.22302,-2.21875,-0.465102,-1.20489,-2.23194,-0.49417,-1.32938,-2.42464,-0.502591,-1.34926,-2.4103,-0.524841,-1.33938,-2.4103,-0.516078,-1.31965,-2.42464
838897412,1,-0.445199,-1.21373,-2.06045,-0.452742,-1.23156,-2.04655,-0.472959,-1.22258,-2.04655,-0.465102,-1.20489,-2.06045,-0.496968,-1.33568,-2.24849,-0.505172,-1.35507,-2.23337,-0.527422,-1.34519,-2.23337,-0.518876,-1.32595,-2.24849
838898437,1,-0.418855,-1.22171,-2.14506,-0.426187,-1.23989,-2.13152,-0.446703,-1.23162,-2.13152,-0.439052,-1.21356,-2.14506,-0.467119,-1.34139,-2.33546,-0.475094,-1.36116,-2.32073,-0.497673,-1.35206,-2.32073,-0.489351,-1.33242,-2.33546
838897925,1,-0.418855,-1.22171,-2.10248,-0.426141,-1.23978,-2.08876,-0.446657,-1.2315,-2.08876,-0.439052,-1.21356,-2.10248,-0.467762,-1.34298,-2.29171,-0.475687,-1.36263,-2.27678,-0.498266,-1.35352,-2.27678,-0.489994,-1.33401,-2.29171
838898949,1,-0.418855,-1.22171,-2.18821,-0.426233,-1.24,-2.17484,-0.446749,-1.23173,-2.17484,-0.439052,-1.21356,-2.18821,-0.466473,-1.33978,-2.37977,-0.474498,-1.35968,-2.36523,-0.497077,-1.35058,-2.36523,-0.488705,-1.33082,-2.37977
838899461,1,-0.418855,-1.22171,-2.23194,-0.426278,-1.24011,-2.21875,-0.446794,-1.23184,-2.21875,-0.439052,-1.21356,-2.23194,-0.465823,-1.33817,-2.42464,-0.473896,-1.35819,-2.4103,-0.496475,-1.34908,-2.4103,-0.488055,-1.32921,-2.42464
838897413,1,-0.418855,-1.22171,-2.06045,-0.426094,-1.23966,-2.04655,-0.446611,-1.23139,-2.04655,-0.439052,-1.21356,-2.06045,-0.4684,-1.34456,-2.24849,-0.476274,-1.36409,-2.23337,-0.498853,-1.35498,-2.23337,-0.490632,-1.3356,-2.24849
838898438,1,-0.398247,-1.23002,-2.14506,-0.40526,-1.24833,-2.13152,-0.425776,-1.24006,-2.13152,-0.418444,-1.22188,-2.14506,-0.444476,-1.35052,-2.33546,-0.452104,-1.37043,-2.32073,-0.474683,-1.36133,-2.32073,-0.466708,-1.34155,-2.33546
838897926,1,-0.398247,-1.23002,-2.10248,-0.405214,-1.24822,-2.08876,-0.42573,-1.23994,-2.08876,-0.418444,-1.22188,-2.10248,-0.445119,-1.35211,-2.29171,-0.452697,-1.3719,-2.27678,-0.475276,-1.3628,-2.27678,-0.467351,-1.34315,-2.29171
838898950,1,-0.398247,-1.23002,-2.18821,-0.405306,-1.24844,-2.17484,-0.425822,-1.24017,-2.17484,-0.418444,-1.22188,-2.18821,-0.44383,-1.34892,-2.37977,-0.451508,-1.36895,-2.36523,-0.474087,-1.35985,-2.36523,-0.466062,-1.33995,-2.37977
838899462,1,-0.398247,-1.23002,-2.23194,-0.40535,-1.24855,-2.21875,-0.425867,-1.24028,-2.21875,-0.418444,-1.22188,-2.23194,-0.44318,-1.3473,-2.42464,-0.450906,-1.36746,-2.4103,-0.473485,-1.35836,-2.4103,-0.465412,-1.33834,-2.42464
838897414,1,-0.398247,-1.23002,-2.06045,-0.405167,-1.2481,-2.04655,-0.425683,-1.23983,-2.04655,-0.418444,-1.22188,-2.06045,-0.445757,-1.35369,-2.24849,-0.453284,-1.37336,-2.23337,-0.475863,-1.36425,-2.23337,-0.467989,-1.34473,-2.24849
838898439,1,-0.376468,-1.23551,-2.14506,-0.383161,-1.25393,-2.13152,-0.403953,-1.24638,-2.13152,-0.396937,-1.22807,-2.14506,-0.420523,-1.3568,-2.33546,-0.427803,-1.37684,-2.32073,-0.450686,-1.36853,-2.32073,-0.443055,-1.34861,-2.33546
838897927,1,-0.376468,-1.23551,-2.10248,-0.383119,-1.25382,-2.08876,-0.403911,-1.24627,-2.08876,-0.396937,-1.22807,-2.10248,-0.42111,-1.35841,-2.29171,-0.428343,-1.37833,-2.27678,-0.451226,-1.37002,-2.27678,-0.443641,-1.35023,-2.29171
838898951,1,-0.376468,-1.23551,-2.18821,-0.383202,-1.25405,-2.17484,-0.403995,-1.2465,-2.17484,-0.396937,-1.22807,-2.18821,-0.419933,-1.35517,-2.37977,-0.427258,-1.37534,-2.36523,-0.450141,-1.36703,-2.36523,-0.442465,-1.34699,-2.37977
838899463,1,-0.376468,-1.23551,-2.23194,-0.383243,-1.25416,-2.21875,-0.404036,-1.24661,-2.21875,-0.396937,-1.22807,-2.23194,-0.419339,-1.35354,-2.42464,-0.426709,-1.37383,-2.4103,-0.449592,-1.36552,-2.4103,-0.441871,-1.34535,-2.42464
838897415,1,-0.376468,-1.23551,-2.06045,-0.383076,-1.2537,-2.04655,-0.403869,-1.24615,-2.04655,-0.396937,-1.22807,-2.06045,-0.421692,-1.36002,-2.24849,-0.42888,-1.3798,-2.23337,-0.451763,-1.37149,-2.23337,-0.444224,-1.35183,-2.24849
838898440,1,-0.355582,-1.24309,-2.14506,-0.361951,-1.26164,-2.13152,-0.382744,-1.25408,-2.13152,-0.376052,-1.23566,-2.14506,-0.397575,-1.36513,-2.33546,-0.404503,-1.3853,-2.32073,-0.427386,-1.37699,-2.32073,-0.420107,-1.35695,-2.33546
838897928,1,-0.355582,-1.24309,-2.10248,-0.361909,-1.26152,-2.08876,-0.382702,-1.25397,-2.08876,-0.376052,-1.23566,-2.10248,-0.398161,-1.36675,-2.29171,-0.405043,-1.38679,-2.27678,-0.427927,-1.37848,-2.27678,-0.420693,-1.35856,-2.29171
838898952,1,-0.355582,-1.24309,-2.18821,-0.361993,-1.26175,-2.17484,-0.382786,-1.2542,-2.17484,-0.376051,-1.23566,-2.18821,-0.396985,-1.36351,-2.37977,-0.403958,-1.3838,-2.36523,-0.426841,-1.37549,-2.36523,-0.419516,-1.35532,-2.37977
838899464,1,-0.355582,-1.24309,-2.23194,-0.362034,-1.26186,-2.21875,-0.382827,-1.25431,-2.21875,-0.376052,-1.23566,-2.23194,-0.396391,-1.36187,-2.42464,-0.403409,-1.38229,-2.4103,-0.426292,-1.37398,-2.4103,-0.418923,-1.35369,-2.42464
838897416,1,-0.355582,-1.24309,-2.06045,-0.361867,-1.2614,-2.04655,-0.382659,-1.25385,-2.04655,-0.376052,-1.23566,-2.06045,-0.398744,-1.36835,-2.24849,-0.40558,-1.38827,-2.23337,-0.428463,-1.37996,-2.23337,-0.421276,-1.36017,-2.24849
838898441,1,-0.333625,-1.24782,-2.14506,-0.33967,-1.26647,-2.13152,-0.360714,-1.25964,-2.13152,-0.354342,-1.2411,-2.14506,-0.373417,-1.37057,-2.33546,-0.379992,-1.39086,-2.32073,-0.403152,-1.38335,-2.32073,-0.396221,-1.36318,-2.33546
838897929,1,-0.333625,-1.24782,-2.10248,-0.339632,-1.26635,-2.08876,-0.360676,-1.25953,-2.08876,-0.354342,-1.2411,-2.10248,-0.373947,-1.37221,-2.29171,-0.38048,-1.39236,-2.27678,-0.40364,-1.38485,-2.27678,-0.39675,-1.36481,-2.29171
838898953,1,-0.333625,-1.24782,-2.18821,-0.339708,-1.26658,-2.17484,-0.360751,-1.25976,-2.17484,-0.354342,-1.2411,-2.18821,-0.372884,-1.36893,-2.37977,-0.3795,-1.38934,-2.36523,-0.40266,-1.38183,-2.36523,-0.395688,-1.36154,-2.37977
838899465,1,-0.333625,-1.24782,-2.23194,-0.339745,-1.2667,-2.21875,-0.360788,-1.25987,-2.21875,-0.354342,-1.2411,-2.23194,-0.372348,-1.36727,-2.42464,-0.379004,-1.38781,-2.4103,-0.402164,-1.3803,-2.4103,-0.395152,-1.35988,-2.42464
838897417,1,-0.333625,-1.24782,-2.06045,-0.339594,-1.26623,-2.04655,-0.360637,-1.25941,-2.04655,-0.354342,-1.2411,-2.06045,-0.374473,-1.37383,-2.24849,-0.380965,-1.39386,-2.23337,-0.404124,-1.38635,-2.23337,-0.397277,-1.36644,-2.24849
838898442,1,-0.312487,-1.25467,-2.14506,-0.318205,-1.27342,-2.13152,-0.339248,-1.2666,-2.13152,-0.333203,-1.24795,-2.14506,-0.350192,-1.3781,-2.33546,-0.356411,-1.3985,-2.32073,-0.379571,-1.39099,-2.32073,-0.372995,-1.37071,-2.33546
838897930,1,-0.312487,-1.25467,-2.10248,-0.318167,-1.27331,-2.08876,-0.33921,-1.26648,-2.08876,-0.333203,-1.24795,-2.10248,-0.350721,-1.37973,-2.29171,-0.356899,-1.40001,-2.27678,-0.380059,-1.3925,-2.27678,-0.373525,-1.37234,-2.29171
838898954,1,-0.312487,-1.25467,-2.18821,-0.318242,-1.27354,-2.17484,-0.339286,-1.26672,-2.17484,-0.333203,-1.24795,-2.18821,-0.349659,-1.37646,-2.37977,-0.355919,-1.39698,-2.36523,-0.379078,-1.38947,-2.36523,-0.372462,-1.36906,-2.37977
838899466,1,-0.312487,-1.25467,-2.23194,-0.318279,-1.27365,-2.21875,-0.339323,-1.26683,-2.21875,-0.333203,-1.24795,-2.23194,-0.349123,-1.3748,-2.42464,-0.355423,-1.39545,-2.4103,-0.378583,-1.38794,-2.4103,-0.371926,-1.36741,-2.42464
838897418,1,-0.312487,-1.25467,-2.06045,-0.318128,-1.27319,-2.04655,-0.339172,-1.26637,-2.04655,-0.333203,-1.24795,-2.06045,-0.351248,-1.38136,-2.24849,-0.357384,-1.4015,-2.23337,-0.380543,-1.39399,-2.23337,-0.374052,-1.37397,-2.24849
838898443,1,-0.290378,-1.25862,-2.14506,-0.295768,-1.27747,-2.13152,-0.317037,-1.27139,-2.13152,-0.311317,-1.25263,-2.14506,-0.325859,-1.38269,-2.33546,-0.331721,-1.40319,-2.32073,-0.355129,-1.3965,-2.32073,-0.348906,-1.3761,-2.33546
838897931,1,-0.290378,-1.25862,-2.10248,-0.295734,-1.27735,-2.08876,-0.317003,-1.27127,-2.08876,-0.311317,-1.25263,-2.10248,-0.326331,-1.38434,-2.29171,-0.332157,-1.40472,-2.27678,-0.355564,-1.39802,-2.27678,-0.349379,-1.37775,-2.29171
838898955,1,-0.290378,-1.25862,-2.18821,-0.295802,-1.27759,-2.17484,-0.317071,-1.27151,-2.17484,-0.311317,-1.25263,-2.18821,-0.325383,-1.38103,-2.37977,-0.331283,-1.40166,-2.36523,-0.35469,-1.39496,-2.36523,-0.348431,-1.37444,-2.37977
838899467,1,-0.290378,-1.25862,-2.23194,-0.295835,-1.2777,-2.21875,-0.317104,-1.27162,-2.21875,-0.311317,-1.25263,-2.23194,-0.324905,-1.37936,-2.42464,-0.33084,-1.40011,-2.4103,-0.354248,-1.39342,-2.4103,-0.347953,-1.37277,-2.42464
838897419,1,-0.290378,-1.25862,-2.06045,-0.2957,-1.27723,-2.04655,-0.316969,-1.27115,-2.04655,-0.311317,-1.25263,-2.06045,-0.3268,-1.38599,-2.24849,-0.332589,-1.40623,-2.23337,-0.355996,-1.39953,-2.23337,-0.349848,-1.37939,-2.24849
838898444,1,-0.269014,-1.26473,-2.14506,-0.274073,-1.28368,-2.13152,-0.295342,-1.27759,-2.13152,-0.289952,-1.25874,-2.14506,-0.302385,-1.38941,-2.33546,-0.307888,-1.41001,-2.32073,-0.331295,-1.40331,-2.32073,-0.325432,-1.38281,-2.33546
838897932,1,-0.269014,-1.26473,-2.10248,-0.274039,-1.28356,-2.08876,-0.295308,-1.27747,-2.08876,-0.289952,-1.25874,-2.10248,-0.302857,-1.39106,-2.29171,-0.308323,-1.41153,-2.27678,-0.331731,-1.40484,-2.27678,-0.325905,-1.38447,-2.29171
838898956,1,-0.269014,-1.26473,-2.18821,-0.274106,-1.28379,-2.17484,-0.295376,-1.27771,-2.17484,-0.289952,-1.25874,-2.18821,-0.301909,-1.38774,-2.37977,-0.307449,-1.40847,-2.36523,-0.330856,-1.40178,-2.36523,-0.324957,-1.38115,-2.37977
838899468,1,-0.269014,-1.26473,-2.23194,-0.274139,-1.28391,-2.21875,-0.295409,-1.27783,-2.21875,-0.289952,-1.25874,-2.23194,-0.301431,-1.38607,-2.42464,-0.307007,-1.40693,-2.4103,-0.330414,-1.40023,-2.4103,-0.324479,-1.37948,-2.42464
838897420,1,-0.269014,-1.26473,-2.06045,-0.274005,-1.28344,-2.04655,-0.295274,-1.27735,-2.04655,-0.289952,-1.25874,-2.06045,-0.303326,-1.3927,-2.24849,-0.308755,-1.41304,-2.23337,-0.332163,-1.40635,-2.23337,-0.326374,-1.38611,-2.24849
838898433,1,-0.506832,-1.188,-2.14506,-0.51541,-1.20562,-2.13152,-0.535302,-1.19594,-2.13152,-0.526413,-1.17846,-2.14506,-0.563302,-1.30403,-2.33546,-0.572633,-1.3232,-2.32073,-0.594524,-1.31254,-2.32073,-0.584857,-1.29354,-2.33546
838897921,1,-0.506832,-1.18799,-2.10248,-0.515356,-1.20551,-2.08876,-0.535248,-1.19583,-2.08876,-0.526413,-1.17846,-2.10248,-0.564054,-1.30557,-2.29171,-0.573326,-1.32462,-2.27678,-0.595217,-1.31397,-2.27678,-0.585609,-1.29508,-2.29171
838898945,1,-0.506832,-1.188,-2.18821,-0.515464,-1.20573,-2.17484,-0.535355,-1.19605,-2.17484,-0.526413,-1.17846,-2.18821,-0.562546,-1.30247,-2.37977,-0.571935,-1.32176,-2.36523,-0.593826,-1.31111,-2.36523,-0.584101,-1.29198,-2.37977
838899457,1,-0.506832,-1.188,-2.23194,-0.515516,-1.20584,-2.21875,-0.535408,-1.19616,-2.21875,-0.526413,-1.17846,-2.23194,-0.561785,-1.30091,-2.42464,-0.571231,-1.32032,-2.4103,-0.593122,-1.30966,-2.4103,-0.58334,-1.29042,-2.42464
838897409,1,-0.506832,-1.18799,-2.06045,-0.515302,-1.2054,-2.04655,-0.535193,-1.19572,-2.04655,-0.526413,-1.17846,-2.06045,-0.564801,-1.30711,-2.24849,-0.574014,-1.32604,-2.23337,-0.595905,-1.31538,-2.23337,-0.586356,-1.29662,-2.24849
