pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,pt,phi,eta,charge,chi2,ndof
0.00071373,0.000650533,-0.00218303,-0.888681,-0.255529,0.380725,1.22976,-2.86161,0.400907,1,13.3294,6
0.000660205,0.00085345,-0.0521579,-0.439792,-0.108525,-0.891518,0.950488,-2.89966,-1.42928,-1,5.57653,9
0.000745361,0.000542876,-0.0675738,-0.456145,-0.18036,0.871437,1.63039,-2.76506,1.33902,1,16.7595,13
0.000698138,0.000685409,-0.00220088,-0.272388,-0.0979888,-0.957185,1.23115,-2.79627,-1.91118,-1,7.69465,5
0.000710642,0.000644524,-0.00232569,-0.702401,-0.295998,0.647317,2.10889,-2.74277,0.770666,-1,15.883,18
0.000828613,0.000424648,-0.00229119,-0.534049,-0.298602,0.790967,0.800825,-2.63177,1.07401,1,11.3814,18
0.000663547,0.000697732,-0.0483014,-0.579595,-0.377757,-0.722059,1.17075,-2.56398,-0.911934,1,8.51668,14
0.00113275,-5.52659e-06,-0.00363517,-0.359229,-0.238026,-0.902385,1.21775,-2.55641,-1.48492,1,13.3956,15
0.000759905,0.000562596,-0.026411,-0.755229,-0.593938,0.277248,1.11071,-2.47518,0.284699,-1,14.5977,15
0.000704078,0.000628971,-0.0525041,-0.75791,-0.652358,-0.000710728,3.01167,-2.4309,-0.000710728,-1,5.32076,13
0.000701114,0.000628672,-0.0677038,-0.557054,-0.54004,-0.63091,1.46844,-2.3717,-0.742926,-1,4.94239,12
0.000837493,0.000511741,-0.0676617,-0.285467,-0.343289,0.894797,1.01408,-2.26449,1.44549,1,28.8683,27
0.000767091,0.00057274,-0.0263063,-0.560176,-0.672116,0.484214,2.32181,-2.2656,0.528474,1,24.6704,15
0.000744475,0.000590966,-0.0524432,-0.617789,-0.77809,0.113636,0.780868,-2.24186,0.114129,-1,5.25028,5
0.000704107,0.000620863,-0.0525743,-0.400777,-0.60662,-0.686578,1.67776,-2.15464,-0.841454,1,13.6265,16
0.00078942,0.000565998,-0.0025835,-0.349878,-0.522525,0.77753,1.76875,-2.16082,1.03909,-1,10.082,13
0.000740854,0.00059852,-0.0526829,-0.359576,-0.634088,-0.684571,0.998279,-2.08666,-0.837667,1,20.163,14
0.000592181,0.000687575,-0.00264578,-0.224108,-0.379435,0.897666,1.42543,-2.1043,1.46007,-1,34.2914,31
0.000640896,0.00064632,-0.0524658,-0.374655,-0.82322,-0.426548,0.780442,-1.99789,-0.455669,1,16.9037,14
0.00077137,0.000587818,-0.0261337,-0.220156,-0.492415,0.842057,1.16467,-1.99123,1.2282,1,1.55779,6
0.000875508,0.000535807,-0.00252259,-0.286019,-0.587848,-0.756722,0.802799,-2.02363,-0.9885,-1,5.36431,7
-0.000183614,0.000848498,-0.0316876,-0.0981038,-0.372474,0.922843,0.814644,-1.82833,1.60786,1,50.1298,39
0.000699008,0.000617112,-0.052498,-0.297274,-0.915569,0.270855,1.49543,-1.88475,0.277787,-1,16.0069,18
0.000980031,0.000551296,-0.0256981,-0.0881685,-0.390349,0.916436,0.806765,-1.79294,1.5663,-1,0.0137129,1
0.000609247,0.000620295,-0.00268288,-0.0880393,-0.88081,-0.465213,0.927417,-1.67042,-0.503944,1,12.6741,9
0.000545568,0.000629532,-0.0528472,-0.0786009,-0.710499,-0.699295,1.23819,-1.68098,-0.865919,1,18.4746,12
0.000728782,0.000610177,-0.0525688,-0.0056721,-0.986567,0.163259,0.771903,-1.57655,0.164734,1,10.3086,16
0.000483363,0.000607285,-0.026018,0.00406654,-0.451424,0.8923,1.22893,-1.56179,1.4331,1,23.3254,25
0.0006007,0.000616145,0.013108,-0.0249678,-0.398218,0.916951,1.17955,-1.63341,1.56953,-1,26.6353,25
0.000699148,0.000607695,-0.00194248,0.017087,-0.480752,0.87669,1.11683,-1.53527,1.36128,1,1.92869,1
0.000699879,0.000608959,-0.0263639,0.0159049,-0.828165,0.560259,3.70704,-1.55159,0.63321,1,16.8858,17
0.000640397,0.000604959,-0.0261824,0.0313221,-0.582119,0.8125,1.54435,-1.51704,1.13434,1,1.74565,3
0.00080548,0.000608199,-0.0259455,-0.00460902,-0.325628,0.945487,0.972826,-1.58495,1.78741,-1,18.7847,17
0.000714112,0.000609598,-0.0520386,0.0413258,-0.414628,0.909052,1.43958,-1.47145,1.52204,1,0.439823,1
0.000906122,0.000646543,-0.0676563,0.176123,-0.921514,0.34611,0.793859,-1.38195,0.361018,1,25.695,14
0.000721411,0.000610041,-0.0445026,0.126734,-0.58214,0.803151,0.795074,-1.35644,1.10743,-1,4.62777,8
0.000594443,0.00056599,-0.0523164,0.244363,-0.694826,0.67639,1.08932,-1.23262,0.82243,1,2.86068,9
0.000644304,0.000581466,-0.052583,0.151217,-0.399316,-0.904257,0.754594,-1.20879,-1.49509,-1,0.141817,1
0.000680674,0.00058512,-0.0263866,0.212856,-0.372064,-0.903472,0.862161,-1.05115,-1.4908,-1,5.03329,11
0.000720704,0.000607857,-0.0263178,0.221097,-0.344441,0.912401,0.869152,-1.00014,1.54167,-1,11.865,23
0.000681271,0.000581424,-0.0441319,0.265657,-0.371298,-0.889699,1.06304,-0.949755,-1.42048,-1,59.9191,31
0.000715758,0.000607065,-0.0524939,0.392447,-0.554729,-0.733662,0.767256,-0.955083,-0.936614,-1,4.85265,7
0.000801949,0.000690108,-0.0680929,0.315306,-0.331338,0.889268,1.01687,-0.810185,1.41842,1,10.2102,15
0.000720941,0.000609731,-0.0442811,0.782725,-0.621969,0.0222589,2.90796,-0.671452,0.0222626,1,27.6374,15
0.000806168,0.000706962,-0.0525436,0.694772,-0.617311,0.369078,1.10189,-0.72643,0.387356,-1,11.0637,15
0.000754814,0.000650792,-0.00228911,0.710589,-0.489831,-0.505103,1.10096,-0.60353,-0.556133,1,3.25792,6
