energy,eta,phi,time,detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
0.258975,-0.0857858,0.689164,-0.302241,838863410,0.990975,0.830606,-0.122801,0.991595,0.831071,-0.0992657,1.00442,0.813453,-0.0992656,1.00379,0.812997,-0.122801,1.17444,0.96907,-0.132267,1.17511,0.969572,-0.106833,1.19029,0.948708,-0.106832,1.18961,0.948216,-0.132267
0.309671,-0.0858752,-2.60764,4.26974,838863581,-1.10616,-0.66666,-0.122801,-1.10684,-0.667024,-0.0992657,-1.11708,-0.647792,-0.0992656,-1.11639,-0.647438,-0.122801,-1.309,-0.774679,-0.132267,-1.30974,-0.775073,-0.106833,-1.32187,-0.752298,-0.106832,-1.32112,-0.751915,-0.132267
0.126349,-0.103722,0.689167,4.97072,838863922,0.990975,0.830607,-0.14541,0.991689,0.831175,-0.123253,1.00453,0.813534,-0.123253,1.00379,0.812998,-0.14541,1.17431,0.968945,-0.158875,1.17516,0.969617,-0.132711,1.19034,0.948748,-0.132711,1.18947,0.948114,-0.158875
0.209478,-0.121083,1.77087,-38.5129,838864496,-0.267646,1.26502,-0.168009,-0.267867,1.2663,-0.145871,-0.246264,1.26935,-0.145871,-0.246083,1.26807,-0.168009,-0.303688,1.49158,-0.185468,-0.303949,1.49309,-0.159326,-0.278394,1.4967,-0.159326,-0.27818,1.49518,-0.185468
0.21186,-0.121083,2.05091,46.8563,838864512,-0.606867,1.14176,-0.168009,-0.607432,1.14293,-0.145871,-0.587507,1.15182,-0.145871,-0.586978,1.15064,-0.168009,-0.703949,1.34962,-0.185468,-0.704616,1.351,-0.159326,-0.681046,1.36151,-0.159326,-0.680422,1.36011,-0.185468
0.172786,-0.173061,0.0945374,-27.4424,838865936,1.2861,0.132929,-0.235992,1.28855,0.133056,-0.213952,1.28933,0.111253,-0.213952,1.28688,0.111165,-0.235992,1.51396,0.14506,-0.265397,1.51685,0.14521,-0.239371,1.51777,0.119418,-0.239371,1.51488,0.119314,-0.265397
0.197619,-0.242432,0.65459,40.3839,838868016,1.01904,0.795913,-0.327834,1.0223,0.798203,-0.305894,1.03453,0.780096,-0.305894,1.03123,0.777867,-0.327834,1.20378,0.925452,-0.372793,1.20761,0.928147,-0.346968,1.22205,0.906777,-0.346967,1.21817,0.904153,-0.372792
0.16558,-0.24243,-2.41798,-24.762,838868200,-0.961718,-0.8643,-0.327834,-0.964808,-0.866812,-0.305894,-0.978274,-0.849603,-0.305894,-0.975138,-0.847149,-0.327834,-1.13697,-1.00642,-0.372793,-1.1406,-1.00938,-0.346968,-1.1565,-0.989066,-0.346967,-1.15281,-0.986177,-0.372792
0.202299,-0.259988,0.568393,33.3161,838868523,1.08255,0.704475,-0.350962,1.08633,0.706656,-0.329094,1.09726,0.68774,-0.329094,1.09346,0.685622,-0.350962,1.27716,0.817001,-0.399779,1.2816,0.819568,-0.374038,1.29451,0.797242,-0.374038,1.29002,0.79475,-0.399779
0.0366905,-0.294705,2.10269,-2.4004,838869635,-0.664577,1.10763,-0.397732,-0.666986,1.11215,-0.375905,-0.647672,1.12244,-0.375905,-0.645356,1.11787,-0.397732,-0.769436,1.30447,-0.454045,-0.772259,1.30977,-0.428462,-0.749539,1.32188,-0.428462,-0.746825,1.31652,-0.454045
-0.0561925,-0.294454,2.11986,-3.27494,838869636,-0.684169,1.09719,-0.397732,-0.686671,1.10166,-0.375905,-0.667357,1.11195,-0.375905,-0.664948,1.10743,-0.397732,-0.792418,1.29223,-0.454045,-0.79535,1.29747,-0.428462,-0.77263,1.30958,-0.428462,-0.769807,1.30428,-0.454045
0.110638,-0.294708,2.1372,64.3127,838869637,-0.70239,1.08402,-0.397732,-0.704955,1.08846,-0.375905,-0.686012,1.09941,-0.375905,-0.683538,1.09493,-0.397732,-0.814059,1.27708,-0.454045,-0.817066,1.28228,-0.428462,-0.794783,1.29517,-0.428462,-0.791883,1.28991,-0.454045
0.524513,-0.311842,1.94728,2.05907,838870138,-0.485556,1.19824,-0.421251,-0.487356,1.20343,-0.399514,-0.466548,1.2102,-0.399514,-0.464849,1.20498,-0.421251,-0.557963,1.4082,-0.48129,-0.560072,1.41428,-0.455811,-0.535595,1.42225,-0.455811,-0.533603,1.41613,-0.48129
