detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
604050168,0.37013,-0.947818,-6.07513,0.631135,-0.797294,-6.07523,1.57374,-2.12378,-6.07542,1.04618,-2.42803,-6.07522,0.370081,-0.947832,-6.22213,0.631086,-0.797307,-6.22223,1.57369,-2.1238,-6.22242,1.04613,-2.42804,-6.22222
604050680,0.37013,-0.947818,-6.07513,0.631135,-0.797294,-6.07523,1.57374,-2.12378,-6.07542,1.04618,-2.42803,-6.07522,0.370081,-0.947832,-6.22213,0.631086,-0.797307,-6.22223,1.57369,-2.1238,-6.22242,1.04613,-2.42804,-6.22222
604054136,0.00281113,-1.45412,-8.31709,0.725298,-1.26004,-8.31618,1.63408,-3.13445,-8.31706,0.155597,-3.53161,-8.31892,0.00299171,-1.45394,-8.49756,0.725479,-1.25987,-8.49665,1.63426,-3.13428,-8.49753,0.155777,-3.53143,-8.49938
604054144,0.50108,-1.3661,-8.068,1.11426,-0.937537,-8.06902,2.60716,-2.39031,-8.07148,1.35236,-3.26732,-8.06939,0.500781,-1.3661,-8.24847,1.11396,-0.937539,-8.24948,2.60686,-2.39031,-8.25195,1.35206,-3.26732,-8.24986
604058232,0.816596,-1.442,-9.31621,0.0155946,-1.6564,-9.31401,0.153958,-3.53034,-9.31634,1.6328,-3.13452,-9.3204,0.81714,-1.44219,-9.13574,0.0161387,-1.65658,-9.13354,0.154502,-3.53052,-9.13588,1.63334,-3.1347,-9.13993
604058240,1.25812,-1.07542,-9.56409,0.579216,-1.5515,-9.5617,1.35183,-3.26435,-9.56388,2.60525,-2.38539,-9.5683,1.25873,-1.07537,-9.38362,0.579822,-1.55146,-9.38123,1.35244,-3.26431,-9.38341,2.60586,-2.38534,-9.38783
604062328,0.896175,-1.61479,-10.2059,0.0273013,-1.84828,-10.2051,0.155135,-3.54007,-10.2057,1.63358,-3.14277,-10.2071,0.896355,-1.61484,-10.0255,0.0274809,-1.84833,-10.0247,0.155315,-3.54012,-10.0253,1.63376,-3.14282,-10.0266
604062336,1.39411,-1.21086,-10.4516,0.656912,-1.7266,-10.4547,1.3539,-3.27343,-10.4566,2.6083,-2.39587,-10.4514,1.39366,-1.21129,-10.2711,0.656459,-1.72703,-10.2742,1.35345,-3.27386,-10.2762,2.60784,-2.3963,-10.2709
604050168,0.37013,-0.947818,-6.07513,0.631135,-0.797294,-6.07523,1.57374,-2.12378,-6.07542,1.04618,-2.42803,-6.07522,0.370081,-0.947832,-6.22213,0.631086,-0.797307,-6.22223,1.57369,-2.1238,-6.22242,1.04613,-2.42804,-6.22222
604050680,0.37013,-0.947818,-6.07513,0.631135,-0.797294,-6.07523,1.57374,-2.12378,-6.07542,1.04618,-2.42803,-6.07522,0.370081,-0.947832,-6.22213,0.631086,-0.797307,-6.22223,1.57369,-2.1238,-6.22242,1.04613,-2.42804,-6.22222
604054136,0.00281113,-1.45412,-8.31709,0.725298,-1.26004,-8.31618,1.63408,-3.13445,-8.31706,0.155597,-3.53161,-8.31892,0.00299171,-1.45394,-8.49756,0.725479,-1.25987,-8.49665,1.63426,-3.13428,-8.49753,0.155777,-3.53143,-8.49938
604054144,0.50108,-1.3661,-8.068,1.11426,-0.937537,-8.06902,2.60716,-2.39031,-8.07148,1.35236,-3.26732,-8.06939,0.500781,-1.3661,-8.24847,1.11396,-0.937539,-8.24948,2.60686,-2.39031,-8.25195,1.35206,-3.26732,-8.24986
604058232,0.816596,-1.442,-9.31621,0.0155946,-1.6564,-9.31401,0.153958,-3.53034,-9.31634,1.6328,-3.13452,-9.3204,0.81714,-1.44219,-9.13574,0.0161387,-1.65658,-9.13354,0.154502,-3.53052,-9.13588,1.63334,-3.1347,-9.13993
604058240,1.25812,-1.07542,-9.56409,0.579216,-1.5515,-9.5617,1.35183,-3.26435,-9.56388,2.60525,-2.38539,-9.5683,1.25873,-1.07537,-9.38362,0.579822,-1.55146,-9.38123,1.35244,-3.26431,-9.38341,2.60586,-2.38534,-9.38783
604062328,0.896175,-1.61479,-10.2059,0.0273013,-1.84828,-10.2051,0.155135,-3.54007,-10.2057,1.63358,-3.14277,-10.2071,0.896355,-1.61484,-10.0255,0.0274809,-1.84833,-10.0247,0.155315,-3.54012,-10.0253,1.63376,-3.14282,-10.0266
604062336,1.39411,-1.21086,-10.4516,0.656912,-1.7266,-10.4547,1.3539,-3.27343,-10.4566,2.6083,-2.39587,-10.4514,1.39366,-1.21129,-10.2711,0.656459,-1.72703,-10.2742,1.35345,-3.27386,-10.2762,2.60784,-2.3963,-10.2709
604050168,0.37013,-0.947818,-6.07513,0.631135,-0.797294,-6.07523,1.57374,-2.12378,-6.07542,1.04618,-2.42803,-6.07522,0.370081,-0.947832,-6.22213,0.631086,-0.797307,-6.22223,1.57369,-2.1238,-6.22242,1.04613,-2.42804,-6.22222
604050680,0.37013,-0.947818,-6.07513,0.631135,-0.797294,-6.07523,1.57374,-2.12378,-6.07542,1.04618,-2.42803,-6.07522,0.370081,-0.947832,-6.22213,0.631086,-0.797307,-6.22223,1.57369,-2.1238,-6.22242,1.04613,-2.42804,-6.22222
604054136,0.00281113,-1.45412,-8.31709,0.725298,-1.26004,-8.31618,1.63408,-3.13445,-8.31706,0.155597,-3.53161,-8.31892,0.00299171,-1.45394,-8.49756,0.725479,-1.25987,-8.49665,1.63426,-3.13428,-8.49753,0.155777,-3.53143,-8.49938
604054144,0.50108,-1.3661,-8.068,1.11426,-0.937537,-8.06902,2.60716,-2.39031,-8.07148,1.35236,-3.26732,-8.06939,0.500781,-1.3661,-8.24847,1.11396,-0.937539,-8.24948,2.60686,-2.39031,-8.25195,1.35206,-3.26732,-8.24986
604058232,0.816596,-1.442,-9.31621,0.0155946,-1.6564,-9.31401,0.153958,-3.53034,-9.31634,1.6328,-3.13452,-9.3204,0.81714,-1.44219,-9.13574,0.0161387,-1.65658,-9.13354,0.154502,-3.53052,-9.13588,1.63334,-3.1347,-9.13993
604058240,1.25812,-1.07542,-9.56409,0.579216,-1.5515,-9.5617,1.35183,-3.26435,-9.56388,2.60525,-2.38539,-9.5683,1.25873,-1.07537,-9.38362,0.579822,-1.55146,-9.38123,1.35244,-3.26431,-9.38341,2.60586,-2.38534,-9.38783
604062328,0.896175,-1.61479,-10.2059,0.0273013,-1.84828,-10.2051,0.155135,-3.54007,-10.2057,1.63358,-3.14277,-10.2071,0.896355,-1.61484,-10.0255,0.0274809,-1.84833,-10.0247,0.155315,-3.54012,-10.0253,1.63376,-3.14282,-10.0266
604062336,1.39411,-1.21086,-10.4516,0.656912,-1.7266,-10.4547,1.3539,-3.27343,-10.4566,2.6083,-2.39587,-10.4514,1.39366,-1.21129,-10.2711,0.656459,-1.72703,-10.2742,1.35345,-3.27386,-10.2762,2.60784,-2.3963,-10.2709
604050144,-0.152194,-1.00681,-5.78261,0.149106,-1.00702,-5.78224,0.301813,-2.62713,-5.78245,-0.307187,-2.6267,-5.7832,-0.152014,-1.00677,-5.92961,0.149285,-1.00698,-5.92924,0.301992,-2.62709,-5.92945,-0.307007,-2.62666,-5.9302
604050152,0.0246972,-1.01774,-6.07523,0.321453,-0.965606,-6.07523,0.753272,-2.53456,-6.0758,0.153457,-2.63992,-6.07579,0.0246866,-1.01769,-6.22223,0.321443,-0.965557,-6.22223,0.753262,-2.53451,-6.22279,0.153446,-2.63987,-6.22279
604050656,-0.152194,-1.00681,-5.78261,0.149106,-1.00702,-5.78224,0.301813,-2.62713,-5.78245,-0.307187,-2.6267,-5.7832,-0.152014,-1.00677,-5.92961,0.149285,-1.00698,-5.92924,0.301992,-2.62709,-5.92945,-0.307007,-2.62666,-5.9302
604050664,0.0246972,-1.01774,-6.07523,0.321453,-0.965606,-6.07523,0.753272,-2.53456,-6.0758,0.153457,-2.63992,-6.07579,0.0246866,-1.01769,-6.22223,0.321443,-0.965557,-6.22223,0.753262,-2.53451,-6.22279,0.153446,-2.63987,-6.22279
604054136,0.00281113,-1.45412,-8.31709,0.725298,-1.26004,-8.31618,1.63408,-3.13445,-8.31706,0.155597,-3.53161,-8.31892,0.00299171,-1.45394,-8.49756,0.725479,-1.25987,-8.49665,1.63426,-3.13428,-8.49753,0.155777,-3.53143,-8.49938
