isValid,isFake,pos_x,pos_y,pos_z,xError,yError,zError,chi2,ndof
1,0,0.000733113,0.000582182,0.0316792,9.46764e-06,9.37234e-06,1.75543e-05,47.3924,77.0902
1,0,0.000694534,0.000631782,-0.0484846,1.66064e-05,1.90246e-05,2.29817e-05,95.5219,142.376
1,0,0.000736694,0.000587143,0.0101558,2.51238e-05,1.93836e-05,2.70468e-05,65.603,89.1512
1,0,0.000712908,0.000632054,0.0139779,3.35808e-05,3.23239e-05,3.0735e-05,22.602,36.69
1,0,0.000693529,0.00061446,-0.0491077,4.13081e-05,4.37491e-05,5.08743e-05,36.5228,60.3352
1,0,0.000743643,0.000650124,-0.0439421,4.11577e-05,3.81043e-05,5.6062e-05,40.2047,55.0919
1,0,0.000787126,0.000586213,0.0151893,4.31678e-05,4.49292e-05,5.21679e-05,30.5518,35.1493
1,0,0.000723886,0.000697148,-0.0825775,5.83447e-05,6.93181e-05,7.00206e-05,11.2687,20.5428
1,0,0.000755488,0.000668487,-0.054998,5.86448e-05,6.45972e-05,8.16252e-05,13.5438,22.0995
1,0,0.000756917,0.000592632,0.0333072,9.05995e-05,8.18289e-05,9.77377e-05,3.77587,10.719
1,0,0.000838332,0.000742912,-0.0813264,9.72274e-05,0.000120428,0.000120596,2.05168,6.82826
